workers	repeat	wall_us	process_cpu_us
1	0	42892.8	42938.0
1	1	42820.7	42873.9
1	2	42819.9	42862.6
1	3	42790.2	42828.0
1	4	42799.3	42853.0
2	0	27485.0	45690.1
2	1	27482.2	45684.2
2	2	27475.1	45667.2
2	3	27487.2	45714.5
2	4	27538.4	45852.5
3	0	23574.3	51060.3
3	1	23512.2	50701.2
3	2	23501.4	50705.0
3	3	23508.1	50712.7
3	4	23486.6	50678.2
4	0	25236.8	68834.3
4	1	25281.6	69096.8
4	2	25180.1	68909.8
4	3	25451.1	69459.9
4	4	25176.8	68996.3
