lane	status	merged_model_sha256	inference_model_sha256	tail_model_sha256	tail_identity_match	checker_pass	qdq_site_count	qlinear_count	uint8_zero_point_count	non_int8_zero_point_count	weight_symmetry_failures	activation_granularity_failures	conv_count	conv_kernel_shape_failures	boundary_contract	semantic_images	semantic_failures	score_collapses
B1	pass	ad1b4d28e3c4d9d837c218ef16fd8435ecfd7847033a8c7af846f5e855109b21	22cf839fc76445452df12043f37d3fd2b2bef9d4ba62c24712cebf46b9b0e6c6	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	1	1	812	0	0	0	0	0	102	0	1	100	0	0
B2	pass	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	1	1	812	0	0	0	0	0	102	0	1	100	0	0
B3	pass	b781da491ec13c7d7da7f528dd7120afe4caa43b831237b8fca85c54b6a81046	6c9aeef64f487ac7cf90deb96b431c7e86e15f0d4e1ca77afdde3580f10166b8	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	1	1	812	0	0	0	0	0	102	0	1	100	0	0
B4	pass	5be6f5e06dc072d30044a4aee3fe64746a05bbfd1b68d6c77f65a2e0f95823e9	678359ac22543d3fdaf785296988c6f8e4e56c2154dab612834371ddf3a7b923	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	1	1	812	0	0	0	0	0	102	0	1	100	0	0
B5	pass	ce00720ac8a25ca20de9d39c2610cef7eed2b6fecdd7952a1bf2e57acac59be0	b2910af3c20640cfbdaa86da799fd07418566dc566e07a271b2a6162c942d66e	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	1	1	812	0	0	0	0	0	102	0	1	100	0	0
B6	pass	2e0de239651e2f077e7f9deaf5b7e2d1f1f1d6781ddff7e2429e7dd29daa75d0	cdccbc1a6cb3242d7eaa9021f4efd2b89a94a5c52be1c28509ed195e81098047	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	1	1	812	0	0	0	0	0	102	0	1	100	0	0
