lane	model	operator_type	total	qdq_input_and_output	dequantized_input_only	quantized_output_only	no_adjacent_qdq	qdq_node_count	qlinear_count	float32_initializers	float16_initializers	int8_initializers	placement_claim
B1	stage65b_r1_b1.inference.onnx	__summary__	349	338	9	2	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Add	20	20	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Concat	19	19	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Conv	102	102	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	MatMul	4	4	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	MaxPool	3	2	1	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Mul	89	89	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Reshape	6	2	4	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Resize	2	2	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Sigmoid	87	87	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Softmax	2	0	2	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Split	11	11	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B1	stage65b_r1_b1.inference.onnx	Transpose	4	0	2	2	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	__summary__	349	338	9	2	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Add	20	20	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Concat	19	19	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Conv	102	102	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	MatMul	4	4	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	MaxPool	3	2	1	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Mul	89	89	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Reshape	6	2	4	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Resize	2	2	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Sigmoid	87	87	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Softmax	2	0	2	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Split	11	11	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B2	stage65b_r1_b2.inference.onnx	Transpose	4	0	2	2	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	__summary__	349	338	9	2	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Add	20	20	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Concat	19	19	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Conv	102	102	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	MatMul	4	4	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	MaxPool	3	2	1	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Mul	89	89	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Reshape	6	2	4	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Resize	2	2	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Sigmoid	87	87	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Softmax	2	0	2	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Split	11	11	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B3	stage65b_r1_b3.inference.onnx	Transpose	4	0	2	2	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	__summary__	349	338	9	2	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Add	20	20	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Concat	19	19	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Conv	102	102	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	MatMul	4	4	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	MaxPool	3	2	1	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Mul	89	89	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Reshape	6	2	4	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Resize	2	2	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Sigmoid	87	87	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Softmax	2	0	2	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Split	11	11	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B4	stage65b_r1_b4.inference.onnx	Transpose	4	0	2	2	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	__summary__	349	338	9	2	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Add	20	20	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Concat	19	19	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Conv	102	102	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	MatMul	4	4	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	MaxPool	3	2	1	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Mul	89	89	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Reshape	6	2	4	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Resize	2	2	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Sigmoid	87	87	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Softmax	2	0	2	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Split	11	11	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B5	stage65b_r1_b5.inference.onnx	Transpose	4	0	2	2	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	__summary__	349	338	9	2	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Add	20	20	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Concat	19	19	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Conv	102	102	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	MatMul	4	4	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	MaxPool	3	2	1	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Mul	89	89	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Reshape	6	2	4	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Resize	2	2	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Sigmoid	87	87	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Softmax	2	0	2	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Split	11	11	0	0	0	812	0	916	0	916	none-host-graph-inventory-only
B6	stage65b_r1_b6.inference.onnx	Transpose	4	0	2	2	0	812	0	916	0	916	none-host-graph-inventory-only
