lane	graphwise_rank	op	variable	pyramid	branch	snr	mse	cosine	q_min	q_max	f_min	f_max	f_histogram	snr_high_error	cosine_significant_deviation	source_report
B1	0	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	model.23.one2one_cv3.2.1.0.conv.weight[Constant]	P5	confidence	0.0	0.0	1.0	-12.496	9.905	-12.447	9.944	34,34,0,0,0,0,0,51,0,68,0,34,51,51,119,272,578,29563,2686,544,289,68,0,85,68,0,0,34,51,0,0,136	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	model.23.one2one_cv3.2.1.0.conv.bias[Constant]	P5	confidence	0.0008	0.0013	0.9996	-1.841	2.566	-1.798	2.565	459,0,0,0,646,459,323,0,1088,0,442,374,1564,0,391,2975,3774,3077,1139,2227,0,1156,833,1666,2125,4029,2516,2091,459,340,340,323	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	2	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv_output_0	P5	confidence	0.2598	0.9489	0.8604	-9.935	90.904	-87.777	93.850	2,0,1,0,0,0,2,0,3,4,0,1,4,13,187,34391,173,14,9,1,4,2,1,0,1,1,1,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	3	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	model.23.one2one_cv3.2.1.1.conv.weight[Constant]	P5	confidence	0.0001	0.0	1.0	-2.077	1.973	-2.085	1.981	17,34,17,0,34,102,51,85,136,391,374,629,1530,1989,3723,7021,6137,5236,2652,2023,1275,612,357,204,51,68,17,0,17,0,17,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	4	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	model.23.one2one_cv3.2.1.1.conv.bias[Constant]	P5	confidence	0.0035	0.0547	0.9994	-17.231	21.434	-16.136	20.281	459,0,0,0,0,0,0,0,0,0,0,765,2176,4335,7480,8347,5933,2856,1241,0,0,357,323,0,0,0,0,0,0,0,0,544	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	5	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv_output_0	P5	confidence	0.1811	1.1737	0.9112	-9.868	46.382	-35.129	47.677	2,1,1,0,2,1,1,2,11,22,51,214,2035,16902,12486,2374,426,159,75,20,8,8,2,6,1,3,0,0,0,2,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	6	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	model.23.one2one_cv3.1.1.1.conv.weight[Constant]	P4	confidence	0.0001	0.0	1.0	-5.792	5.716	-5.792	5.679	17,0,0,68,17,0,0,17,17,0,34,68,170,289,2227,11050,16167,4063,442,51,51,17,0,0,17,0,0,0,0,0,0,34	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	7	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	model.23.one2one_cv3.1.1.1.conv.bias[Constant]	P4	confidence	0.0003	0.0054	0.9999	-10.963	18.569	-10.565	18.430	544,0,0,510,493,0,1275,1071,408,357,2397,4777,3349,2805,3468,5542,2754,1989,476,833,1037,0,0,323,0,0,0,0,0,0,0,408	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	8	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0	P4	confidence	0.1485	1.3163	0.9229	-10.332	109.957	-27.620	120.433	3,1,20,54,214,9963,22699,1689,120,17,11,4,5,6,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	9	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul[Mul]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	P5	confidence	0.142	0.7955	0.9319	-0.367	57.262	-0.278	60.159	24543,6734,2186,766,266,157,84,30,21,9,8,1,3,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	10	/model.10/m/m.0/ffn/ffn.1/conv/Conv[Conv]	model.10.m.0.ffn.1.conv.weight[Constant]			0.0001	0.0	1.0	-0.971	1.173	-0.976	1.173	51,68,204,170,425,493,697,969,1156,1785,1904,2278,2482,3094,2652,3247,2635,2635,2091,1530,1275,799,697,459,425,187,187,102,34,51,0,34	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	11	/model.10/m/m.0/ffn/ffn.1/conv/Conv[Conv]	model.10.m.0.ffn.1.conv.bias[Constant]			0.0	0.0	1.0	-7.538	8.056	-7.564	8.082	238,170,0,0,0,255,0,0,1462,238,2720,1802,3179,3043,6137,3366,4777,2975,1870,884,289,238,561,0,0,0,442,0,0,0,0,170	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	12	/model.10/m/m.0/ffn/ffn.1/conv/Conv[Conv]	/model.10/m/m.0/ffn/ffn.1/conv/Conv_output_0			0.1387	0.0467	0.9284	-4.966	3.773	-5.049	4.368	1,2,1,3,5,2,6,16,24,48,86,187,412,1008,2113,4534,7685,8258,5750,2695,1057,468,228,119,59,27,8,7,3,2,1,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	13	/model.22/cv1/act/Mul[Mul]	/model.22/cv1/act/Mul_output_0			0.1383	0.0413	0.9299	-0.287	5.458	-0.278	7.593	23722,3884,2300,1652,1097,665,428,293,186,151,115,86,60,47,31,27,19,18,8,6,7,8,2,2,1,0,0,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	14	/model.19/m.0/cv3/conv/Conv[Conv]	model.19.m.0.cv3.conv.weight[Constant]			0.0001	0.0	1.0	-1.876	0.819	-1.869	0.822	17,0,0,0,0,0,0,0,0,17,0,17,85,17,34,136,272,221,561,476,2278,8840,15232,4012,1343,510,340,238,102,34,17,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	15	/model.19/m.0/cv3/conv/Conv[Conv]	model.19.m.0.cv3.conv.bias[Constant]			0.002	0.005	0.9991	-1.865	5.754	-1.865	5.825	1666,731,629,1768,612,595,986,2584,3553,3400,2754,3604,4046,1632,561,2346,561,0,493,0,1258,0,0,0,0,0,0,0,0,0,0,1037	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	16	/model.19/m.0/cv3/conv/Conv[Conv]	/model.19/m.0/cv3/conv/Conv_output_0			0.1338	0.4945	0.9308	-9.970	8.172	-34.815	9.183	1,0,0,0,0,0,0,2,0,1,5,5,7,14,11,17,17,23,32,57,109,281,768,2521,7853,12450,7788,2302,435,89,20,8	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	17	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv[Conv]	model.22.m.0.1.ffn.1.conv.weight[Constant]			0.0001	0.0	1.0	-0.498	0.511	-0.496	0.511	17,0,17,119,17,102,221,255,374,612,969,1717,2244,2584,4386,4607,4828,3672,2856,1530,1037,1054,697,391,255,68,68,68,17,17,0,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	18	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv[Conv]	model.22.m.0.1.ffn.1.conv.bias[Constant]			0.0006	0.0001	0.9997	-0.939	0.562	-0.939	0.578	289,221,0,0,0,0,952,646,748,544,697,1530,2533,1105,1615,1462,2057,2074,2822,1241,2771,2363,2329,2074,1275,782,459,612,493,595,272,255	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	19	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv[Conv]	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv_output_0			0.132	0.0983	0.9337	-7.793	5.862	-8.336	5.679	1,0,1,2,0,1,2,1,4,3,17,35,86,209,438,1062,2417,4744,7559,8039,5288,2765,1242,541,188,97,32,17,11,7,4,3	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	20	/model.20/act/Mul[Mul]	/model.20/act/Mul_output_0			0.1266	0.0292	0.9369	-0.280	4.832	-0.278	5.744	20817,4997,2817,1873,1168,858,624,443,305,259,171,111,99,77,51,40,34,21,13,12,10,3,7,1,0,1,2,0,1,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	21	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul[Mul]	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0	P4	confidence	0.1252	0.7489	0.9369	0.000	66.284	-0.278	74.118	25384,7011,1798,427,112,47,10,5,6,6,0,1,2,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	22	/model.20/conv/Conv[Conv]	model.20.conv.weight[Constant]			0.0002	0.0	0.9999	-0.358	0.347	-0.358	0.346	17,34,0,0,17,0,0,34,68,221,136,408,935,2074,3910,7004,8925,5831,2703,1326,493,238,153,102,68,17,0,17,17,34,0,34	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	23	/model.20/conv/Conv[Conv]	model.20.conv.bias[Constant]			0.0	0.0	1.0	-2.536	2.811	-2.527	2.810	901,255,1037,0,357,1513,1173,663,833,2023,1853,1105,2516,3043,1309,2397,3060,2159,2159,442,1275,493,612,663,612,782,595,289,357,0,0,340	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	24	/model.20/conv/Conv[Conv]	/model.20/conv/Conv_output_0			0.1191	0.1781	0.9435	-8.788	4.622	-8.980	4.850	1,1,2,0,3,4,5,10,19,29,63,97,195,326,677,1171,2123,3422,5011,6047,5839,4256,2615,1462,783,367,161,69,35,11,7,5	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	25	/model.2/cv1/conv/Conv[Conv]	model.2.cv1.conv.weight[Constant]			0.0001	0.0	1.0	-1.437	1.070	-1.431	1.074	51,0,17,136,204,0,153,68,85,0,102,51,136,323,204,1309,1394,7293,16847,3383,1207,170,697,238,289,204,85,102,0,51,0,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	26	/model.2/cv1/conv/Conv[Conv]	model.2.cv1.conv.bias[Constant]			0.0062	0.1033	0.9973	-11.411	13.192	-11.440	13.889	1156,0,0,0,0,0,0,0,0,0,0,0,1275,2652,3757,5627,4386,7412,3094,3145,0,0,0,0,1173,0,0,0,0,0,0,1139	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	27	/model.2/cv1/conv/Conv[Conv]	/model.2/cv1/conv/Conv_output_0			0.1165	1.712	0.9431	-9.946	48.308	-59.017	48.425	1,1,4,2,2,3,4,6,17,16,19,52,75,123,236,565,1993,14363,14677,2075,393,103,48,13,16,3,2,0,1,2,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	28	/model.10/m/m.0/attn/proj/conv/Conv[Conv]	model.10.m.0.attn.proj.conv.weight[Constant]			0.0001	0.0	1.0	-0.578	0.930	-0.576	0.934	17,0,17,34,17,68,204,425,1394,2958,4522,6392,7106,5202,3230,1785,833,306,187,68,0,0,0,0,0,0,0,0,34,0,0,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	29	/model.10/m/m.0/attn/proj/conv/Conv[Conv]	model.10.m.0.attn.proj.conv.bias[Constant]			0.0	0.0	1.0	-1.335	0.738	-1.335	0.738	170,255,0,0,0,0,0,0,0,357,680,0,204,1785,2346,2125,2703,3604,3298,1683,2975,1598,2890,2635,1088,1411,1122,544,425,187,255,476	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	30	/model.10/m/m.0/attn/proj/conv/Conv[Conv]	/model.10/m/m.0/attn/proj/conv/Conv_output_0			0.1145	0.0567	0.942	-4.304	4.065	-3.839	4.315	4,2,7,7,23,25,75,143,253,504,1021,1899,3082,4433,5431,5334,4681,3250,2041,1216,649,335,184,108,48,25,12,10,7,5,1,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	31	/model.19/m.0/m/m.0/cv1/act/Mul[Mul]	/model.19/m.0/m/m.0/cv1/act/Mul_output_0			0.1114	0.012	0.9449	-0.282	2.979	-0.278	3.221	16845,5728,3430,2271,1652,1151,927,793,585,450,272,183,133,115,84,37,27,36,23,18,6,10,10,7,10,6,2,2,1,0,1,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	32	/model.19/cv2/conv/Conv[Conv]	model.19.cv2.conv.weight[Constant]			0.0003	0.0	0.9999	-0.688	0.653	-0.689	0.661	34,17,17,0,34,0,51,102,34,119,170,272,476,1054,2499,7446,14841,4573,1870,646,204,85,68,34,68,0,51,0,0,0,17,34	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	33	/model.19/cv2/conv/Conv[Conv]	model.19.cv2.conv.bias[Constant]			0.0018	0.002	0.9991	-2.823	3.921	-2.822	3.921	595,0,306,0,0,0,714,1462,1173,4301,3383,3281,2006,2482,1445,1139,3383,1258,3009,833,2023,425,0,1071,0,323,0,0,0,0,0,204	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	34	/model.19/cv2/conv/Conv[Conv]	/model.19/cv2/conv/Conv_output_0			0.111	0.2245	0.9429	-10.013	4.424	-19.317	4.491	1,0,0,0,2,1,2,9,9,4,14,10,18,18,17,30,41,49,71,133,193,384,1017,2556,6505,10933,7308,3856,1082,263,91,199	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	35	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul[Mul]	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0	P4	confidence	0.1085	0.0638	0.9447	-0.267	8.234	-0.278	8.364	10261,5849,5676,4783,3326,1998,1200,704,407,233,159,58,67,38,18,13,7,7,5,3,0,1,0,0,0,1,0,0,0,0,1,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	36	/model.19/m.0/m/m.1/cv1/act/Mul[Mul]	/model.19/m.0/m/m.1/cv1/act/Mul_output_0			0.1081	0.0176	0.9455	-0.270	3.882	-0.278	3.948	16890,5661,3489,2342,1607,1213,927,690,523,385,282,203,166,100,84,59,39,34,19,26,20,13,7,8,5,3,7,4,4,3,2,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	37	/model.1/conv/Conv[Conv]	model.1.conv.weight[Constant]			0.0001	0.0	1.0	-1.480	1.367	-1.485	1.372	51,34,0,0,17,34,85,34,136,119,289,204,578,782,1819,4471,12988,6630,2686,1411,1071,731,153,153,119,85,17,0,34,51,0,34	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	38	/model.1/conv/Conv[Conv]	model.1.conv.bias[Constant]			0.0025	0.0735	0.9988	-4.269	20.048	-4.267	20.191	1105,2550,5865,1173,4590,3162,7327,1156,1071,0,1156,0,0,0,0,0,1139,1224,0,1105,0,0,1156,0,0,0,0,0,0,0,0,1037	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	39	/model.1/conv/Conv[Conv]	/model.1/conv/Conv_output_0			0.1066	2.9099	0.9484	-10.346	70.943	-90.380	72.251	1,1,0,1,1,0,3,2,4,6,19,25,43,69,115,402,1220,11841,17786,2587,394,156,56,33,22,10,8,4,2,3,1,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	40	/model.22/Concat[Concat]	/model.22/Split_output_0			0.17	0.088	0.9145	-0.287	7.309	-0.278	8.841	21295,4548,2753,1837,1242,954,611,440,335,234,179,127,89,53,36,27,11,12,6,3,4,6,4,4,3,0,1,1,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	41	/model.22/Concat[Concat]	/model.22/Concat_output_0			0.1064	0.0787	0.9467	-5.520	7.302	-8.051	9.451	1,0,0,0,0,3,4,4,23,54,156,546,1124,2024,20260,4873,2620,1502,803,392,207,109,40,39,13,9,5,3,1,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	42	/model.22/m.0/m.0.1/attn/proj/conv/Conv[Conv]	model.22.m.0.1.attn.proj.conv.weight[Constant]			0.0001	0.0	1.0	-0.280	0.304	-0.280	0.305	34,0,34,51,51,102,119,272,289,714,1037,1870,2754,4624,4522,4743,4318,3247,2244,1360,799,510,425,238,221,85,51,34,17,17,17,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	43	/model.22/m.0/m.0.1/attn/proj/conv/Conv[Conv]	model.22.m.0.1.attn.proj.conv.bias[Constant]			0.0	0.0	1.0	-0.490	0.579	-0.490	0.579	493,493,0,0,0,255,697,1530,1785,595,2482,3315,1530,2822,3604,2992,2822,1360,969,3060,1292,901,1241,170,238,0,0,0,0,0,0,170	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	44	/model.22/m.0/m.0.1/attn/proj/conv/Conv[Conv]	/model.22/m.0/m.0.1/attn/proj/conv/Conv_output_0			0.1064	0.0449	0.949	-4.421	4.460	-4.107	5.237	2,5,4,9,22,38,75,141,285,584,1220,2729,4752,7411,7344,4643,2712,1404,735,341,190,85,45,17,9,7,1,4,0,1,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	45	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul[Mul]	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0			0.1052	0.0343	0.9477	-0.255	11.386	-0.278	12.683	26817,4224,1724,833,479,241,177,92,78,45,27,20,23,7,6,6,6,5,1,3,0,0,0,1,0,0,0,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	46	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul[Mul]	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0	P5	confidence	0.1038	0.0663	0.9473	-0.260	13.022	-0.278	16.856	17658,9074,4850,2027,711,276,112,48,19,17,5,6,2,3,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	47	/model.13/m.0/cv2/act/Mul[Mul]	/model.13/m.0/cv2/act/Mul_output_0			0.1032	0.0418	0.947	-0.276	6.105	-0.278	7.781	20313,4611,2937,2000,1443,1053,768,557,371,249,170,120,81,47,26,22,18,7,6,5,3,4,2,2,0,0,0,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	48	/model.21/Concat[Concat]	/model.21/Concat_output_0			0.1002	0.0164	0.9491	-0.286	5.275	-0.278	5.565	22195,5014,2514,1575,1131,726,519,356,215,177,108,87,52,40,26,17,14,11,3,9,9,8,1,2,1,3,0,1,0,1,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	49	/model.22/m.0/m.0.1/attn/Add[Add]	/model.22/m.0/m.0.1/attn/Reshape_1_output_0			0.0655	0.0284	0.9678	-5.470	5.070	-7.021	5.400	1,1,1,0,0,0,5,6,15,24,36,81,164,289,598,1211,3274,9014,12658,4372,1472,788,416,188,103,35,37,14,7,3,0,3	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	50	/model.22/m.0/m.0.1/attn/Add[Add]	/model.22/m.0/m.0.1/attn/Add_output_0			0.0999	0.0759	0.9519	-7.604	6.416	-8.005	6.216	1,0,1,0,0,3,2,9,16,38,52,132,305,512,1107,2240,4670,8233,8487,4984,2262,986,442,195,77,36,17,3,2,0,3,1	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	51	/model.19/m.0/cv3/act/Mul[Mul]	/model.19/m.0/cv3/act/Mul_output_0			0.0998	0.1292	0.9494	-0.263	9.303	-0.278	9.644	16072,4334,3144,2448,2152,1681,1369,1071,723,509,398,257,181,147,94,58,46,37,24,17,13,14,4,8,7,2,2,0,0,1,0,3	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	52	/model.10/m/m.0/attn/Add[Add]	/model.10/m/m.0/attn/Reshape_1_output_0			0.0743	0.0758	0.9622	-6.021	5.363	-6.051	5.912	4,7,9,18,26,37,47,79,127,295,501,990,1529,2555,3973,5858,7000,4496,3003,1901,1118,621,300,134,81,62,18,10,7,4,3,3	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	53	/model.10/m/m.0/attn/Add[Add]	/model.10/m/m.0/attn/Add_output_0			0.0989	0.0449	0.9498	-3.137	3.398	-3.053	3.209	9,7,25,39,48,132,251,397,613,843,1178,1791,2499,3313,4034,4504,4377,3661,2677,1792,1116,695,400,208,111,54,26,12,2,0,1,1	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	54	/model.19/Concat[Concat]	/model.19/Split_output_0			0.0891	0.035	0.9548	-0.284	5.178	-0.278	6.049	12529,6078,4702,3535,2368,1633,1152,823,600,394,283,205,145,95,72,57,38,24,17,18,15,8,9,5,2,1,2,1,1,1,2,1	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	55	/model.19/Concat[Concat]	/model.19/Concat_output_0			0.0962	0.0647	0.9512	-0.278	7.825	-0.278	8.004	16414,5477,3792,2489,1881,1274,907,721,454,386,290,215,124,95,68,63,42,36,24,16,14,8,7,9,2,1,1,2,1,1,0,2	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	56	/model.19/m.0/m/m.1/cv2/conv/Conv[Conv]	model.19.m.0.m.1.cv2.conv.weight[Constant]			0.0002	0.0	0.9999	-3.538	2.692	-3.524	2.689	17,0,0,0,0,0,0,0,17,0,17,34,119,221,221,544,1955,10642,16456,3349,663,357,51,119,0,17,0,0,0,0,0,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	57	/model.19/m.0/m/m.1/cv2/conv/Conv[Conv]	model.19.m.0.m.1.cv2.conv.bias[Constant]			0.0	0.0001	1.0	-1.716	2.883	-1.694	2.882	986,1020,0,0,0,0,1054,0,0,3196,986,1972,1071,2091,0,952,0,4318,1241,0,0,0,1955,2006,0,3094,0,1054,0,1224,1360,5236	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	58	/model.19/m.0/m/m.1/cv2/conv/Conv[Conv]	/model.19/m.0/m/m.1/cv2/conv/Conv_output_0			0.095	0.8085	0.9517	-9.962	20.406	-14.539	21.057	4,7,20,41,60,95,163,356,533,864,1439,2390,4099,6603,6992,5321,3148,1492,686,257,102,38,25,23,22,8,4,9,7,3,0,5	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	59	/model.22/m.0/m.0.1/Add_1[Add]	/model.22/m.0/m.0.1/Add_1_output_0			0.095	0.1457	0.9529	-5.608	9.521	-5.737	9.149	3,2,5,15,31,83,195,533,1252,2486,4320,5676,6011,4885,3458,2270,1471,909,552,312,149,79,52,24,18,10,5,5,1,2,0,2	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	60	/model.19/cv2/act/Mul[Mul]	/model.19/cv2/act/Mul_output_0			0.0932	0.0285	0.9534	-0.279	4.364	-0.278	4.444	16314,5965,2940,2109,1587,1235,1090,863,656,468,336,219,201,176,137,83,82,84,42,29,21,21,15,9,5,5,5,30,37,32,14,6	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	61	/model.2/cv2/conv/Conv[Conv]	model.2.cv2.conv.weight[Constant]			0.0001	0.0	1.0	-1.227	0.838	-1.231	0.841	17,0,17,0,34,51,17,0,85,51,272,272,272,357,663,1224,1547,4063,9962,8993,3315,1309,935,527,306,119,153,136,34,34,17,34	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	62	/model.2/cv2/conv/Conv[Conv]	model.2.cv2.conv.bias[Constant]			0.0048	0.0295	0.9977	-2.091	5.209	-2.087	5.292	561,527,1207,0,561,493,0,544,1547,952,527,918,595,4284,952,1513,1156,3757,935,918,1479,2193,544,2975,595,1649,612,1173,0,629,561,459	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	63	/model.2/cv2/conv/Conv[Conv]	/model.2/cv2/conv/Conv_output_0			0.0931	0.7762	0.9545	-9.937	12.568	-37.556	12.476	1,0,3,2,2,5,5,4,5,9,15,16,13,36,40,79,84,142,259,431,652,1225,2568,8466,10434,8125,1585,495,76,22,14,3	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	64	/model.22/cv2/act/Mul[Mul]	/model.22/cv2/act/Mul_output_0			0.0925	0.061	0.9547	-0.279	11.581	-0.278	12.102	26494,3552,1445,894,579,442,361,271,210,166,106,86,76,52,27,16,5,3,5,5,2,6,3,1,2,3,2,0,0,0,0,2	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	65	/model.19/m.0/cv2/act/Mul[Mul]	/model.19/m.0/cv2/act/Mul_output_0			0.0911	0.0461	0.9537	-0.267	5.697	-0.278	6.029	14717,5404,3761,2648,2138,1487,1173,887,656,468,360,283,178,136,118,81,61,62,41,37,29,19,22,13,16,6,3,4,3,1,1,3	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	66	/model.22/m.0/m.0.1/attn/pe/conv/Conv[Conv]	/model.22/m.0/m.0.1/attn/Reshape_2_output_0			0.0762	0.0583	0.9631	-7.359	6.641	-7.271	7.416	1,3,4,4,9,15,12,23,56,128,267,457,963,1764,4208,11032,9589,2964,1590,800,448,222,117,69,26,14,13,10,3,0,3,2	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	67	/model.22/m.0/m.0.1/attn/pe/conv/Conv[Conv]	model.22.m.0.1.attn.pe.conv.weight[Constant]			0.0	0.0001	1.0	-8.309	7.822	-8.276	7.825	68,34,51,0,34,102,51,170,204,34,646,561,629,1122,1785,4692,17391,2737,1564,918,391,408,442,204,68,136,136,34,51,85,17,51	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	68	/model.22/m.0/m.0.1/attn/pe/conv/Conv[Conv]	model.22.m.0.1.attn.pe.conv.bias[Constant]			0.0	0.0	1.0	-1.431	3.418	-1.431	3.418	578,0,646,238,272,170,1037,1887,2924,19805,3468,1207,816,952,0,0,0,357,0,0,0,0,272,0,0,0,0,0,0,0,0,187	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	69	/model.22/m.0/m.0.1/attn/pe/conv/Conv[Conv]	/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0			0.0902	0.0693	0.9567	-7.383	7.444	-7.454	7.360	1,2,1,0,2,1,10,16,42,102,253,407,944,2039,4439,8245,8751,5205,2498,1100,415,193,80,43,18,3,2,2,0,1,0,1	0	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	70	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv[Conv]	model.23.one2one_cv3.2.0.1.conv.weight[Constant]	P5	confidence	0.0001	0.0	1.0	-0.501	0.465	-0.499	0.466	17,51,0,17,17,51,85,68,238,340,476,782,1020,1258,2244,6324,9452,5712,2278,1496,969,544,391,374,272,102,85,51,85,0,0,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
