candidate	image_index	image	fp32_split_vs_unsplit_mae	fp32_split_vs_unsplit_max_abs	fp32_split_vs_unsplit_cosine	s8_vs_fp32_mae	s8_vs_fp32_max_abs	s8_vs_fp32_cosine	candidate_tail_vs_source_mae	candidate_tail_vs_source_max_abs	candidate_tail_vs_source_cosine	confidence_branch_collapsed	status
B2	0	000000209933.jpg	0.0	0.0	1.0	93.60338139269086	542.5576038360596	0.864188887755327	0.0	0.0	1.0	0	pass
B2	1	000000300908.jpg	0.0	0.0	1.0	86.50574954246481	468.0342102050781	0.9082304274630666	0.0	0.0	1.0	0	pass
B2	2	000000221730.jpg	0.0	0.0	1.0	114.62149408178198	612.5609130859375	0.8234383988339575	0.0	0.0	1.0	0	pass
B2	3	000000052109.jpg	0.0	0.0	1.0	97.11106785254346	633.8938941955566	0.7873221294115847	0.0	0.0	1.0	0	pass
B2	4	000000081819.jpg	0.0	0.0	1.0	84.50125612088375	473.6756134033203	0.8597970629207636	0.0	0.0	1.0	0	pass
B2	5	000000168943.jpg	0.0	0.0	1.0	56.39237306424313	436.6780548095703	0.9140378583094502	0.0	0.0	1.0	0	pass
B2	6	000000426831.jpg	0.0	0.0	1.0000000000000002	85.39594077741107	634.1277265548706	0.8167631161611139	0.0	0.0	1.0000000000000002	0	pass
B2	7	000000054718.jpg	0.0	0.0	1.0	118.40510425021252	639.4811096191406	0.7785288517964482	0.0	0.0	1.0	0	pass
B2	8	000000195394.jpg	0.0	0.0	1.0000000000000002	58.19768395854367	481.18627548217773	0.9579226269204482	0.0	0.0	1.0000000000000002	0	pass
B2	9	000000368347.jpg	0.0	0.0	1.0000000000000002	74.37974084839225	527.0659484863281	0.8836817256883238	0.0	0.0	1.0000000000000002	0	pass
B2	10	000000349403.jpg	0.0	0.0	0.9999999999999999	84.74891983686221	632.1711297035217	0.7622952996141023	0.0	0.0	0.9999999999999999	0	pass
B2	11	000000312286.jpg	0.0	0.0	1.0	101.7752828869058	635.9134705066681	0.7606462330149749	0.0	0.0	1.0	0	pass
B2	12	000000232612.jpg	0.0	0.0	1.0	115.21677355643776	606.1297149658203	0.8118721660973741	0.0	0.0	1.0	0	pass
B2	13	000000382341.jpg	0.0	0.0	0.9999999999999999	106.08160812940862	635.7934217453003	0.8568533379871757	0.0	0.0	0.9999999999999999	0	pass
B2	14	000000044954.jpg	0.0	0.0	1.0	74.83132127874427	596.1614508628845	0.8977393234450272	0.0	0.0	1.0	0	pass
B2	15	000000561187.jpg	0.0	0.0	1.0000000000000002	75.11774157048927	622.6131649017334	0.922991790415611	0.0	0.0	1.0000000000000002	0	pass
B2	16	000000401320.jpg	0.0	0.0	0.9999999999999999	99.57177961717049	628.6275024414062	0.8081592776168137	0.0	0.0	0.9999999999999999	0	pass
B2	17	000000216524.jpg	0.0	0.0	1.0000000000000002	113.74174701877766	629.5514526367188	0.7823800559187928	0.0	0.0	1.0000000000000002	0	pass
B2	18	000000505663.jpg	0.0	0.0	1.0	100.55313458300299	637.9531860351562	0.8771961357791916	0.0	0.0	1.0	0	pass
B2	19	000000151833.jpg	0.0	0.0	1.0000000000000002	62.35775009216534	511.4667320251465	0.9507497615243119	0.0	0.0	1.0000000000000002	0	pass
B2	20	000000581815.jpg	0.0	0.0	1.0	72.2359975671437	598.0956134796143	0.8867562617750481	0.0	0.0	1.0	0	pass
B2	21	000000099546.jpg	0.0	0.0	1.0	109.1990181038777	629.3395156860352	0.8471921111621215	0.0	0.0	1.0	0	pass
B2	22	000000568009.jpg	0.0	0.0	1.0	59.393140327235066	426.76445388793945	0.9520309159526027	0.0	0.0	1.0	0	pass
B2	23	000000358024.jpg	0.0	0.0	1.0	142.41436752325959	633.0415573120117	0.6658349512591858	0.0	0.0	1.0	0	pass
