fixture_scope	candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
fixed-F0-bus-Zidane-canonical	B2	1	ultralytics_zidane.jpg	split-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	178.612884	4.378903	182.99178700000002
fixed-F0-bus-Zidane-canonical	B2	1	ultralytics_zidane.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	3.270914	nan
fixed-F0-bus-Zidane-canonical	B2	1	ultralytics_zidane.jpg	split-s8	1x300x6	float32	c5b79d60e6a1968a54be4adc83942629aed712ba68e97b30a01354c833d8ed28	0	-1.1554698944091797	639.9432373046875	263.26702880859375	201.97189331054688	64	1736	7	1729	248.536529	3.578027	252.114556
fixed-F0-bus-Zidane-canonical	B2	2	canonical_photo.jpg	source-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B2	2	canonical_photo.jpg	split-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	172.086111	3.611392	175.69750299999998
fixed-F0-bus-Zidane-canonical	B2	2	canonical_photo.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	3.508214	nan
fixed-F0-bus-Zidane-canonical	B2	2	canonical_photo.jpg	split-s8	1x300x6	float32	1954db9385391851bb4d5256cffe5512911f358a5b08204fa5584cb532f1644d	0	-7.109405517578125	641.4884643554688	217.97055053710938	191.38243103027344	57	1743	7	1736	246.095208	3.667047	249.762255
fixed-F0-bus-Zidane-canonical	B3	0	ultralytics_bus.jpg	source-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B3	0	ultralytics_bus.jpg	split-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	186.518384	8.7141	195.232484
fixed-F0-bus-Zidane-canonical	B3	0	ultralytics_bus.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	4.918681	nan
fixed-F0-bus-Zidane-canonical	B3	0	ultralytics_bus.jpg	split-s8	1x300x6	float32	48befd7a30fb6a817a6080457e910970ab37c93df1bf36c9363e0641117a5407	0	-0.28853416442871094	560.7207641601562	188.53228759765625	166.42042541503906	85	1715	2	1713	267.094737	7.435658	274.530395
fixed-F0-bus-Zidane-canonical	B3	1	ultralytics_zidane.jpg	source-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B3	1	ultralytics_zidane.jpg	split-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	176.411924	4.561871	180.973795
fixed-F0-bus-Zidane-canonical	B3	1	ultralytics_zidane.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	3.488289	nan
fixed-F0-bus-Zidane-canonical	B3	1	ultralytics_zidane.jpg	split-s8	1x300x6	float32	832f22875496ca23208ef6c00fa8f1a5602f2cc98086e94d427edd5832851dd0	0	0.0	640.2885131835938	265.6418151855469	193.0800323486328	19	1781	0	1781	255.990182	3.762284	259.752466
fixed-F0-bus-Zidane-canonical	B3	2	canonical_photo.jpg	source-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B3	2	canonical_photo.jpg	split-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	175.848129	3.802927	179.651056
fixed-F0-bus-Zidane-canonical	B3	2	canonical_photo.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	3.467095	nan
fixed-F0-bus-Zidane-canonical	B3	2	canonical_photo.jpg	split-s8	1x300x6	float32	b5ae21eae8a009e9bf3e222dc2e4d9b5c8b499bd05b366eb34069eb07390553d	0	-3.246002197265625	654.5200805664062	205.24046325683594	177.0235595703125	53	1747	9	1738	246.4852	3.731238	250.21643799999998
fixed-F0-bus-Zidane-canonical	B4	0	ultralytics_bus.jpg	source-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B4	0	ultralytics_bus.jpg	split-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	189.43087	7.006149	196.437019
fixed-F0-bus-Zidane-canonical	B4	0	ultralytics_bus.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	4.637277	nan
fixed-F0-bus-Zidane-canonical	B4	0	ultralytics_bus.jpg	split-s8	1x300x6	float32	045cddf426fdd969d3e87f662fc9ffed7c406d3c0fd7487a8179723d54e83fa7	0	-0.6813240051269531	561.3776245117188	187.23281860351562	170.81097412109375	101	1699	6	1693	266.440793	6.642635	273.08342799999997
fixed-F0-bus-Zidane-canonical	B4	1	ultralytics_zidane.jpg	source-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B4	1	ultralytics_zidane.jpg	split-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	181.260401	4.474276	185.734677
fixed-F0-bus-Zidane-canonical	B4	1	ultralytics_zidane.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	3.449358	nan
fixed-F0-bus-Zidane-canonical	B4	1	ultralytics_zidane.jpg	split-s8	1x300x6	float32	93e52441c407c916e239b9962b7a9475eb5dc1d769b33376a7129400c77c3e68	0	-0.5316886901855469	640.5316772460938	262.50103759765625	201.26658630371094	51	1749	11	1738	254.44694	3.534652	257.98159200000003
fixed-F0-bus-Zidane-canonical	B4	2	canonical_photo.jpg	source-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B4	2	canonical_photo.jpg	split-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	173.820517	3.747739	177.568256
fixed-F0-bus-Zidane-canonical	B4	2	canonical_photo.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	3.303349	nan
fixed-F0-bus-Zidane-canonical	B4	2	canonical_photo.jpg	split-s8	1x300x6	float32	be867d39454c7c8d1d1f179bd24f52babe2fa66cd446d48b9e3913ffc2feb0c0	0	-3.48626708984375	662.3652954101562	209.03903198242188	182.37808227539062	57	1743	9	1734	246.967936	4.184242	251.15217800000002
fixed-F0-bus-Zidane-canonical	B5	0	ultralytics_bus.jpg	source-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B5	0	ultralytics_bus.jpg	split-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	186.398824	9.368788	195.76761199999999
fixed-F0-bus-Zidane-canonical	B5	0	ultralytics_bus.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	4.760561	nan
fixed-F0-bus-Zidane-canonical	B5	0	ultralytics_bus.jpg	split-s8	1x300x6	float32	bb97577a4a156f2ab618ca3dad705a6748fa119eae54c100b9f92ee64d71c969	0	-0.42426300048828125	562.1065673828125	187.7579803466797	167.4403533935547	99	1701	3	1698	259.973009	8.010197	267.983206
fixed-F0-bus-Zidane-canonical	B5	1	ultralytics_zidane.jpg	source-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B5	1	ultralytics_zidane.jpg	split-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	178.855641	4.660568	183.516209
fixed-F0-bus-Zidane-canonical	B5	1	ultralytics_zidane.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	3.397386	nan
fixed-F0-bus-Zidane-canonical	B5	1	ultralytics_zidane.jpg	split-s8	1x300x6	float32	9d1edfc7b00143bd62024c213b12ecc03aa49662b61e9ba59dd7396b3bb6ada3	0	-0.2451176643371582	639.9393920898438	269.4486083984375	199.2007293701172	28	1772	2	1770	250.405576	3.759924	254.1655
fixed-F0-bus-Zidane-canonical	B5	2	canonical_photo.jpg	source-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B5	2	canonical_photo.jpg	split-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	172.515602	3.592363	176.107965
fixed-F0-bus-Zidane-canonical	B5	2	canonical_photo.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	3.668891	nan
fixed-F0-bus-Zidane-canonical	B5	2	canonical_photo.jpg	split-s8	1x300x6	float32	4a077649537d43a66f21a5a503d21a867b252282c0604de1a6ea9eb82ddae848	0	-3.48626708984375	671.2138671875	214.2366485595703	179.21145629882812	45	1755	3	1752	246.599588	3.8067	250.40628800000002
fixed-F0-bus-Zidane-canonical	B6	0	ultralytics_bus.jpg	source-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B6	0	ultralytics_bus.jpg	split-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	182.123743	6.67226	188.79600299999998
fixed-F0-bus-Zidane-canonical	B6	0	ultralytics_bus.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	4.452214	nan
fixed-F0-bus-Zidane-canonical	B6	0	ultralytics_bus.jpg	split-s8	1x300x6	float32	75aaa3e98c78990668d462feadd212f00ae902f53bf3d58ff27b1a6f5e981858	0	-0.45920372009277344	561.3051147460938	190.5338134765625	164.8115234375	92	1708	1	1707	259.982842	7.089419	267.072261
fixed-F0-bus-Zidane-canonical	B6	1	ultralytics_zidane.jpg	source-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B6	1	ultralytics_zidane.jpg	split-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	175.722442	4.290876	180.013318
fixed-F0-bus-Zidane-canonical	B6	1	ultralytics_zidane.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	3.2073	nan
fixed-F0-bus-Zidane-canonical	B6	1	ultralytics_zidane.jpg	split-s8	1x300x6	float32	2aba5961291b848c6184ca5a6e955f18d0ac3f2e3844ad8c5862cd4e203ca055	0	-0.2423229217529297	639.7582397460938	263.54791259765625	194.7493133544922	34	1766	2	1764	248.395847	3.456548	251.852395
fixed-F0-bus-Zidane-canonical	B6	2	canonical_photo.jpg	source-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B6	2	canonical_photo.jpg	split-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	174.220654	3.779613	178.000267
fixed-F0-bus-Zidane-canonical	B6	2	canonical_photo.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	3.375612	nan
fixed-F0-bus-Zidane-canonical	B6	2	canonical_photo.jpg	split-s8	1x300x6	float32	6403976db8d6f083045f9faf3ebbfd34f81895dc4a1fd7718e19a60fc7b8cec9	0	-5.69842529296875	662.3652954101562	205.5520477294922	174.59579467773438	58	1742	4	1738	243.71635	3.518837	247.235187
