fixture_scope	candidate	image_index	image	surface	score_min	score_max	score_mean	positive_score_count	score_over_0_25_count	unique_class_count	collapsed
H500-first-100	B1	0	000000209933.jpg	source-fp32	1.424551010131836e-05	0.893174409866333	0.00658376794308424	300	2	35	0
H500-first-100	B1	0	000000209933.jpg	split-fp32	1.424551010131836e-05	0.893174409866333	0.00658376794308424	300	2	35	0
H500-first-100	B1	0	000000209933.jpg	candidate-tail-on-fp32-boundaries	1.424551010131836e-05	0.893174409866333	0.00658376794308424	300	2	35	0
H500-first-100	B1	0	000000209933.jpg	split-s8	1.996755599975586e-05	0.5	0.0036530708894133568	300	2	40	0
H500-first-100	B1	1	000000300908.jpg	source-fp32	4.464387893676758e-05	0.9347807168960571	0.006611714139580727	300	3	25	0
H500-first-100	B1	1	000000300908.jpg	split-fp32	4.464387893676758e-05	0.9347807168960571	0.006611714139580727	300	3	25	0
H500-first-100	B1	1	000000300908.jpg	candidate-tail-on-fp32-boundaries	4.464387893676758e-05	0.9347807168960571	0.006611714139580727	300	3	25	0
H500-first-100	B1	1	000000300908.jpg	split-s8	6.026029586791992e-05	0.5	0.006043741479516029	300	3	38	0
H500-first-100	B1	2	000000221730.jpg	source-fp32	0.00018343329429626465	0.8871041536331177	0.005164002999663353	300	1	61	0
H500-first-100	B1	2	000000221730.jpg	split-fp32	0.00018343329429626465	0.8871041536331177	0.005164002999663353	300	1	61	0
H500-first-100	B1	2	000000221730.jpg	candidate-tail-on-fp32-boundaries	0.00018343329429626465	0.8871041536331177	0.005164002999663353	300	1	61	0
H500-first-100	B1	2	000000221730.jpg	split-s8	0.00036832690238952637	0.5	0.005844574421644211	300	1	63	0
H500-first-100	B1	3	000000052109.jpg	source-fp32	0.00019672513008117676	0.9083641767501831	0.01612047106027603	300	5	20	0
H500-first-100	B1	3	000000052109.jpg	split-fp32	0.00019672513008117676	0.9083641767501831	0.01612047106027603	300	5	20	0
H500-first-100	B1	3	000000052109.jpg	candidate-tail-on-fp32-boundaries	0.00019672513008117676	0.9083641767501831	0.01612047106027603	300	5	20	0
H500-first-100	B1	3	000000052109.jpg	split-s8	0.00024297833442687988	0.5	0.010564291849732399	300	5	26	0
H500-first-100	B1	4	000000081819.jpg	source-fp32	0.0008813738822937012	0.93614661693573	0.021904177963733673	300	7	18	0
H500-first-100	B1	4	000000081819.jpg	split-fp32	0.0008813738822937012	0.93614661693573	0.021904177963733673	300	7	18	0
H500-first-100	B1	4	000000081819.jpg	candidate-tail-on-fp32-boundaries	0.0008813738822937012	0.93614661693573	0.021904177963733673	300	7	18	0
H500-first-100	B1	4	000000081819.jpg	split-s8	0.0009195506572723389	0.5	0.01869964227080345	300	7	18	0
H500-first-100	B1	5	000000168943.jpg	source-fp32	1.239776611328125e-05	0.9370105266571045	0.006704902742058039	300	2	41	0
H500-first-100	B1	5	000000168943.jpg	split-fp32	1.239776611328125e-05	0.9370105266571045	0.006704902742058039	300	2	41	0
H500-first-100	B1	5	000000168943.jpg	candidate-tail-on-fp32-boundaries	1.239776611328125e-05	0.9370105266571045	0.006704902742058039	300	2	41	0
H500-first-100	B1	5	000000168943.jpg	split-s8	3.0279159545898438e-05	0.5	0.0045560188591480255	300	2	52	0
H500-first-100	B1	6	000000426831.jpg	source-fp32	0.001825481653213501	0.3435274362564087	0.01429640781134367	300	3	30	0
H500-first-100	B1	6	000000426831.jpg	split-fp32	0.001825481653213501	0.3435274362564087	0.01429640781134367	300	3	30	0
H500-first-100	B1	6	000000426831.jpg	candidate-tail-on-fp32-boundaries	0.001825481653213501	0.3435274362564087	0.01429640781134367	300	3	30	0
H500-first-100	B1	6	000000426831.jpg	split-s8	0.00131148099899292	0.5	0.013185948133468628	300	2	31	0
H500-first-100	B1	7	000000054718.jpg	source-fp32	6.535649299621582e-05	0.9340739846229553	0.013741175644099712	300	5	31	0
H500-first-100	B1	7	000000054718.jpg	split-fp32	6.535649299621582e-05	0.9340739846229553	0.013741175644099712	300	5	31	0
H500-first-100	B1	7	000000054718.jpg	candidate-tail-on-fp32-boundaries	6.535649299621582e-05	0.9340739846229553	0.013741175644099712	300	5	31	0
H500-first-100	B1	7	000000054718.jpg	split-s8	0.00010567903518676758	0.5	0.011279555037617683	300	5	37	0
H500-first-100	B1	8	000000195394.jpg	source-fp32	5.4895877838134766e-05	0.9187237620353699	0.007007656153291464	300	3	23	0
H500-first-100	B1	8	000000195394.jpg	split-fp32	5.4895877838134766e-05	0.9187237620353699	0.007007656153291464	300	3	23	0
H500-first-100	B1	8	000000195394.jpg	candidate-tail-on-fp32-boundaries	5.4895877838134766e-05	0.9187237620353699	0.007007656153291464	300	3	23	0
H500-first-100	B1	8	000000195394.jpg	split-s8	7.88569450378418e-05	0.5	0.005735939368605614	300	2	39	0
H500-first-100	B1	9	000000368347.jpg	source-fp32	5.316734313964844e-05	0.8676844239234924	0.008444576524198055	300	3	37	0
H500-first-100	B1	9	000000368347.jpg	split-fp32	5.316734313964844e-05	0.8676844239234924	0.008444576524198055	300	3	37	0
H500-first-100	B1	9	000000368347.jpg	candidate-tail-on-fp32-boundaries	5.316734313964844e-05	0.8676844239234924	0.008444576524198055	300	3	37	0
H500-first-100	B1	9	000000368347.jpg	split-s8	4.6640634536743164e-05	0.5	0.005056712310761213	300	3	40	0
H500-first-100	B1	10	000000349403.jpg	source-fp32	0.0006747543811798096	0.8984994888305664	0.019101271405816078	300	6	23	0
H500-first-100	B1	10	000000349403.jpg	split-fp32	0.0006747543811798096	0.8984994888305664	0.019101271405816078	300	6	23	0
H500-first-100	B1	10	000000349403.jpg	candidate-tail-on-fp32-boundaries	0.0006747543811798096	0.8984994888305664	0.019101271405816078	300	6	23	0
H500-first-100	B1	10	000000349403.jpg	split-s8	0.0008169412612915039	0.5	0.01415740605443716	300	4	30	0
H500-first-100	B1	11	000000312286.jpg	source-fp32	0.001326143741607666	0.8773025870323181	0.03221433609724045	300	13	16	0
H500-first-100	B1	11	000000312286.jpg	split-fp32	0.001326143741607666	0.8773025870323181	0.03221433609724045	300	13	16	0
H500-first-100	B1	11	000000312286.jpg	candidate-tail-on-fp32-boundaries	0.001326143741607666	0.8773025870323181	0.03221433609724045	300	13	16	0
H500-first-100	B1	11	000000312286.jpg	split-s8	0.0016616284847259521	0.5	0.029410066083073616	300	13	18	0
H500-first-100	B1	12	000000232612.jpg	source-fp32	0.0008568465709686279	0.9463723301887512	0.024911237880587578	300	7	34	0
H500-first-100	B1	12	000000232612.jpg	split-fp32	0.0008568465709686279	0.9463723301887512	0.024911237880587578	300	7	34	0
H500-first-100	B1	12	000000232612.jpg	candidate-tail-on-fp32-boundaries	0.0008568465709686279	0.9463723301887512	0.024911237880587578	300	7	34	0
