item	expected_or_accepted	verified	status
stage65b_result_packet_tree_sha256	341d1bfeca62f17839fc4c0ada96c21351cad1b9469676849039de35ebbb0d16	341d1bfeca62f17839fc4c0ada96c21351cad1b9469676849039de35ebbb0d16	pass
stage65b_packet_payloads	65	65	pass-sha256sum-check
fp32_model_sha256	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	pass
stage64_s8_model_sha256	29e08be834afb8925ca02af69d9a25df05449e9367ef3d8dd8ca4d57cf59a4fb	29e08be834afb8925ca02af69d9a25df05449e9367ef3d8dd8ca4d57cf59a4fb	pass
stage64_inference_sha256	ac855266d6ecaf092748692c10dd26548d0fa6c449d48bb7cc2b988257412d6c	ac855266d6ecaf092748692c10dd26548d0fa6c449d48bb7cc2b988257412d6c	pass
stage64_tail_sha256	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	pass
stage64_b0_prediction_sha256	6162fc26a654f19e21a7ba65f064ab1c3f651a318453944e25026f2e75ae3a00	6162fc26a654f19e21a7ba65f064ab1c3f651a318453944e25026f2e75ae3a00	pass
stage64_b0_map50_95	0.35876850879267863	0.35876850879267863	imported-control
stage64_b0_map50	0.5141763070517243	0.5141763070517243	imported-control
stage64_b0_ap_small	0.179113696685979	0.179113696685979	imported-control
stage64_b0_ap_medium	0.4176396163742976	0.4176396163742976	imported-control
stage64_b0_ap_large	0.5165509362490022	0.5165509362490022	imported-control
stage64_fp32_map50_95	0.40473065112282053	0.40473065112282053	imported-control
stage64_fp32_map50	0.5712619071892974	0.5712619071892974	imported-control
stage64_fp32_ap_small	0.19778857258539873	0.19778857258539873	imported-control
stage64_fp32_ap_medium	0.4414523593136039	0.4414523593136039	imported-control
stage64_fp32_ap_large	0.586958794539891	0.586958794539891	imported-control
