candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
B2	50	000000378347.jpg	source-fp32	1x300x6	float32	424a4c50bbcfd51c56cf8011eabf97fc0cc5b9c9b7108361526faed3d8105f6c	0	-1.8227043151855469	639.8983154296875	221.91725158691406	170.35888671875	22	1778	1	1777	nan	nan	nan
B2	50	000000378347.jpg	split-fp32	1x300x6	float32	424a4c50bbcfd51c56cf8011eabf97fc0cc5b9c9b7108361526faed3d8105f6c	0	-1.8227043151855469	639.8983154296875	221.91725158691406	170.35888671875	22	1778	1	1777	174.759923	3.74951	178.50943299999997
B2	50	000000378347.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	424a4c50bbcfd51c56cf8011eabf97fc0cc5b9c9b7108361526faed3d8105f6c	0	-1.8227043151855469	639.8983154296875	221.91725158691406	170.35888671875	22	1778	1	1777	nan	12.362267	nan
B2	50	000000378347.jpg	split-s8	1x300x6	float32	ddb8b0542934027aed2d46ed91448bc7726212752024a7dc72d95ef1fd8059fa	0	-2.2336502075195312	639.9432373046875	212.84552001953125	165.58474731445312	26	1774	1	1773	252.238816	4.048897	256.287713
B2	51	000000375325.jpg	source-fp32	1x300x6	float32	5b0bcc9673b162a5d83e58608a8b01b34e1353b9596965cbe3c44df209c3c8f8	0	-6.286529541015625	649.4659423828125	202.9920654296875	196.41421508789062	86	1714	36	1678	nan	nan	nan
B2	51	000000375325.jpg	split-fp32	1x300x6	float32	5b0bcc9673b162a5d83e58608a8b01b34e1353b9596965cbe3c44df209c3c8f8	0	-6.286529541015625	649.4659423828125	202.9920654296875	196.41421508789062	86	1714	36	1678	171.638973	3.452125	175.091098
B2	51	000000375325.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	5b0bcc9673b162a5d83e58608a8b01b34e1353b9596965cbe3c44df209c3c8f8	0	-6.286529541015625	649.4659423828125	202.9920654296875	196.41421508789062	86	1714	36	1678	nan	3.35624	nan
B2	51	000000375325.jpg	split-s8	1x300x6	float32	fa32867a5b92e7cd77aa0ce481d110be697ca726886ceafc8422f335d10481e2	0	-13.376190185546875	642.987060546875	209.59515380859375	218.13446044921875	81	1719	58	1661	246.495361	3.499673	249.995034
B2	52	000000408206.jpg	source-fp32	1x300x6	float32	c1fe88b19822950d4f1dacd3d5a46ce53e9e7ac503d392ecd9f6514c9a43e7b2	0	-4.841590881347656	643.6939086914062	225.4920196533203	191.58364868164062	128	1672	3	1669	nan	nan	nan
B2	52	000000408206.jpg	split-fp32	1x300x6	float32	c1fe88b19822950d4f1dacd3d5a46ce53e9e7ac503d392ecd9f6514c9a43e7b2	0	-4.841590881347656	643.6939086914062	225.4920196533203	191.58364868164062	128	1672	3	1669	176.043838	3.483647	179.52748499999998
B2	52	000000408206.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c1fe88b19822950d4f1dacd3d5a46ce53e9e7ac503d392ecd9f6514c9a43e7b2	0	-4.841590881347656	643.6939086914062	225.4920196533203	191.58364868164062	128	1672	3	1669	nan	3.391275	nan
B2	52	000000408206.jpg	split-s8	1x300x6	float32	4c354f1f2979180173e877aef538d7c7daacbae65e35d1dcd6f341e4e1159552	0	-4.1324310302734375	639.9432373046875	227.8681182861328	192.58665466308594	134	1666	6	1660	246.519687	3.412868	249.932555
