fixture_scope	candidate	image_index	image	fp32_split_vs_unsplit_mae	fp32_split_vs_unsplit_max_abs	fp32_split_vs_unsplit_cosine	s8_vs_fp32_mae	s8_vs_fp32_max_abs	s8_vs_fp32_cosine	candidate_tail_vs_source_mae	candidate_tail_vs_source_max_abs	candidate_tail_vs_source_cosine	confidence_branch_collapsed	status
H500-first-100	B1	0	000000209933.jpg	0.0	0.0	1.0	107.16310266067585	609.2926559448242	0.8417816734353383	0.0	0.0	1.0	0	pass
H500-first-100	B1	1	000000300908.jpg	0.0	0.0	1.0	96.96232410010364	553.4527587890625	0.8845869842638914	0.0	0.0	1.0	0	pass
H500-first-100	B1	2	000000221730.jpg	0.0	0.0	1.0	109.36015787831612	617.5957164764404	0.8303935972357762	0.0	0.0	1.0	0	pass
H500-first-100	B1	3	000000052109.jpg	0.0	0.0	1.0	101.89336451270515	636.5996246337891	0.7752347411449749	0.0	0.0	1.0	0	pass
H500-first-100	B1	4	000000081819.jpg	0.0	0.0	1.0	85.82822570746144	472.25975036621094	0.8581345237917468	0.0	0.0	1.0	0	pass
H500-first-100	B1	5	000000168943.jpg	0.0	0.0	1.0	69.6959810244706	443.0797576904297	0.8779266409694263	0.0	0.0	1.0	0	pass
H500-first-100	B1	6	000000426831.jpg	0.0	0.0	1.0000000000000002	93.74057840718163	636.2915449142456	0.8133487413306669	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	7	000000054718.jpg	0.0	0.0	1.0	115.53764491723643	638.2021570205688	0.7861393086943003	0.0	0.0	1.0	0	pass
H500-first-100	B1	8	000000195394.jpg	0.0	0.0	1.0000000000000002	66.52772832193308	492.9900131225586	0.9428448813823959	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	9	000000368347.jpg	0.0	0.0	1.0000000000000002	78.73550470807486	544.3742752075195	0.8763829873510556	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	10	000000349403.jpg	0.0	0.0	0.9999999999999999	87.09578201929729	632.8576064109802	0.7455408026822357	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	11	000000312286.jpg	0.0	0.0	1.0	100.93654922687345	635.8729114532471	0.767365891314904	0.0	0.0	1.0	0	pass
H500-first-100	B1	12	000000232612.jpg	0.0	0.0	1.0	120.12743400805526	626.2516098022461	0.8099212195170067	0.0	0.0	1.0	0	pass
H500-first-100	B1	13	000000382341.jpg	0.0	0.0	0.9999999999999999	123.18505213129852	636.095362663269	0.8194951174263176	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	14	000000044954.jpg	0.0	0.0	1.0	79.41693129609028	597.2131900787354	0.890084652043814	0.0	0.0	1.0	0	pass
H500-first-100	B1	15	000000561187.jpg	0.0	0.0	1.0000000000000002	71.76875126221114	426.69200134277344	0.9300849871224147	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	16	000000401320.jpg	0.0	0.0	0.9999999999999999	111.04239712521434	632.5401406288147	0.7677678633987564	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	17	000000216524.jpg	0.0	0.0	1.0000000000000002	111.32017650622461	637.0635528564453	0.80134128287955	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	18	000000505663.jpg	0.0	0.0	1.0	108.09870785348946	635.2927551269531	0.86368323233329	0.0	0.0	1.0	0	pass
H500-first-100	B1	19	000000151833.jpg	0.0	0.0	1.0000000000000002	60.95134370100167	465.2127685546875	0.9519135247379372	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	20	000000581815.jpg	0.0	0.0	1.0	71.68960195730129	611.5996780395508	0.8900559258679174	0.0	0.0	1.0	0	pass
H500-first-100	B1	21	000000099546.jpg	0.0	0.0	1.0	105.92456908355156	643.877875328064	0.8562859216777166	0.0	0.0	1.0	0	pass
H500-first-100	B1	22	000000568009.jpg	0.0	0.0	1.0	59.83042039804988	504.8498077392578	0.9486116275169918	0.0	0.0	1.0	0	pass
H500-first-100	B1	23	000000358024.jpg	0.0	0.0	1.0	138.96381501727635	633.2080612182617	0.6558486711406887	0.0	0.0	1.0	0	pass
H500-first-100	B1	24	000000414609.jpg	0.0	0.0	1.0	112.14483337019881	545.8869781494141	0.8190208406008429	0.0	0.0	1.0	0	pass
H500-first-100	B1	25	000000342336.jpg	0.0	0.0	1.0000000000000002	80.11923075354761	599.4419555664062	0.8627119200741871	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	26	000000091751.jpg	0.0	0.0	0.9999999999999999	105.86275468165675	626.0586280822754	0.7939044459069031	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	27	000000443033.jpg	0.0	0.0	1.0	86.83308424434728	637.0712823867798	0.8373550698016058	0.0	0.0	1.0	0	pass
H500-first-100	B1	28	000000329568.jpg	0.0	0.0	1.0	93.81945967624584	630.0862350463867	0.8810124687634633	0.0	0.0	1.0	0	pass
H500-first-100	B1	29	000000299785.jpg	0.0	0.0	1.0	100.80933434848984	626.1962661743164	0.8014530038316046	0.0	0.0	1.0	0	pass
H500-first-100	B1	30	000000065554.jpg	0.0	0.0	1.0	97.09819437836607	633.2768421173096	0.8097532952516049	0.0	0.0	1.0	0	pass
H500-first-100	B1	31	000000357076.jpg	0.0	0.0	1.0	53.3327512373858	538.9821853637695	0.9422299730343014	0.0	0.0	1.0	0	pass
H500-first-100	B1	32	000000530934.jpg	0.0	0.0	1.0	88.0895341925323	582.7145690917969	0.8928264328484737	0.0	0.0	1.0	0	pass
H500-first-100	B1	33	000000167115.jpg	0.0	0.0	0.9999999999999999	87.52045141362481	627.6819305419922	0.9211873422362965	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	34	000000425359.jpg	0.0	0.0	1.0	68.35798112442096	536.8381118774414	0.8427859759335674	0.0	0.0	1.0	0	pass
H500-first-100	B1	35	000000523304.jpg	0.0	0.0	1.0	74.50225616771314	388.7955856323242	0.9270083703463082	0.0	0.0	1.0	0	pass
H500-first-100	B1	36	000000158334.jpg	0.0	0.0	1.0	64.46952996124824	450.8344955444336	0.9456601828353891	0.0	0.0	1.0	0	pass
H500-first-100	B1	37	000000075990.jpg	0.0	0.0	1.0	81.59083651640348	632.9977293014526	0.7818897481983695	0.0	0.0	1.0	0	pass
H500-first-100	B1	38	000000222313.jpg	0.0	0.0	1.0	135.6874299697909	635.5235600471497	0.7643909832810867	0.0	0.0	1.0	0	pass
H500-first-100	B1	39	000000249184.jpg	0.0	0.0	0.9999999999999999	100.70684469370379	615.5171661376953	0.8742669307778148	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	40	000000488726.jpg	0.0	0.0	0.9999999999999999	90.2053744134638	607.1611328125	0.8525847547541655	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	41	000000130741.jpg	0.0	0.0	1.0	67.00063030613794	496.33888244628906	0.9017628650100021	0.0	0.0	1.0	0	pass
H500-first-100	B1	42	000000519601.jpg	0.0	0.0	1.0	86.89147031434709	558.6735229492188	0.8989897971410445	0.0	0.0	1.0	0	pass
H500-first-100	B1	43	000000470085.jpg	0.0	0.0	0.9999999999999999	105.32466297919551	617.4296169281006	0.8633079020868131	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	44	000000425743.jpg	0.0	0.0	1.0	40.50721090187629	459.10411834716797	0.9621911892047095	0.0	0.0	1.0	0	pass
H500-first-100	B1	45	000000368611.jpg	0.0	0.0	0.9999999999999999	86.3391199797723	524.4023132324219	0.8392376149857238	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B1	46	000000423445.jpg	0.0	0.0	1.0000000000000002	72.50911914179723	628.5850143432617	0.9027857884095625	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	47	000000550481.jpg	0.0	0.0	1.0	115.68321737079157	632.4604110717773	0.798058777181529	0.0	0.0	1.0	0	pass
H500-first-100	B1	48	000000340868.jpg	0.0	0.0	1.0	103.06535971800486	580.2071056365967	0.8236378327113604	0.0	0.0	1.0	0	pass
H500-first-100	B1	49	000000408292.jpg	0.0	0.0	1.0	109.50615239183108	559.172721862793	0.7938861744642163	0.0	0.0	1.0	0	pass
H500-first-100	B1	50	000000378347.jpg	0.0	0.0	0.9999999999999998	84.5493161285917	574.8900260925293	0.8963681479927009	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B1	51	000000375325.jpg	0.0	0.0	1.0	91.88429903455906	619.9356708526611	0.8750402415380405	0.0	0.0	1.0	0	pass
H500-first-100	B1	52	000000408206.jpg	0.0	0.0	1.0000000000000002	88.64576391923758	610.4291725158691	0.8881143925928981	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	53	000000465285.jpg	0.0	0.0	1.0	102.78617485066255	534.5414161682129	0.884864611852931	0.0	0.0	1.0	0	pass
H500-first-100	B1	54	000000517975.jpg	0.0	0.0	0.9999999999999998	99.34587305323946	634.1768665313721	0.8258350868046276	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B1	55	000000449888.jpg	0.0	0.0	1.0000000000000002	103.87820247458087	606.6223449707031	0.873571204129258	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	56	000000066754.jpg	0.0	0.0	1.0	87.37412846080132	586.0834121704102	0.8893608774771202	0.0	0.0	1.0	0	pass
H500-first-100	B1	57	000000165464.jpg	0.0	0.0	1.0000000000000002	107.19672906960051	634.3298950195312	0.8531515298549566	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	58	000000042947.jpg	0.0	0.0	1.0	58.760635493944086	415.03138732910156	0.949491057217858	0.0	0.0	1.0	0	pass
H500-first-100	B1	59	000000199403.jpg	0.0	0.0	1.0	104.99810621268219	625.5360641479492	0.8735228658182744	0.0	0.0	1.0	0	pass
H500-first-100	B1	60	000000237723.jpg	0.0	0.0	1.0	84.24121117990877	553.6667327880859	0.911201424829268	0.0	0.0	1.0	0	pass
H500-first-100	B1	61	000000295589.jpg	0.0	0.0	1.0000000000000002	94.8326645766033	614.3248615264893	0.6926382058628514	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	62	000000277088.jpg	0.0	0.0	0.9999999999999998	53.35023546629482	612.1797409057617	0.9243647822006403	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B1	63	000000068646.jpg	0.0	0.0	0.9999999999999998	130.06686195804014	632.9563808441162	0.7347896735060836	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B1	64	000000207074.jpg	0.0	0.0	1.0	60.47996519457963	424.8187561035156	0.9423861321976914	0.0	0.0	1.0	0	pass
H500-first-100	B1	65	000000509718.jpg	0.0	0.0	1.0	74.92583399989539	470.8359909057617	0.9201084829089441	0.0	0.0	1.0	0	pass
H500-first-100	B1	66	000000014283.jpg	0.0	0.0	1.0000000000000002	80.48493393296997	543.4463806152344	0.9151859378063631	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B1	67	000000566968.jpg	0.0	0.0	1.0	114.80387476036945	608.5885066986084	0.7613171593177712	0.0	0.0	1.0	0	pass
