lane	model	index	node_name	weight_tensor	weight_shape	explicit_kernel_shape	derived_kernel_shape	status
B1	stage65b_r1_b1.inference	106	/model.0/conv/Conv	model.0.conv.weight	16x3x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	115	/model.1/conv/Conv	model.1.conv.weight	32x16x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	124	/model.2/cv1/conv/Conv	model.2.cv1.conv.weight	32x32x1x1	1,1	1,1	pass
B1	stage65b_r1_b1.inference	138	/model.2/m.0/cv1/conv/Conv	model.2.m.0.cv1.conv.weight	8x16x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	147	/model.2/m.0/cv2/conv/Conv	model.2.m.0.cv2.conv.weight	16x8x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	162	/model.2/cv2/conv/Conv	model.2.cv2.conv.weight	64x48x1x1	1,1	1,1	pass
B1	stage65b_r1_b1.inference	171	/model.3/conv/Conv	model.3.conv.weight	64x64x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	180	/model.4/cv1/conv/Conv	model.4.cv1.conv.weight	64x64x1x1	1,1	1,1	pass
B1	stage65b_r1_b1.inference	194	/model.4/m.0/cv1/conv/Conv	model.4.m.0.cv1.conv.weight	16x32x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	203	/model.4/m.0/cv2/conv/Conv	model.4.m.0.cv2.conv.weight	32x16x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	218	/model.4/cv2/conv/Conv	model.4.cv2.conv.weight	128x96x1x1	1,1	1,1	pass
B1	stage65b_r1_b1.inference	227	/model.5/conv/Conv	model.5.conv.weight	128x128x3x3	3,3	3,3	pass
B1	stage65b_r1_b1.inference	236	/model.6/cv1/conv/Conv	model.6.cv1.conv.weight	128x128x1x1	1,1	1,1	pass
B1	stage65b_r1_b1.inference	250	/model.6/m.0/cv1/conv/Conv	model.6.m.0.cv1.conv.weight	32x64x1x1	1,1	1,1	pass
B1	stage65b_r1_b1.inference	251	/model.6/m.0/cv2/conv/Conv	model.6.m.0.cv2.conv.weight	32x64x1x1	1,1	1,1	pass
