resolution	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	fps	output_hash	voluntary_context_switches	involuntary_context_switches	affinity_failures	cpu4_7_ime_count	status
640	10000	132017.168192	4325.889756	3.276763	131264.110000	131784.921800	132040.533050	159804.346250	161038.674585	161976.698000	7.574772385	0xd43f5e018b415631	0	7957	0	0	pass; rare OS/IRQ tails reported separately
384	10000	47639.505885	2294.895314	4.817211	47397.316500	47553.301700	47610.704250	58636.127710	75751.859987	76196.874000	20.990981779	0x92e50a18b4333ef6	0	2787	0	0	pass; rare OS/IRQ tails reported separately
768	10000	197837.948347	5408.691251	2.733900	196723.159500	197536.990800	198221.531050	225960.834500	227240.908822	229292.823000	5.054641985	0x5bf0d5aca2066844	0	10151	0	0	pass; rare OS/IRQ tails reported separately
