tag	peeled_commit	kind	status
v0.9.3-r640	d0e3611c8d99dfade049bd261cb557509222a456	annotated	local-created
stage61-q0-final	fa668ccaf7938336bd10313455ab81557b33e020	annotated	local-created
v0.10.0-internal-rd.1	final-publication-head	annotated	pending-final-publication
