comparison	arm	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	fps	output_hashes	affinity_failures	cpu4_7_ime_count	candidate_delta_pct	nonregression_status
R640 immutable-0.9.3-vs-merged	stable-0.9.3	1000	130666.835000	243.635281	0.186455	130668.000000	130971.200000	131051.050000	131297.120000	131461.005000	131466.000000	7.653051365	0xd43f5e018b415631	0	0	-0.695743	pass
R640 immutable-0.9.3-vs-merged	merged-0.10	1000	129757.729000	261.141660	0.201253	129732.000000	130091.000000	130210.050000	130435.040000	130734.639000	131373.000000	7.706670020	0xd43f5e018b415631	0	0	-0.695743	pass
R768 Stage61-vs-merged	reference	1000	200685.650702	1393.295665	0.694268	200618.596000	202612.146200	203051.888150	203616.907180	204408.589933	204556.375000	4.982917296	0x5bf0d5aca2066844	0	0	-0.074020	pass
R768 Stage61-vs-merged	merged	1000	200537.103484	1306.286024	0.651394	200297.017000	202433.594300	202872.295200	203536.233820	204370.578944	204840.053000	4.986608376	0x5bf0d5aca2066844	0	0	-0.074020	pass
