route	mean_us	p95_us	p99_us	process_cpu_mean_us	voluntary_context_switches_mean	status
condition_variable	253069.478	260134.25	266545.7	927619.06	1310.834	compatibility_default
epoch_spin	239884.016	242452.0	250782.08999999997	1199793.62	0.0	selected_optimized_research
