operation_index	resident_operation_index	kind	name	mean_us	p95_us	implementation	layout	workers	confidence
71	-1	conv_dense	/model.10/m/m.0/attn/qkv/conv/Conv	896.6135	930.75775	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
76	-1	matmul	/model.10/m/m.0/attn/MatMul	3063.6977399999996	3091.4252	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
77	-1	conv_grouped	/model.10/m/m.0/attn/pe/conv/Conv	5681.74194	5721.0049	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
79	-1	matmul	/model.10/m/m.0/attn/MatMul_1	3650.4565000000002	3897.5421499999998	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
81	-1	conv_dense	/model.10/m/m.0/attn/proj/conv/Conv	448.82419999999996	468.17545	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
83	-1	conv_dense	/model.10/m/m.0/ffn/ffn.0/conv/Conv	924.8322000000001	942.2430999999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
85	-1	conv_dense	/model.10/m/m.0/ffn/ffn.1/conv/Conv	547.2116199999999	574.5798	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
88	-1	conv_dense	/model.10/cv2/conv/Conv	1014.8293600000001	1042.4596	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
90	-1	conv_dense	/model.13/cv1/conv/Conv	2627.8686599999996	2661.60685	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
92	-1	conv_dense	/model.13/m.0/cv1/conv/Conv	442.52414	469.25904999999995	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
93	-1	conv_dense	/model.13/m.0/cv2/conv/Conv	417.83538	447.61674999999997	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
95	-1	conv_dense	/model.13/m.0/m/m.0/cv1/conv/Conv	608.4383	643.99545	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
97	-1	conv_dense	/model.13/m.0/m/m.0/cv2/conv/Conv	640.82964	670.4440000000001	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
99	-1	conv_dense	/model.13/m.0/m/m.1/cv1/conv/Conv	618.04256	655.80955	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
101	-1	conv_dense	/model.13/m.0/m/m.1/cv2/conv/Conv	604.3958	636.44475	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
104	-1	conv_dense	/model.13/m.0/cv3/conv/Conv	838.7684399999999	865.8692500000001	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
106	-1	conv_dense	/model.13/cv2/conv/Conv	2033.94894	2089.67695	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
108	-1	conv_dense	/model.16/cv1/conv/Conv	5090.36982	5288.5335	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
