operation_index	resident_operation_index	kind	name	mean_us	p95_us	implementation	layout	workers	confidence
0	-1	input_quant	images_QuantizeLinear	12504.352820000002	12708.78865	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
2	-1	lut1	/model.0/act/Mul_output_0_QuantizeLinear	878.9716400000001	970.21705	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
4	-1	lut1	/model.1/act/Mul_output_0_QuantizeLinear	368.79138	432.23795	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
6	-1	split	/model.2/Split	194.60874	210.99034999999998	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
8	-1	lut1	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	84.19872	87.4494	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
10	-1	lut2	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	1669.49606	1697.6589999999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
11	-1	concat	/model.2/Concat	610.34416	663.83295	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
13	-1	lut1	/model.2/cv2/act/Mul_output_0_QuantizeLinear	898.4085	1052.5120499999998	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
15	-1	lut1	/model.3/act/Mul_output_0_QuantizeLinear	178.16096000000002	190.24514999999994	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
17	-1	split	/model.4/Split	97.34402	109.25344999999997	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
19	-1	lut1	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	46.79316	50.93415	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
21	-1	lut2	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	915.2595200000001	962.6685	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
22	-1	concat	/model.4/Concat	343.69264000000004	377.34959999999995	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	0	lut	/model.4/cv2/final_silu	400.19508	527.7017500000001	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	7	add_silu	/model.6/m.0/m/m.0/Add	194.7087	219.63234999999995	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	10	add_silu	/model.6/m.0/m/m.1/Add	214.75315999999998	215.96025	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
40	11	concat	/model.6/m.0/Concat	6.500119999999999	6.93955	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
42	13	concat	/model.6/Concat	54.15166	55.4821	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	21	add_silu	/model.8/m.0/m/m.0/Add	88.00544	87.6302	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	24	add_silu	/model.8/m.0/m/m.1/Add	102.18825999999999	132.25664999999995	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
60	25	concat	/model.8/m.0/Concat	5.43342	6.1061	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
62	27	concat	/model.8/Concat	32.26132	54.57774999999998	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	30	maxpool	/model.9/m/MaxPool	475.85801999999995	497.3032	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	31	maxpool	/model.9/m_1/MaxPool	473.99873999999994	505.97835	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	32	maxpool	/model.9/m_2/MaxPool	471.2229	499.3282	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
66	33	concat	/model.9/Concat	106.75748	114.60634999999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	35	add_silu	/model.9/Add	341.3618	376.37444999999997	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	-1	bridge	resident_core_bridge_overhead	120.92984	134.17259999999996	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
70	-1	split	/model.10/Split	28.88872	30.7257	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
72	-1	split	/model.10/m/m.0/attn/Split	350.73514	382.23055	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
73	-1	split	/model.10/m/m.0/attn/Split	701.75962	737.2985	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
74	-1	reshape_split_transpose	/model.10/m/m.0/attn/Transpose	357.70372000000003	388.16605	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
75	-1	reshape	/model.10/m/m.0/attn/Reshape_2	26.730439999999998	30.016849999999998	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
78	-1	softmax_transpose	/model.10/m/m.0/attn/Transpose_1	4637.4239	4666.9743499999995	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
80	-1	lut2	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	1838.1894200000002	1854.2739	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
82	-1	lut2	/model.10/m/m.0/Add_output_0_QuantizeLinear	235.35692	257.3165	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
84	-1	lut1	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	45.94152	50.850699999999996	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
86	-1	lut2	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output	245.77613999999997	249.1495	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
87	-1	concat	/model.10/Concat	49.87	52.83835	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
89	-1	concat	/model.12/Concat	497.26752	542.4775999999999	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
91	-1	split	/model.13/Split	52.06908000000001	54.3571	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
94	-1	lut1	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear	26.8096	27.320649999999997	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
96	-1	lut1	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	25.67208	27.3003	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
98	-1	lut2	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear	232.106	268.26215	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
100	-1	lut1	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	19.65856	21.0923	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
102	-1	lut2	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output	239.33942	241.62449999999998	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
103	-1	concat	/model.13/m.0/Concat	50.45906	53.80885	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
105	-1	concat	/model.13/Concat	165.46076000000002	175.45475	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
107	-1	concat	/model.15/Concat	1152.65076	1285.77975	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
109	-1	split	/model.16/Split	100.83318	104.88295	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
112	-1	lut1	/model.16/m.0/cv1/act/Mul_output_0_QuantizeLinear	45.43226	46.7404	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
114	-1	lut1	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	44.73156	47.12325	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
116	-1	lut2	/model.16/m.0/m/m.0/Add_output_0_QuantizeLinear	582.9321199999999	620.1154	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
118	-1	lut1	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	37.731320000000004	36.4904	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
120	-1	lut2	/model.16/m.0/m/m.1/Add_output_0@/model.16/m.0/Concat_output_0_QuantizeLinear_Output	498.0958	516.5870499999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
121	-1	concat	/model.16/m.0/Concat	101.05894	106.31175	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
123	-1	concat	/model.16/Concat	358.9062	404.18084999999996	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
125	-1	lut1	/model.16/cv2/act/Mul_output_0_QuantizeLinear	165.67402	218.20954999999992	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
129	-1	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	69.14352	75.22409999999999	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
130	-1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	181.00108	203.47175	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
131	-1	concat	/model.18/Concat	131.69286	159.67919999999998	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
135	-1	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	55.70998	59.35549999999999	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
136	-1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	312.64556	392.90205	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
137	-1	split	/model.19/Split	47.60232	50.480349999999994	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
142	-1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	387.02	464.3535	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
143	-1	lut1	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear	31.56208	33.936299999999996	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
146	-1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	347.1069	425.8691999999999	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
147	-1	lut1	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	31.40892	34.86265	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
150	-1	lut2	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear	251.04552	257.5354	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
152	-1	lut1	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	21.024540000000002	21.7026	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
154	-1	lut2	/model.19/m.0/m/m.1/Add_output_0@/model.19/m.0/Concat_output_0_QuantizeLinear_Output	274.13574	309.4156	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
155	-1	concat	/model.19/m.0/Concat	57.86252	64.0885	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
157	-1	concat	/model.19/Concat	172.34846000000002	197.76969999999992	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
159	-1	lut1	/model.19/cv2/act/Mul_output_0_QuantizeLinear	86.71802	90.0661	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
163	-1	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	20.2462	22.183999999999994	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
164	-1	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	63.53438	80.19924999999992	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
165	-1	concat	/model.21/Concat	99.34064000000001	104.34285	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
169	-1	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	19.89536	21.8632	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
170	-1	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	47.59652	55.33385	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
171	-1	split	/model.22/Split	26.57958	27.92065	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
175	-1	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	45.69316	54.882099999999994	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
176	-1	lut1	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear	13.64362	13.8234	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
179	-1	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	43.13224	45.7109	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
180	-1	lut2	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear	217.25401999999997	217.78439999999998	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
183	-1	split	/model.22/m.0/m.0.1/attn/Split	355.83783999999997	386.12855	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
184	-1	split	/model.22/m.0/m.0.1/attn/Split	703.96398	734.1361499999999	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
185	-1	reshape_split_transpose	/model.22/m.0/m.0.1/attn/Transpose	357.68874000000005	389.5329	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
186	-1	reshape	/model.22/m.0/m.0.1/attn/Reshape_2	27.03044	30.83765	measured-reference	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
189	-1	softmax_transpose	/model.22/m.0/m.0.1/attn/Transpose_1	4080.71126	4121.201550000001	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
191	-1	lut2	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	1823.86152	1846.7219	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
193	-1	lut2	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear	256.47552	281.86025	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
195	-1	lut1	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	46.59232	55.2003	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
197	-1	lut2	/model.22/m.0/m.0.1/Add_1_output_0@/model.22/Concat_output_0_QuantizeLinear_Output	242.63358	243.75359999999998	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
198	-1	concat	/model.22/Concat	97.93902	102.8183	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
200	-1	lut1	/model.22/cv2/act/Mul_output_0_QuantizeLinear	42.79402	44.6984	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
203	-1	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	9.3809	11.08765	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
204	-1	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	33.61298	34.167	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
207	-1	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	7.705979999999999	8.516699999999998	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
208	-1	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	16.25024	17.3833	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
211	-1	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	12.23018	14.090099999999998	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
213	-1	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	17.66852	19.01295	measured-direct	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
-1	-1	head_decode	final_head_decode	7994.50762	8063.4039999999995	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
