surface	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	p999_us	max_us
coco_decode_letterbox	5000	25413.377786	4232.863335398693	16.65604380119253	7940.6	25282.45	29996.02	32522.855	37875.988000000005	40567.16450000006	44630.8
coco_pure_executor	5000	229406.602	2360.5648055574	1.0289873024479914	226722.0	228880.5	231136.0	232052.15	240034.31	250204.11900000004	253647.0
coco_output_decode	5000	49.502196000000005	13.703861999156384	27.683341561567055	28.293	46.251	68.75	69.45905	70.709	79.25533300000068	99.293
coco_complete_image_pipeline	5000	254869.48198200003	4895.975167328798	1.9209734838612702	236275.29200000002	254708.81699999998	260368.0314	264015.8373	269006.64125	277049.1810930001	284972.06700000004
