model	predicted_us	measured_us	error_pct
Stage51_optimistic	158973.694	503636.514	-68.43483552505091
Stage51_central	204380.817	503636.514	-59.41898346949483
Stage51_conservative	269869.364	503636.514	-46.41584625057587
