surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage53_condition_variable_safe_default	0	30	254792	12307	21692.3	142403	20130.1	22221.9	17580.2	5968.57	4288.75	8068.79	928971	1302	7	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	31	252263	12440.6	21641.7	139852	20113.3	22121.7	17611.4	6018.69	4328	8005.8	926915	1313	4	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	32	252175	12304.1	21798.2	139606	20290.8	22152.1	17761.6	5883.98	4261.87	7991.13	926592	1305	0	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	33	252181	12465.4	21645.4	139563	20109.8	22079.1	17477.5	5849.69	4764.12	8094.71	925059	1315	2	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	34	252290	12278	21755	139885	20138	21743.2	18013.4	6132.85	4258.87	7956.42	929032	1329	7	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	35	252398	12310.3	21845.4	140408	19937	22184.7	17371.4	5947.07	4275.04	7985	927153	1312	3	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	36	252120	12303.4	21841.2	139952	20202.6	22025.2	17561.4	5904.02	4195.45	7999.25	927106	1314	2	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	37	252869	12339.5	21820.5	140082	20075	22341.7	17687	6087.15	4249.62	8045.55	928912	1316	2	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	38	254203	12265.2	21697.6	141160	20156.3	22093.8	18400.8	6011.86	4264.88	8019.13	927886	1315	8	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	39	253147	12331	21673.3	140242	20148.5	22397.6	17891.2	6014.06	4252.38	8069.63	928025	1316	5	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	40	252587	12325.3	22004.1	140112	20062.3	22093.2	17528.7	5969.44	4291.42	8059.75	926474	1325	1	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	41	251386	12274	21646.5	139046	20137.2	22101.5	17812.8	5869.4	4338.21	8032.09	925612	1300	1	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	42	252404	12330.1	21899.1	139847	20138.9	22114.9	17514.4	6016.31	4284.75	8126.84	927199	1312	3	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	43	252103	12333	21719.9	139757	20185.4	22419.9	17324.7	5807.07	4288.12	8130.34	924673	1314	4	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	44	251774	12265.8	21711	139867	20120.8	21963.6	17569.9	5893.11	4274.5	7979.21	926569	1297	3	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	45	252149	12310.2	21979.8	139987	20058.1	21949.4	17507.3	5944.23	4297.33	7987.84	926398	1302	0	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	46	254861	12338.5	21834.7	142152	20017.1	22235.4	17659.1	6124.9	4335.25	8035.59	929007	1312	8	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	47	252632	12314	21863.1	140054	20314.5	22118.2	17585.4	5968.27	4259.08	8024.25	926267	1332	1	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	48	252634	12386.8	21682.2	140474	20267.3	21619.8	18129.9	5770.32	4211.29	7956.25	925500	1304	0	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	49	251430	12303	21651.5	139662	20177.8	21728.3	17449.7	6065.11	4267.54	7996.84	925907	1306	1	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	50	251791	12345.7	21949	139888	20193.7	21770.9	17473.9	5848.86	4203.21	7988.21	925780	1309	1	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	51	252296	12269.4	21753.2	140195	20328.4	21717.4	17686.7	5917.19	4210.83	8092.34	927589	1334	4	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	52	252177	12315.4	21736.7	139837	20146.7	22080.8	17984.4	5711.03	4239.88	8000.67	928288	1299	1	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	53	252019	12264.9	21662.7	140183	20071.5	22073.1	17384.3	6128.69	4177.17	7946.09	927146	1309	0	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	54	259497	12309.3	21929.9	147252	20157.3	22082.7	17664.6	5746.61	4172.79	8056.75	929837	1317	305	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	55	251777	12297.7	21870.4	139818	19932.3	22032.4	17331.8	6136.65	4201.21	8024.34	925225	1311	3	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	56	253984	12397.5	21999.9	139815	20222.7	22095.9	18961.9	5981.15	4385.75	7998.67	929695	1311	5	1	0	0xd43f5e018b415631
