surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage52_reproduced	0	32	502540	32881.7	19345.7	140831	102566	45471	65853.2	35600.7	19531.1	40395.1	1805850.0	1202	11	1	0	0xd43f5e018b415631
stage52_reproduced	0	33	501280	32831.2	19422.9	140696	102570	44443	65673.1	35651.7	19596	40335.7	1806300.0	1201	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	34	505445	32802	19305.2	142839	102577	45450.5	66937.5	35576.1	19529	40361.1	1809800.0	1211	9	1	0	0xd43f5e018b415631
stage52_reproduced	0	35	501909	32821.7	19486.1	141005	102392	44639.5	65723.9	35653.8	19749.6	40376.8	1806670.0	1209	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	36	502742	32849.3	19392.1	140774	102706	45487.6	65843	35624.5	19524.4	40474.2	1807290.0	1196	8	1	0	0xd43f5e018b415631
stage52_reproduced	0	37	501782	32790.5	19416.9	140966	102638	44222.4	65600.1	35978	19700.5	40403.5	1805380.0	1204	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	38	505046	32864.3	19336.9	141096	102604	45506.2	67787.8	35673.8	19765	40343.9	1809500.0	1205	8	1	0	0xd43f5e018b415631
stage52_reproduced	0	39	502292	32829.2	19433.4	141201	102808	44504.4	65736	35590.9	19777.7	40346.7	1806990.0	1198	6	1	0	0xd43f5e018b415631
stage52_reproduced	0	40	502332	32798.9	19244.2	140702	102558	45350.3	65859.3	35578	19803.2	40373.5	1805410.0	1208	11	1	0	0xd43f5e018b415631
stage52_reproduced	0	41	500886	32814.2	19385.3	140390	102428	44393.7	65554.4	35629.9	19753.1	40474.6	1804000.0	1198	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	42	505801	32860.4	19498.4	142085	102873	45643.1	66922.6	36065.5	19403.6	40385.8	1809920.0	1197	9	1	0	0xd43f5e018b415631
stage52_reproduced	0	43	502291	32824.8	19496.7	140784	102455	44918.8	65934.5	35643.9	19748.2	40416.2	1807040.0	1211	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	44	502534	32847.6	19565.9	140639	102593	44923.4	65972.9	35684.5	19879	40362.8	1806810.0	1212	8	1	0	0xd43f5e018b415631
stage52_reproduced	0	45	502547	32788.3	19373.6	140370	102612	45586.8	66003.1	35685.9	19743.8	40317.2	1807170.0	1207	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	46	504323	32811.4	19417.7	141714	102441	44921.3	65817.3	36951.7	19795.8	40392.3	1809080.0	1198	7	1	0	0xd43f5e018b415631
stage52_reproduced	0	47	501510	32847.3	19178.1	140573	102563	44470.9	65794.1	35901.6	19746.2	40373.3	1805780.0	1212	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	48	502222	32843.7	19567.6	140606	102612	45215.8	65770.4	35573.6	19591.1	40377.6	1805550.0	1203	9	1	0	0xd43f5e018b415631
stage52_reproduced	0	49	501678	32871.5	19436.2	140163	102534	45209.7	65505.4	35660.5	19804.4	40423.6	1804130.0	1195	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	50	503672	32807.2	19471.2	141163	102643	44772.2	65816.1	37111.7	19472.7	40349	1806630.0	1201	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	51	502678	32809.7	19506.7	140789	102544	44932.9	66068.9	35699.1	19802.2	40463.8	1807680.0	1201	6	1	0	0xd43f5e018b415631
stage52_reproduced	0	52	502073	32757	19328.6	140658	102747	45403.2	65786.3	35549.3	19441.5	40337.2	1804830.0	1198	8	1	0	0xd43f5e018b415631
stage52_reproduced	0	53	501916	32781.8	19316.8	140699	102542	44615.4	66186.4	35570.9	19792.2	40346.8	1804580.0	1206	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	54	505618	32883.4	19351.9	143495	102713	45545.8	65902.2	35423.3	19825.8	40414.8	1809770.0	1195	9	1	0	0xd43f5e018b415631
stage52_reproduced	0	55	501242	32770.8	19225.9	140596	102477	44943.4	65560.9	35615.6	19602	40387.4	1803720.0	1195	6	1	0	0xd43f5e018b415631
stage52_reproduced	0	56	503061	32864.6	19505	140533	102577	45888.8	66169.1	35487.3	19645.1	40328	1807860.0	1195	8	1	0	0xd43f5e018b415631
stage52_reproduced	0	57	501404	32853	19519.5	140537	102413	44358.1	65838.1	35638.4	19792.3	40385.5	1805170.0	1198	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	58	505428	32881.3	19273.9	141631	102901	45437.3	67661.3	35468.4	19784	40324.1	1809380.0	1207	10	1	0	0xd43f5e018b415631
stage52_reproduced	0	59	502035	32814.4	19304.7	140880	102397	44601.7	66170.4	35762.5	19705.5	40336.8	1807600.0	1205	6	1	0	0xd43f5e018b415631
stage52_reproduced	0	60	502464	32846.3	19440.1	140705	102713	45378.3	65671.9	35725.9	19628.1	40292.2	1806820.0	1194	9	1	0	0xd43f5e018b415631
stage52_reproduced	0	61	501121	32795.1	19324.4	140587	102505	44462.5	65598.3	35652.3	19735.8	40389.3	1803510.0	1206	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	62	504497	32804.5	19597.7	141625	102448	44898	67387	35516.6	19762.7	40391.1	1808320.0	1203	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	63	502385	32844.7	19379.4	140795	102516	45086.9	66079.8	35752.4	19493.7	40371.3	1806470.0	1206	5	1	0	0xd43f5e018b415631
