route	full_model_mean_us	protocol	full_model_p95_us
Stage52_nested_model4_to_model8_plus_generic_model9	503636.514	10/100/5	not-applicable
Stage53_external_arena_model4_to_model9	356440.0	10/100/5	363480.0
