category	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	p999_us	max_us	full_wall_pct
dense_conv_outside_resident_region	50	136175.994	1297.3475891259561	0.9526991880271908	135298.74700000006	135918.79200000002	136566.7745	137772.31385000004	141505.13277000003	143903.21447700012	144169.66800000012	56.672187593496304
grouped_depthwise	50	19725.30666	274.7654333899806	1.3929589948893633	19534.835	19692.609	19791.7776	19817.35655	20786.789649999995	21453.720564999996	21527.823999999997	8.209055403515261
resident_model4_final_to_model9	50	19458.50532	373.4868810830172	1.9194016957671298	19157.787000000004	19386.728000000003	19546.7663	19634.2544	20935.379859999997	21784.519186	21878.868	8.098021034339473
attention_matmul	50	13403.11138	359.7555950370824	2.6841200139089074	12643.148000000001	13463.8275	13889.4301	13894.98835	13910.09524	13915.221424000001	13915.791000000001	5.5779555570116495
input_quantization_layout	50	12504.352820000002	151.0145019025832	1.207695464742838	12276.185	12521.771499999999	12670.9941	12708.78865	12860.502779999999	12939.387978	12948.153	5.203920367567169
lut2_add	50	9521.9573	142.80125843400936	1.4997048814114022	9362.39	9490.122500000001	9592.2009	9634.9558	10151.10246	10243.512245999998	10253.779999999999	3.962740674856844
attention_softmax_transpose	50	8718.13516	107.3837174928588	1.2317280647993396	8616.922	8698.318	8746.0066	8847.07225	9170.793559999998	9311.805956	9327.474	3.6282150527425254
head_decode_selection	50	7994.50762	37.65507500874047	0.47101180958960004	7918.827	7990.308	8044.0624	8063.4039999999995	8091.3836	8094.67346	8095.039	3.327063913763505
lut1	50	4830.2925000000005	165.339462245165	3.4229699804963154	4515.233	4782.612499999999	5073.985100000001	5123.8006000000005	5256.270299999999	5333.502629999999	5342.083999999999	2.0102165928853677
concat_resize	50	3888.8935400000005	109.94353529587578	2.8271160978059524	3738.8900000000012	3877.58	4032.3152000000005	4077.88755	4135.21318	4140.028017999999	4140.562999999999	1.6184358032298698
split_reshape_transpose	50	3429.37556	46.327231194728135	1.3508940734017518	3360.0089999999996	3427.093	3480.528	3526.6144	3540.11323	3541.821223	3542.011	1.4271987988196466
resident_bridge	50	120.92984	6.973481668874052	5.766551637605781	114.335	119.4205	124.8597	134.17259999999996	147.71811999999997	152.662612	153.212	0.05032721536904289
