sequence	commit	parent	role	subject
0	c98212b6db56a7a27a0d26b645a7158dc36c5ff6	not-applicable	accepted-stage52-start	Stage52 accepted closure
1	5c2180cbef36aa42535f1faea859de4cc3d1d97d	c98212b6db56a7a27a0d26b645a7158dc36c5ff6	implementation	Repair K1X full-executor structural hotspots
2	720ad1fdb988e7a0e3e874cdefc3dea5a6279d83	5c2180cbef36aa42535f1faea859de4cc3d1d97d	validation	Record exact Stage53 long-soak evidence
3	534881509feb2a34e5ce7aa33b6ceaf9580d2224	720ad1fdb988e7a0e3e874cdefc3dea5a6279d83	release	Ship the selected static K1X executor CLI
4	b84c9dfbbefdf7003df998d7e2ec510d595d6358	534881509feb2a34e5ce7aa33b6ceaf9580d2224	evidence	Record Stage53 structural ceiling evidence
5	containing-commit	b84c9dfbbefdf7003df998d7e2ec510d595d6358	publication-record	Finalize Stage53 dual-remote publication records
