run	operation_index	resident_operation_index	kind	scope	wall_us	name
20	87	-1	concat	full_executor	53.626	/model.10/Concat
20	88	-1	conv_dense	full_executor	1008.807	/model.10/cv2/conv/Conv
20	89	-1	concat	full_executor	469.548	/model.12/Concat
20	90	-1	conv_dense	full_executor	2644.207	/model.13/cv1/conv/Conv
20	91	-1	split	full_executor	50.501	/model.13/Split
20	92	-1	conv_dense	full_executor	453.173	/model.13/m.0/cv1/conv/Conv
20	93	-1	conv_dense	full_executor	418.131	/model.13/m.0/cv2/conv/Conv
20	94	-1	lut1	full_executor	24.417	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	95	-1	conv_dense	full_executor	598.8	/model.13/m.0/m/m.0/cv1/conv/Conv
20	96	-1	lut1	full_executor	25.126	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	97	-1	conv_dense	full_executor	628.134	/model.13/m.0/m/m.0/cv2/conv/Conv
20	98	-1	lut2	full_executor	227.461	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear
20	99	-1	conv_dense	full_executor	609.55	/model.13/m.0/m/m.1/cv1/conv/Conv
20	100	-1	lut1	full_executor	18.917	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear
20	101	-1	conv_dense	full_executor	637.176	/model.13/m.0/m/m.1/cv2/conv/Conv
20	102	-1	lut2	full_executor	243.212	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output
20	103	-1	concat	full_executor	48.126	/model.13/m.0/Concat
20	104	-1	conv_dense	full_executor	846.012	/model.13/m.0/cv3/conv/Conv
20	105	-1	concat	full_executor	162.294	/model.13/Concat
20	106	-1	conv_dense	full_executor	1981.447	/model.13/cv2/conv/Conv
20	107	-1	concat	full_executor	1119.683	/model.15/Concat
20	108	-1	conv_dense	full_executor	5159.911	/model.16/cv1/conv/Conv
20	109	-1	split	full_executor	119.793	/model.16/Split
20	110	-1	conv_dense	full_executor	788.845	/model.16/m.0/cv1/conv/Conv
20	111	-1	conv_dense	full_executor	783.387	/model.16/m.0/cv2/conv/Conv
20	112	-1	lut1	full_executor	41.875	/model.16/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	113	-1	conv_dense	full_executor	1158.517	/model.16/m.0/m/m.0/cv1/conv/Conv
20	114	-1	lut1	full_executor	46.001	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	115	-1	conv_dense	full_executor	1094.183	/model.16/m.0/m/m.0/cv2/conv/Conv
20	116	-1	lut2	full_executor	561.592	/model.16/m.0/m/m.0/Add_output_0_QuantizeLinear
20	117	-1	conv_dense	full_executor	1083.558	/model.16/m.0/m/m.1/cv1/conv/Conv
20	118	-1	lut1	full_executor	35.251	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear
20	119	-1	conv_dense	full_executor	1124.101	/model.16/m.0/m/m.1/cv2/conv/Conv
20	120	-1	lut2	full_executor	504.383	/model.16/m.0/m/m.1/Add_output_0@/model.16/m.0/Concat_output_0_QuantizeLinear_Output
20	121	-1	concat	full_executor	99.377	/model.16/m.0/Concat
20	122	-1	conv_dense	full_executor	1468.855	/model.16/m.0/cv3/conv/Conv
20	123	-1	concat	full_executor	356.38	/model.16/Concat
20	124	-1	conv_dense	full_executor	3688.264	/model.16/cv2/conv/Conv
20	125	-1	lut1	full_executor	156.96	/model.16/cv2/act/Mul_output_0_QuantizeLinear
20	126	-1	conv_dense	full_executor	1766.735	/model.17/conv/Conv
20	127	-1	conv_dense	full_executor	2671.79	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv
20	128	-1	conv_grouped	full_executor	2279.534	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv
20	129	-1	lut1	full_executor	71.793	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear
20	130	-1	lut1	full_executor	177.003	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear
20	131	-1	concat	full_executor	127.002	/model.18/Concat
20	132	-1	conv_dense	full_executor	1116.266	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv
20	133	-1	conv_dense	full_executor	4255.231	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv
20	134	-1	conv_dense	full_executor	2054.156	/model.19/cv1/conv/Conv
20	135	-1	lut1	full_executor	54.084	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear
20	136	-1	lut1	full_executor	274.629	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear
20	137	-1	split	full_executor	47.584	/model.19/Split
20	138	-1	conv_dense	full_executor	238.17	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv
20	139	-1	conv_grouped	full_executor	2887.919	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv
20	140	-1	conv_dense	full_executor	461.59	/model.19/m.0/cv1/conv/Conv
20	141	-1	conv_dense	full_executor	433.923	/model.19/m.0/cv2/conv/Conv
20	142	-1	lut1	full_executor	349.88	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear
20	143	-1	lut1	full_executor	30.458	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	144	-1	conv_dense	full_executor	4256.023	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv
20	145	-1	conv_dense	full_executor	648.301	/model.19/m.0/m/m.0/cv1/conv/Conv
20	146	-1	lut1	full_executor	365.131	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear
20	147	-1	lut1	full_executor	28.001	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	148	-1	conv_dense	full_executor	4292.44	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv
20	149	-1	conv_dense	full_executor	692.052	/model.19/m.0/m/m.0/cv2/conv/Conv
20	150	-1	lut2	full_executor	244.545	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear
20	151	-1	conv_dense	full_executor	621.343	/model.19/m.0/m/m.1/cv1/conv/Conv
20	152	-1	lut1	full_executor	19.875	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear
20	153	-1	conv_dense	full_executor	617.884	/model.19/m.0/m/m.1/cv2/conv/Conv
20	154	-1	lut2	full_executor	270.337	/model.19/m.0/m/m.1/Add_output_0@/model.19/m.0/Concat_output_0_QuantizeLinear_Output
20	155	-1	concat	full_executor	55.084	/model.19/m.0/Concat
20	156	-1	conv_dense	full_executor	853.721	/model.19/m.0/cv3/conv/Conv
20	157	-1	concat	full_executor	169.211	/model.19/Concat
20	158	-1	conv_dense	full_executor	2073.864	/model.19/cv2/conv/Conv
20	159	-1	lut1	full_executor	87.418	/model.19/cv2/act/Mul_output_0_QuantizeLinear
20	160	-1	conv_dense	full_executor	1096.475	/model.20/conv/Conv
20	161	-1	conv_dense	full_executor	1291.687	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv
20	162	-1	conv_grouped	full_executor	1306.603	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv
20	163	-1	lut1	full_executor	20.084	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear
20	164	-1	lut1	full_executor	58.876	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear
20	165	-1	concat	full_executor	91.626	/model.21/Concat
20	166	-1	conv_dense	full_executor	296.087	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv
20	167	-1	conv_dense	full_executor	1150.476	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv
20	168	-1	conv_dense	full_executor	1198.018	/model.22/cv1/conv/Conv
20	169	-1	lut1	full_executor	21.376	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear
20	170	-1	lut1	full_executor	57.501	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear
20	171	-1	split	full_executor	26.875	/model.22/Split
20	172	-1	conv_dense	full_executor	65.709	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv
20	173	-1	conv_grouped	full_executor	796.47	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv
20	174	-1	conv_dense	full_executor	663.718	/model.22/m.0/m.0.0/cv1/conv/Conv
20	175	-1	lut1	full_executor	42.626	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear
20	176	-1	lut1	full_executor	12.792	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear
20	177	-1	conv_dense	full_executor	965.556	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv
20	178	-1	conv_dense	full_executor	741.47	/model.22/m.0/m.0.0/cv2/conv/Conv
20	179	-1	lut1	full_executor	42.334	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear
20	180	-1	lut2	full_executor	216.212	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear
20	181	-1	conv_dense	full_executor	1009.432	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv
20	182	-1	conv_dense	full_executor	918.43	/model.22/m.0/m.0.1/attn/qkv/conv/Conv
20	183	-1	split	full_executor	347.505	/model.22/m.0/m.0.1/attn/Split
20	184	-1	split	full_executor	692.51	/model.22/m.0/m.0.1/attn/Split
20	185	-1	reshape_split_transpose	full_executor	351.964	/model.22/m.0/m.0.1/attn/Transpose
20	186	-1	reshape	full_executor	28.084	/model.22/m.0/m.0.1/attn/Reshape_2
20	187	-1	matmul	full_executor	3129.089	/model.22/m.0/m.0.1/attn/MatMul
20	188	-1	conv_grouped	full_executor	5680.002	/model.22/m.0/m.0.1/attn/pe/conv/Conv
20	189	-1	softmax_transpose	full_executor	4120.354	/model.22/m.0/m.0.1/attn/Transpose_1
20	190	-1	matmul	full_executor	3818.516	/model.22/m.0/m.0.1/attn/MatMul_1
20	191	-1	lut2	full_executor	1828.444	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear
20	192	-1	conv_dense	full_executor	445.59	/model.22/m.0/m.0.1/attn/proj/conv/Conv
20	193	-1	lut2	full_executor	251.254	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear
20	194	-1	conv_dense	full_executor	930.973	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv
20	195	-1	lut1	full_executor	44.793	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear
20	196	-1	conv_dense	full_executor	541.592	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv
20	197	-1	lut2	full_executor	272.42	/model.22/m.0/m.0.1/Add_1_output_0@/model.22/Concat_output_0_QuantizeLinear_Output
20	198	-1	concat	full_executor	103.96	/model.22/Concat
20	199	-1	conv_dense	full_executor	1236.977	/model.22/cv2/conv/Conv
20	200	-1	lut1	full_executor	43.376	/model.22/cv2/act/Mul_output_0_QuantizeLinear
20	201	-1	conv_dense	full_executor	660.718	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv
20	202	-1	conv_grouped	full_executor	806.221	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv
20	203	-1	lut1	full_executor	8.875	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear
20	204	-1	lut1	full_executor	33.542	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear
20	205	-1	conv_dense	full_executor	83.335	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv
20	206	-1	conv_dense	full_executor	360.172	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv
20	207	-1	lut1	full_executor	7.792	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear
20	208	-1	lut1	full_executor	15.667	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear
20	209	-1	conv_dense	full_executor	18.958	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv
20	210	-1	conv_grouped	full_executor	247.379	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv
20	211	-1	lut1	full_executor	12.083	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear
20	212	-1	conv_dense	full_executor	295.087	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv
20	213	-1	lut1	full_executor	18.251	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear
20	214	-1	conv_dense	full_executor	266.546	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv
20	-1	-1	head_decode	full_executor	7969.829	final_head_decode
21	0	-1	input_quant	full_executor	12948.153	images_QuantizeLinear
21	1	-1	conv_dense	full_executor	9565.561	/model.0/conv/Conv
21	2	-1	lut1	full_executor	879.555	/model.0/act/Mul_output_0_QuantizeLinear
21	3	-1	conv_dense	full_executor	8227.457	/model.1/conv/Conv
21	4	-1	lut1	full_executor	350.63	/model.1/act/Mul_output_0_QuantizeLinear
21	5	-1	conv_dense	full_executor	5966.215	/model.2/cv1/conv/Conv
21	6	-1	split	full_executor	242.67	/model.2/Split
21	7	-1	conv_dense	full_executor	3053.504	/model.2/m.0/cv1/conv/Conv
21	8	-1	lut1	full_executor	82.71	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear
21	9	-1	conv_dense	full_executor	3592.429	/model.2/m.0/cv2/conv/Conv
21	10	-1	lut2	full_executor	1672.609	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output
21	11	-1	concat	full_executor	596.759	/model.2/Concat
21	12	-1	conv_dense	full_executor	12879.694	/model.2/cv2/conv/Conv
21	13	-1	lut1	full_executor	998.098	/model.2/cv2/act/Mul_output_0_QuantizeLinear
21	14	-1	conv_dense	full_executor	7081.857	/model.3/conv/Conv
21	15	-1	lut1	full_executor	172.336	/model.3/act/Mul_output_0_QuantizeLinear
21	16	-1	conv_dense	full_executor	3371.343	/model.4/cv1/conv/Conv
21	17	-1	split	full_executor	112.835	/model.4/Split
21	18	-1	conv_dense	full_executor	1677.692	/model.4/m.0/cv1/conv/Conv
21	19	-1	lut1	full_executor	46.876	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear
