surface	category_id	name	instance_count	ap50_95
host_fp32_all	33	suitcase	303	0.41399221902277517
host_fp32_all	34	frisbee	115	0.5945353294838196
host_fp32_all	35	skis	241	0.19903495902270676
host_fp32_all	36	snowboard	69	0.3202254679007841
host_fp32_all	37	sports ball	263	0.37531130918771993
host_fp32_all	38	kite	336	0.4457283328494387
host_fp32_all	39	baseball bat	146	0.2625770446136265
host_fp32_all	40	baseball glove	148	0.333725452043822
host_fp32_all	41	skateboard	179	0.4832471556145015
host_fp32_all	42	surfboard	269	0.3429791499533619
host_fp32_all	43	tennis racket	225	0.43746640097373496
host_fp32_all	44	bottle	1025	0.31951770087470993
host_fp32_all	46	wine glass	343	0.2869055107864626
host_fp32_all	47	cup	899	0.36082099090734543
host_fp32_all	48	fork	215	0.2784835470369192
host_fp32_all	49	knife	326	0.13667780093431722
host_fp32_all	50	spoon	253	0.11888084806477721
host_fp32_all	51	bowl	626	0.39524067137953667
host_fp32_all	52	banana	379	0.2651020638539976
host_fp32_all	53	apple	239	0.1661028631299821
host_fp32_all	54	sandwich	177	0.3542590743411235
host_fp32_all	55	orange	287	0.2982263108959857
host_fp32_all	56	broccoli	316	0.23222382437855668
host_fp32_all	57	carrot	371	0.2086413470091239
host_fp32_all	58	hot dog	127	0.3725705190813403
host_fp32_all	59	pizza	285	0.5153478983069032
host_fp32_all	60	donut	338	0.485071626907736
host_fp32_all	61	cake	316	0.38602548678494303
host_fp32_all	62	chair	1791	0.27627029720509944
host_fp32_all	63	couch	261	0.4629477122387759
host_fp32_all	64	potted plant	343	0.2433698916012202
host_fp32_all	65	bed	163	0.4642051127756228
host_fp32_all	67	dining table	697	0.3226664519950748
host_fp32_all	70	toilet	179	0.6763133016598356
host_fp32_all	72	tv	288	0.5629462755863671
host_fp32_all	73	laptop	231	0.6096665850968622
host_fp32_all	74	mouse	106	0.5370387441431332
host_fp32_all	75	remote	283	0.21256970052740307
host_fp32_all	76	keyboard	153	0.5125922402943163
host_fp32_all	77	cell phone	262	0.2960670966021525
host_fp32_all	78	microwave	55	0.5729719158990203
host_fp32_all	79	oven	143	0.3520555683083816
host_fp32_all	80	toaster	9	0.40537181668477407
host_fp32_all	81	sink	225	0.35405706753046723
host_fp32_all	82	refrigerator	126	0.6146415818651018
host_fp32_all	84	book	1161	0.1221471518627318
host_fp32_all	85	clock	267	0.479438130469217
host_fp32_all	86	vase	277	0.34069894645682275
host_fp32_all	87	scissors	36	0.2953619644097589
host_fp32_all	88	teddy bear	191	0.4742962211860967
host_fp32_all	89	hair drier	11	0.002572575150253516
host_fp32_all	90	toothbrush	57	0.1941967495438043
host_int8_disable	1	person	11004	0.5012125508142747
host_int8_disable	2	bicycle	316	0.24504297856810153
host_int8_disable	3	car	1932	0.34223037413985435
host_int8_disable	4	motorcycle	371	0.401808235991207
host_int8_disable	5	airplane	143	0.6581777235278021
host_int8_disable	6	bus	285	0.6215632682639249
host_int8_disable	7	train	190	0.6674776998438345
host_int8_disable	8	truck	415	0.2878898566990843
host_int8_disable	9	boat	430	0.20600145887348845
host_int8_disable	10	traffic light	637	0.2060348716387706
host_int8_disable	11	fire hydrant	101	0.6199928821510853
host_int8_disable	13	stop sign	75	0.6088097271282294
host_int8_disable	14	parking meter	60	0.44185898168461263
host_int8_disable	15	bench	413	0.19195145948624825
host_int8_disable	16	bird	440	0.2834613343764765
host_int8_disable	17	cat	202	0.6725766342457162
host_int8_disable	18	dog	218	0.6192197590600583
host_int8_disable	19	horse	273	0.551143730729179
host_int8_disable	20	sheep	361	0.46946637571115035
host_int8_disable	21	cow	380	0.49891064727904577
host_int8_disable	22	elephant	255	0.6145597746034753
host_int8_disable	23	bear	71	0.7404247575477239
host_int8_disable	24	zebra	268	0.6433636012061189
host_int8_disable	25	giraffe	232	0.673803775416735
host_int8_disable	27	backpack	371	0.09370029311739153
host_int8_disable	28	umbrella	413	0.35244375999236593
host_int8_disable	31	handbag	540	0.08796692769432682
host_int8_disable	32	tie	254	0.2836022659446092
host_int8_disable	33	suitcase	303	0.3898273201707735
host_int8_disable	34	frisbee	115	0.5842839168069336
host_int8_disable	35	skis	241	0.16691682852964057
host_int8_disable	36	snowboard	69	0.2696774907179561
host_int8_disable	37	sports ball	263	0.35567227553750785
host_int8_disable	38	kite	336	0.40782817599754173
host_int8_disable	39	baseball bat	146	0.24577036740321465
host_int8_disable	40	baseball glove	148	0.31481257846954286
host_int8_disable	41	skateboard	179	0.462680116197774
host_int8_disable	42	surfboard	269	0.3082972069815248
host_int8_disable	43	tennis racket	225	0.4041873672870138
host_int8_disable	44	bottle	1025	0.2950193933101005
host_int8_disable	46	wine glass	343	0.26925232627533235
host_int8_disable	47	cup	899	0.333060562317765
host_int8_disable	48	fork	215	0.24921442566548868
host_int8_disable	49	knife	326	0.11627884017352216
host_int8_disable	50	spoon	253	0.10266101025179206
host_int8_disable	51	bowl	626	0.3637693505245251
host_int8_disable	52	banana	379	0.23639080630952775
host_int8_disable	53	apple	239	0.14381259802286067
host_int8_disable	54	sandwich	177	0.33691662273953243
host_int8_disable	55	orange	287	0.2639738162671266
host_int8_disable	56	broccoli	316	0.18878445541753774
host_int8_disable	57	carrot	371	0.1879967931830152
host_int8_disable	58	hot dog	127	0.336839957318993
host_int8_disable	59	pizza	285	0.505721883234464
host_int8_disable	60	donut	338	0.44057951363596304
host_int8_disable	61	cake	316	0.33543657097416946
host_int8_disable	62	chair	1791	0.2508190421955762
host_int8_disable	63	couch	261	0.4297123561039926
host_int8_disable	64	potted plant	343	0.21675329825686243
host_int8_disable	65	bed	163	0.4439440753821957
host_int8_disable	67	dining table	697	0.30044241062064225
host_int8_disable	70	toilet	179	0.6354460014572797
host_int8_disable	72	tv	288	0.5310419163756464
host_int8_disable	73	laptop	231	0.5584649394475608
host_int8_disable	74	mouse	106	0.4892604376375647
host_int8_disable	75	remote	283	0.19211901665299572
host_int8_disable	76	keyboard	153	0.488367706658351
host_int8_disable	77	cell phone	262	0.2758501410782147
host_int8_disable	78	microwave	55	0.554570837226409
host_int8_disable	79	oven	143	0.32605596385698343
host_int8_disable	80	toaster	9	0.22680855417078094
host_int8_disable	81	sink	225	0.3202731121925544
host_int8_disable	82	refrigerator	126	0.557924759908623
host_int8_disable	84	book	1161	0.1125052583759553
host_int8_disable	85	clock	267	0.4465801206431894
host_int8_disable	86	vase	277	0.3271451761663654
host_int8_disable	87	scissors	36	0.30745999069288876
host_int8_disable	88	teddy bear	191	0.43546507092286735
host_int8_disable	89	hair drier	11	0.0033542661046280973
host_int8_disable	90	toothbrush	57	0.16555124375136182
host_int8_all	1	person	11004	0.4851629502339785
host_int8_all	2	bicycle	316	0.2403376107448907
host_int8_all	3	car	1932	0.3236307828047097
host_int8_all	4	motorcycle	371	0.3911383924933689
host_int8_all	5	airplane	143	0.598319607803508
host_int8_all	6	bus	285	0.57764719861379
host_int8_all	7	train	190	0.6381167002474024
host_int8_all	8	truck	415	0.27097623623039885
host_int8_all	9	boat	430	0.18645644326388158
host_int8_all	10	traffic light	637	0.1939920779960071
host_int8_all	11	fire hydrant	101	0.6079991709452547
host_int8_all	13	stop sign	75	0.601837228271495
host_int8_all	14	parking meter	60	0.4253645477545101
host_int8_all	15	bench	413	0.18859910546478814
host_int8_all	16	bird	440	0.25717291798285286
host_int8_all	17	cat	202	0.6084241218433551
host_int8_all	18	dog	218	0.5287519730196751
host_int8_all	19	horse	273	0.5301224179697421
host_int8_all	20	sheep	361	0.3864578504229273
host_int8_all	21	cow	380	0.47267314933173643
host_int8_all	22	elephant	255	0.5888154620752017
host_int8_all	23	bear	71	0.680152780199155
host_int8_all	24	zebra	268	0.6446821855634745
host_int8_all	25	giraffe	232	0.655573730876257
host_int8_all	27	backpack	371	0.09380577632303931
host_int8_all	28	umbrella	413	0.3094766919081091
host_int8_all	31	handbag	540	0.07544613312367676
host_int8_all	32	tie	254	0.26132312992047535
host_int8_all	33	suitcase	303	0.3640678687471968
host_int8_all	34	frisbee	115	0.4546581650456064
host_int8_all	35	skis	241	0.1270988393678005
host_int8_all	36	snowboard	69	0.18853371876270106
host_int8_all	37	sports ball	263	0.3041961460828495
host_int8_all	38	kite	336	0.3400629499556499
host_int8_all	39	baseball bat	146	0.19795790625470774
host_int8_all	40	baseball glove	148	0.2916548010020278
host_int8_all	41	skateboard	179	0.4348672539030886
host_int8_all	42	surfboard	269	0.25204863588814747
host_int8_all	43	tennis racket	225	0.35903910936045536
host_int8_all	44	bottle	1025	0.2782043215316584
host_int8_all	46	wine glass	343	0.2502695926481808
host_int8_all	47	cup	899	0.2870147700991771
host_int8_all	48	fork	215	0.21714621836824025
host_int8_all	49	knife	326	0.09157736998613202
host_int8_all	50	spoon	253	0.08361887800176249
host_int8_all	51	bowl	626	0.2911202975026494
host_int8_all	52	banana	379	0.1865514797456479
host_int8_all	53	apple	239	0.12770276609888861
host_int8_all	54	sandwich	177	0.28914718077586454
host_int8_all	55	orange	287	0.21559827962604364
host_int8_all	56	broccoli	316	0.167479944364988
host_int8_all	57	carrot	371	0.16983130686019696
host_int8_all	58	hot dog	127	0.1965259364043559
host_int8_all	59	pizza	285	0.4388746915192626
host_int8_all	60	donut	338	0.4166090074361039
host_int8_all	61	cake	316	0.2505900307201996
host_int8_all	62	chair	1791	0.23067480603771134
host_int8_all	63	couch	261	0.4155479022007702
host_int8_all	64	potted plant	343	0.18460993025498637
host_int8_all	65	bed	163	0.3917611570228705
host_int8_all	67	dining table	697	0.27762581582249846
host_int8_all	70	toilet	179	0.5246303933412736
host_int8_all	72	tv	288	0.5141319083747812
host_int8_all	73	laptop	231	0.5234054045981401
host_int8_all	74	mouse	106	0.457752976573049
host_int8_all	75	remote	283	0.14857203924360404
host_int8_all	76	keyboard	153	0.4527484894803406
host_int8_all	77	cell phone	262	0.26547305871568905
host_int8_all	78	microwave	55	0.43190009922770045
host_int8_all	79	oven	143	0.2885611866726869
host_int8_all	80	toaster	9	0.2721428608354615
host_int8_all	81	sink	225	0.25364839029818
host_int8_all	82	refrigerator	126	0.43835804768117476
host_int8_all	84	book	1161	0.10723629713433011
host_int8_all	85	clock	267	0.4059084595199572
host_int8_all	86	vase	277	0.2956438842072987
host_int8_all	87	scissors	36	0.2585867397541872
host_int8_all	88	teddy bear	191	0.34834246574124506
host_int8_all	89	hair drier	11	0.007291945410757293
host_int8_all	90	toothbrush	57	0.1001547602249741
board_rt204_cpu_int8	1	person	11004	0.5041889179828719
board_rt204_cpu_int8	2	bicycle	316	0.2510392306191588
board_rt204_cpu_int8	3	car	1932	0.34421414203387374
board_rt204_cpu_int8	4	motorcycle	371	0.4036049047340431
board_rt204_cpu_int8	5	airplane	143	0.6727484353762003
board_rt204_cpu_int8	6	bus	285	0.6208092535782925
board_rt204_cpu_int8	7	train	190	0.6759776338768873
board_rt204_cpu_int8	8	truck	415	0.29742341197487443
board_rt204_cpu_int8	9	boat	430	0.20923890898640457
board_rt204_cpu_int8	10	traffic light	637	0.2081450988273277
board_rt204_cpu_int8	11	fire hydrant	101	0.6247356615624864
board_rt204_cpu_int8	13	stop sign	75	0.6011583545449961
board_rt204_cpu_int8	14	parking meter	60	0.4255842786784316
board_rt204_cpu_int8	15	bench	413	0.20287395899564187
board_rt204_cpu_int8	16	bird	440	0.2922254874130851
board_rt204_cpu_int8	17	cat	202	0.6708413317007256
board_rt204_cpu_int8	18	dog	218	0.6194390693658923
board_rt204_cpu_int8	19	horse	273	0.5554050173926106
board_rt204_cpu_int8	20	sheep	361	0.46924219892860325
board_rt204_cpu_int8	21	cow	380	0.5008571355084237
board_rt204_cpu_int8	22	elephant	255	0.625048815506441
board_rt204_cpu_int8	23	bear	71	0.7245960598432312
board_rt204_cpu_int8	24	zebra	268	0.636874996791013
board_rt204_cpu_int8	25	giraffe	232	0.6671413636208804
board_rt204_cpu_int8	27	backpack	371	0.09562919548242606
board_rt204_cpu_int8	28	umbrella	413	0.36229809886543984
board_rt204_cpu_int8	31	handbag	540	0.09053549085494232
board_rt204_cpu_int8	32	tie	254	0.2794267229401227
board_rt204_cpu_int8	33	suitcase	303	0.38273197314077734
board_rt204_cpu_int8	34	frisbee	115	0.5837928083292374
board_rt204_cpu_int8	35	skis	241	0.18010587310770337
board_rt204_cpu_int8	36	snowboard	69	0.24956928336104428
board_rt204_cpu_int8	37	sports ball	263	0.36246140432486845
board_rt204_cpu_int8	38	kite	336	0.4151788676217262
board_rt204_cpu_int8	39	baseball bat	146	0.24208050966577307
board_rt204_cpu_int8	40	baseball glove	148	0.32652479696797637
board_rt204_cpu_int8	41	skateboard	179	0.4579172145376331
board_rt204_cpu_int8	42	surfboard	269	0.32247310775323507
board_rt204_cpu_int8	43	tennis racket	225	0.4088138017738597
board_rt204_cpu_int8	44	bottle	1025	0.2992264756441807
board_rt204_cpu_int8	46	wine glass	343	0.2707423232496774
board_rt204_cpu_int8	47	cup	899	0.32958834256647757
board_rt204_cpu_int8	48	fork	215	0.2555399426635674
board_rt204_cpu_int8	49	knife	326	0.11512694461431365
board_rt204_cpu_int8	50	spoon	253	0.10151982200617449
board_rt204_cpu_int8	51	bowl	626	0.36459472606941135
board_rt204_cpu_int8	52	banana	379	0.23741671895000824
board_rt204_cpu_int8	53	apple	239	0.14430184373615515
board_rt204_cpu_int8	54	sandwich	177	0.3336441733655299
board_rt204_cpu_int8	55	orange	287	0.2841921013503993
board_rt204_cpu_int8	56	broccoli	316	0.18932337492995002
board_rt204_cpu_int8	57	carrot	371	0.19480089412251594
