surface	model_sha256	predictions_sha256	runtime	provider	optimization	images	runtime_failures	predictions	detections_per_image	mean_inference_ms	mean_full_pipeline_ms	map50_95	map50	precision	recall	ap_small	ap_medium	ap_large	status
host_fp32_disable	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	aed3427819bb5f55f37f5eca6a4338fba8dac71b62e2e4d77898907280528f58	1.27.0	CPUExecutionProvider	disable	5000	0	732375	146.475	200.45163339900537	not-captured	0.40143885554900677	0.557787239517833	0.3580168214773763	0.502426866969105	0.196264844290507	0.4405301899464289	0.5826533550960824	pass
host_fp32_all	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	231fc5394b64e78de23426f7503f4ff537433ba06a43506c490765548fc2877d	1.27.0	CPUExecutionProvider	all	5000	0	732374	146.4748	153.24595288898564	not-captured	0.40143884266786944	0.5577873864147643	0.35801695712220655	0.502426866969105	0.19626490219224094	0.44053062973205204	0.5826533448227509	pass
host_int8_disable	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	f9867508e0ed1872ad068ebb6e5f917d22d5984663de060b5d704a1d8ae67259	1.27.0	CPUExecutionProvider	disable	5000	0	720948	144.1896	251.24996474221624	not-captured	0.372453424641694	0.5262696986065122	0.33470419211309455	0.48444620755864076	0.18111623895834822	0.4153421698366319	0.5473447854587796	pass
host_int8_all	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	9324423052a653fb81b47afcec6d9d7e2a5e0f68b3b9441ab411536a6efd4396	1.27.0	CPUExecutionProvider	all	5000	0	750316	150.0632	193.80886141818337	not-captured	0.3336151607232614	0.4801298548523816	0.2992076494986258	0.4565717602335678	0.1579185578580651	0.37101632917976374	0.49156255177737	pass
rt204_cpu_int8_all	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	1dbc118383009fa68ddb1b786af68f56b38c473d8c03a23a782a38e4727d0b48	1.24.2+spacemit.a1/EP-package-2.0.4	CPUExecutionProvider	all	5000	0	537654	107.5308	997.8373735757999	1018.6124350986	0.374594101158669	0.5393877800389896	0.33659484947560603	0.4758093938470565	0.190490693707118	0.41587090373710545	0.5444662490192772	pass
rt205_cpu_int8_all	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	1dbc118383009fa68ddb1b786af68f56b38c473d8c03a23a782a38e4727d0b48	1.24.2+spacemit.a1/EP-package-2.0.5	CPUExecutionProvider	all	5000	0	537654	107.5308	996.6670820648	1016.7803087579999	0.374594101158669	0.5393877800389896	0.33659484947560603	0.4758093938470565	0.190490693707118	0.41587090373710545	0.5444662490192772	pass
rt204_ep_int8_all	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	not-runnable	2.0.4	SpacemiTExecutionProvider	all	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	historical clip-minmax compiler blocker
rt205_ep_int8_all	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	not-runnable	2.0.5	SpacemiTExecutionProvider	all	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	not-runnable	clip-minmax blocker then abort
