path	status	before_kind	after_kind	before_size	after_size	before_sha256	after_sha256	before_link_target	after_link_target
CMakeLists.txt	unchanged	file	file	3288	3288	5e674a77b8352ca187f5e1cc6c7db2ce216b6c89e3543eebf6eff6a0f3ce8844	5e674a77b8352ca187f5e1cc6c7db2ce216b6c89e3543eebf6eff6a0f3ce8844	n/a	n/a
LICENSE	unchanged	file	file	1065	1065	be985efeb77899cb6233d486dbe875ef6f46bce0683e80bc2243281f848f6979	be985efeb77899cb6233d486dbe875ef6f46bce0683e80bc2243281f848f6979	n/a	n/a
README.md	unchanged	file	file	5042	5042	8db627f373d6cdc56f4f1e3ef4435834649f4c146fef0aa7d295c27528be20c6	8db627f373d6cdc56f4f1e3ef4435834649f4c146fef0aa7d295c27528be20c6	n/a	n/a
VERSION_NUMBER	content_changed	file	file	6	6	137f467241023dadfa605db00e630b25a9394d0fc7232718812983ba24b93945	9c65612e39d2c96cbdf45f3553f62e90a8952823e22872b3ca1ddcf156105dfb	n/a	n/a
bin	unchanged	dir	dir	96	96	n/a	n/a	n/a	n/a
bin/imagenet_test	unchanged	file	file	64720	64720	f7ac2dc9fe6e2daeb674efeea861ba71f40d078d961e00775f1964131a7c5f5f	f7ac2dc9fe6e2daeb674efeea861ba71f40d078d961e00775f1964131a7c5f5f	n/a	n/a
bin/onnx_test_runner	content_changed	file	file	1882008	1882008	7559b3f6d8a54109816263306b55346e33f5cb33952e25286f5f928703646930	561d7bcd402bdeae9a1857b7e8ac8ee052981c2e85e00e348b4c67993f8270ff	n/a	n/a
bin/onnxruntime_perf_test	content_changed	file	file	1978440	1978440	f27ebaa143befd80f2a8af9d9b2a5aed6a1aa5f5813140c77d421e057083a37a	bb2fb304af8f5847ddfd31297c9f84f91bb7296e2d1bd3fe309d94c23702793a	n/a	n/a
bin/run_demo	unchanged	file	file	72720	72720	71db78e7152298fa38de04d23d3c9afc44629db854ddb822b75f708a99fc2a43	71db78e7152298fa38de04d23d3c9afc44629db854ddb822b75f708a99fc2a43	n/a	n/a
doc	unchanged	dir	dir	6	6	n/a	n/a	n/a	n/a
include	unchanged	dir	dir	4096	4096	n/a	n/a	n/a	n/a
include/onnxruntime_c_api.h	unchanged	file	file	373908	373908	9ed0d7054a4e74249467365b25b415d36f51a44a6349e2a994a1812e4723d1e2	9ed0d7054a4e74249467365b25b415d36f51a44a6349e2a994a1812e4723d1e2	n/a	n/a
include/onnxruntime_config.h	content_changed	file	file	959	959	0b25bfa42ccaac93ae4bffcf11bd027e24db9e0afc2a7b367cc3f60ee021fa06	1dfe451351b2e2550e6401e2c622574491f41ed827bfa04645dc2203d5e53280	n/a	n/a
include/onnxruntime_cxx_api.h	unchanged	file	file	156761	156761	5eb8809db561261210ffcafcf9823873f0603fd799542797b6b728bb3f75e5f6	5eb8809db561261210ffcafcf9823873f0603fd799542797b6b728bb3f75e5f6	n/a	n/a
include/onnxruntime_cxx_inline.h	unchanged	file	file	144392	144392	022f4559009a35b157bc05a1aae9a59a2603a17e535d9410a49d0f9187f18039	022f4559009a35b157bc05a1aae9a59a2603a17e535d9410a49d0f9187f18039	n/a	n/a
include/onnxruntime_env_config_keys.h	unchanged	file	file	1315	1315	2d531fef7dd4ffd22f35d219e1a795dbaa1c94a4a7fd29397c0982232e4ca332	2d531fef7dd4ffd22f35d219e1a795dbaa1c94a4a7fd29397c0982232e4ca332	n/a	n/a
include/onnxruntime_ep_c_api.h	unchanged	file	file	102494	102494	e94ac3490697bdb107844fa9d403952ee7136134132a057eae5c1207b57ce352	e94ac3490697bdb107844fa9d403952ee7136134132a057eae5c1207b57ce352	n/a	n/a
include/onnxruntime_ep_device_ep_metadata_keys.h	unchanged	file	file	1460	1460	825b5e3010771fccdf9f6297530a1b1697f3da6837ee47872c82b9c644468c22	825b5e3010771fccdf9f6297530a1b1697f3da6837ee47872c82b9c644468c22	n/a	n/a
include/onnxruntime_float16.h	unchanged	file	file	17991	17991	88b242845d25981633a0bbd1c148e273cf8bfb016ea3f57c4af41a06530f72b0	88b242845d25981633a0bbd1c148e273cf8bfb016ea3f57c4af41a06530f72b0	n/a	n/a
include/onnxruntime_lite_custom_op.h	unchanged	file	file	61254	61254	f8c42f24286a94c003fdc76563f9e692f39d560c138bdf23063b1482a201d613	f8c42f24286a94c003fdc76563f9e692f39d560c138bdf23063b1482a201d613	n/a	n/a
include/onnxruntime_run_options_config_keys.h	unchanged	file	file	2952	2952	973037c14b0f1af0854ae25cd676776f79dbcfd2a6791f6ee17a5374c2a62550	973037c14b0f1af0854ae25cd676776f79dbcfd2a6791f6ee17a5374c2a62550	n/a	n/a
include/onnxruntime_session_options_config_keys.h	unchanged	file	file	27448	27448	bfeb053c31072c33b76d3fb7afd8396b9cd29e4938c496b14bc7464201801d71	bfeb053c31072c33b76d3fb7afd8396b9cd29e4938c496b14bc7464201801d71	n/a	n/a
include/provider_options.h	unchanged	file	file	480	480	cb7206ffd06ba31b9f7e5f6089a6206f0c720c10c3adcc61db7f829c86691cfc	cb7206ffd06ba31b9f7e5f6089a6206f0c720c10c3adcc61db7f829c86691cfc	n/a	n/a
include/spacemit_ort_env.h	content_changed	file	file	555	555	dd791fb6c49791971d146b8179ff9ba3a291b7c6444825fb8fa54007e5a1bc5e	590a8811d4a43bb7a4da40c156d0a9ed987c045a2e62611712ef55800b541159	n/a	n/a
include/spacemit_ort_env_c_api.h	content_changed	file	file	765	765	012947356a56b5f50a47ab92c95288b248d1cf7f7a1fc31018976a72832d3cd8	61ed30810e9b11c5c51f8e4541f2f76ca30b9b652fbf1f125f0e8f06de9982fb	n/a	n/a
include/spacemit_ort_plugin.h	added	n/a	file	n/a	17887	n/a	acb5767a3b7d15b383d1d0bc799126ea673bfe7797b979a9c956b68c12e346dc	n/a	n/a
