runtime	surface	provider	session_create_us	first_run_us	steady_mean_us	status
RT204	primary QDQ	CPU	2436113.147	1062076.934	1023677.578412	pass
RT205	primary QDQ	CPU	2435241.788	1060585.614	1024818.557872	pass
RT204	primary QDQ	SpacemiT	not-completed	not-run	not-runnable	compiler blocker
RT205	primary QDQ	SpacemiT	not-completed	not-run	not-runnable	compiler blocker then abort
