artifact	runtime	surface	size	sha256	node_count	operators	status	location
SpaceMITExecutionProvider_SpineSubgraph_11394679816361779845_1_0_shape1_3_8_8__.onnx	RT205	03 QDQ Conv	2598	0952109e3ca61072a84ede28b56859ab6c7ee1700e89ed51e3fb18fda3c63936	12	Conv,DequantizeLinear,QuantizeLinear,Transpose	complete/executed	/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE46-RT205-SPACEMIT-EP-INT8-FULL-REVALIDATION-PLUGIN-COCO-GATE-001
SpaceMITExecutionProvider_SpineSubgraph_13358161925164545459_1_0_shape1_3_640_640__.onnx	RT205	first Conv cut	3544	226ad0993237790c4ce43eb29a0580c3f208b14768cc9e20b720fb26b0c93109	13	Conv,DequantizeLinear,QuantizeLinear,Transpose	compile-failing	/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE46-RT205-SPACEMIT-EP-INT8-FULL-REVALIDATION-PLUGIN-COCO-GATE-001
SpaceMITExecutionProvider_SpineSubgraph_7770448811129185215_1_0_shape1_3_640_640__.onnx	RT205	filtered/full diagnostic	412472	162b864c034f4acfc5f022d0dca8bbf5adb6b0821d017dc4ed90b8551901a6a8	1076	Add,Concat,Conv,ConvWithBinary,DequantizeLinear,MatMul,MaxPool,Mul,QuantizeLinear,ReduceMax,Reshape,Resize,Sigmoid,Slice,Softmax,Split,Sub,Transpose	diagnostic; execution crashes	/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE46-RT205-SPACEMIT-EP-INT8-FULL-REVALIDATION-PLUGIN-COCO-GATE-001
