contract	host_runtime	host_status	board_runtime	board_mismatches	board_mismatch_ratio	board_max_abs_diff	board_mean_abs_diff	board_rmse	host_output_raw_sha256	board_output_raw_sha256	interpretation
semantic	ORT-1.27.0/all/CPU	exact-generator-replay	ORT-1.20.2+spacemit/all/CPU	15590	0.038061523438	0.238198548555	0.003507422957	0.021259812902	56e79e274fc39a777baed36653d18ff5df8389c025c05d16be8035da439455eb	ed428575e7ae1ee841d695f2315395b0100feefc98923037ac5b2a4a94ab6074	board-ORT-diagnostic-only
quantized	ORT-1.27.0/all/CPU	exact-generator-replay	ORT-1.20.2+spacemit/all/CPU	15305	0.037365722656	11	0.15890625	0.971864951717	fcc7cb7222c54070b268d43a603930b445da425d881a52516f084b6249ab5c35	255f7e6c495a2a2db3cac0a921e06f045f405ac1b5206f210429ad2b8d8d2235	board-ORT-diagnostic-only
