arm	machine	runtime_contract	custom_mode	input_npy_sha256	input_raw_sha256	output_raw_sha256	full_model_sha256	cut_sha256	fixture_metadata_sha256	fixture_source_sha256	activation_route	requant_route	threads	cpu_set	fenv	frm_status	result
host_ort_all	host	ORT-1.27.0/all/sequential/1x1	ORT	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	NA	NA	ORT graph	ORT graph	1	host-default	NA	NA	byte-exact-fixed-oracle
board_ort_all	board	ORT-1.20.2+spacemit/all/sequential/1x1	ORT	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	35554031f7894b5d42188c7b5599f7ea8af90c4ed8c9e7dd4e0c6f68d7fcfb09	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	NA	NA	ORT graph	ORT graph	1	0-3 process mask	NA	NA	mismatch-vs-fixed-host
host_scalar_all	host	fixed-host-oracle	scalar	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	9c20bfef00c1d2eaa20a1161ce13c235dfeae70c197a488df839aeafdc350aae	725a3540d9ed1518c241bb4a639f254dbb94e380ea991679ed6bcb84b3dd1bf8	INT8_LUT	scalar/direct	1	host-default	before=0;after=0	NA	byte-exact-fixed-oracle
board_scalar_all	board	fixed-host-oracle	scalar	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	9c20bfef00c1d2eaa20a1161ce13c235dfeae70c197a488df839aeafdc350aae	725a3540d9ed1518c241bb4a639f254dbb94e380ea991679ed6bcb84b3dd1bf8	INT8_LUT	scalar/direct	1	0-3 process mask	before=0;after=0	ambient-restored	byte-exact-fixed-oracle
board_ime_all	board	fixed-host-oracle	ime_threaded	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	9c20bfef00c1d2eaa20a1161ce13c235dfeae70c197a488df839aeafdc350aae	725a3540d9ed1518c241bb4a639f254dbb94e380ea991679ed6bcb84b3dd1bf8	STAGE9_RVV_F32_LUT	RVV_DIRECT_STORE	4+4+4	CPU0-3 only	before=0;after=0	RNE/RTZ/RDN/RUP/RMM-pass-restored	byte-exact-fixed-oracle
host_ort_disable	host	ORT-1.27.0/disable/sequential/1x1	ORT	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	1b1b5adad460b132ab0ecb6095c5fd8fcb07b2a6d900777ecbbd1fd66b8d87b8	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	NA	NA	ORT graph	ORT graph	1	host-default	NA	NA	one-byte-diff-vs-fixed-oracle
board_ort_disable	board	ORT-1.20.2+spacemit/disable/sequential/1x1	ORT	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	7e8ad24f42c42eed42afd693b40c80f77417126f6bea74b689fe5ae32422a099	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	NA	NA	ORT graph	ORT graph	1	0-3 process mask	NA	NA	three-byte-diff-vs-fixed-oracle
host_scalar_disable	host	fixed-host-oracle	scalar	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	9c20bfef00c1d2eaa20a1161ce13c235dfeae70c197a488df839aeafdc350aae	725a3540d9ed1518c241bb4a639f254dbb94e380ea991679ed6bcb84b3dd1bf8	INT8_LUT	scalar/direct	1	host-default	before=0;after=0	NA	byte-exact-fixed-oracle
board_scalar_disable	board	fixed-host-oracle	scalar	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	ae3ee976dad8c640c6357d43c4810c8fd07103e1627ced0ae4d125446bd485d4	b3e3410a9e7476ef01c3e65a2b6cddc6ab97e6e930a9dace544769385c515d2e	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	bde82b0130615717ffcbdbaca8fa274e5de00c111cf0b0a518023b6a674d841a	9c20bfef00c1d2eaa20a1161ce13c235dfeae70c197a488df839aeafdc350aae	725a3540d9ed1518c241bb4a639f254dbb94e380ea991679ed6bcb84b3dd1bf8	INT8_LUT	scalar/direct	1	0-3 process mask	before=0;after=0	ambient-restored	byte-exact-fixed-oracle
