contract	model_sha256	cut_path	cut_sha256	input_name	input_dtype	input_shape	input_layout	input_scale_name	input_scale	input_zero_point_name	input_zero_point	input_npy	input_npy_sha256	input_raw_sha256	output_name	output_dtype	output_shape	output_layout	output_scale_name	output_scale	output_zero_point_name	output_zero_point	output_npy	output_npy_sha256	output_raw_sha256	ort_version	provider	opt_level
semantic	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	/data/banana-yolo26-spacemit-demo/.deps/custom_int8_engine/stage42_contract_repair/host_all/model16/model16_semantic_cut.onnx	a789d7db60056cdd24f6854815ec502a11efc0cedbb1276c3be706e6100136d7	/model.15/Concat_output_0_DequantizeLinear_Output	FLOAT	1x256x80x80	NCHW					/data/banana-yolo26-spacemit-demo/.deps/custom_int8_engine/stage42_contract_repair/host_all/model16/model16_semantic_input.npy	042903ef08c674bdd7981b3141ca2c686c546d7878c7bed94ad0bb8f18ecb97b	7cc400d99621c8c092f2e1a67cac7cb00a55fc8fcfabe60162250964a0e63a41	/model.16/cv2/act/Mul_output_0_DequantizeLinear_Output	FLOAT	1x64x80x80	NCHW					/data/banana-yolo26-spacemit-demo/.deps/custom_int8_engine/stage42_contract_repair/host_all/model16/model16_semantic_output.npy	baa4543817feb9790339215dba9ab115a58f04c501b546b844c2af1bad00a276	56e79e274fc39a777baed36653d18ff5df8389c025c05d16be8035da439455eb	1.27.0	CPUExecutionProvider	all
quantized	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	/data/banana-yolo26-spacemit-demo/.deps/custom_int8_engine/stage42_contract_repair/host_all/model16/model16_quantized_cut.onnx	5ee79a3551b54667db9e34842bbcf19b0e25d909edb42f39c75c71c2c9e58cb0	/model.15/Concat_output_0_QuantizeLinear_Output	UINT8	1x256x80x80	NCHW	/model.15/Concat_output_0_scale	0.0302984528244	/model.15/Concat_output_0_zero_point	9	/data/banana-yolo26-spacemit-demo/.deps/custom_int8_engine/stage42_contract_repair/host_all/model16/model16_quantized_input.npy	808923db45cdc12d574dfdac69a9164c944c2b439682972806f8a304703f0c4e	981cb39f5d05b0b32be4d5b143fcbbbbfefb7d486868af96f33ec231e6cb8293	/model.16/cv2/act/Mul_output_0_QuantizeLinear_Output	UINT8	1x64x80x80	NCHW	/model.16/cv2/act/Mul_output_0_scale	0.021654414013	/model.16/cv2/act/Mul_output_0_zero_point	13	/data/banana-yolo26-spacemit-demo/.deps/custom_int8_engine/stage42_contract_repair/host_all/model16/model16_quantized_output.npy	e37aa4bc9a735e260df51c561545669c61db270a0dbc43131d7b9bd27aaabfc1	fcc7cb7222c54070b268d43a603930b445da425d881a52516f084b6249ab5c35	1.27.0	CPUExecutionProvider	all
