resolution	route	operation_index	M	N	K	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_count_per_cycle	all_available	time_running_status	interpretation
384	m8n16	5	9216	32	32	instructions	4	12255517.750000	10494626.500000	0.856318494	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	12	9216	64	48	instructions	4	29900210.500000	20332003.750000	0.679995338	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	124	2304	64	96	instructions	4	8658573.000000	6114855.500000	0.706219778	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	133	2304	80	64	instructions	4	8384904.000000	6590025.750000	0.785939320	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	144	2304	80	80	instructions	4	9183568.000000	6944205.000000	0.756155451	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	161	576	16	1152	instructions	4	7999130.500000	5067282.000000	0.633479101	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	201	144	16	2304	instructions	4	3963356.750000	2735127.500000	0.690103786	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	206	144	80	256	instructions	4	1276396.750000	725047.000000	0.568042029	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	5	9216	32	32	l1d_read_access	4	12630391.250000	2328198.500000	0.184333047	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	12	9216	64	48	l1d_read_access	4	30082227.500000	6331341.000000	0.210467825	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	124	2304	64	96	l1d_read_access	4	8730227.250000	1502238.500000	0.172073241	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	133	2304	80	64	l1d_read_access	4	8378806.500000	1551721.500000	0.185196006	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	144	2304	80	80	l1d_read_access	4	9140902.000000	1680095.250000	0.183799722	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	161	576	16	1152	l1d_read_access	4	8146114.750000	1261801.000000	0.154896050	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	201	144	16	2304	l1d_read_access	4	3941760.500000	667231.750000	0.169272524	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	206	144	80	256	l1d_read_access	4	1236168.250000	194172.750000	0.157076312	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	5	9216	32	32	l1d_read_miss	4	12502534.750000	19676.250000	0.001573781	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	12	9216	64	48	l1d_read_miss	4	30144738.000000	43593.000000	0.001446123	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	124	2304	64	96	l1d_read_miss	4	8654857.500000	21802.000000	0.002519048	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	133	2304	80	64	l1d_read_miss	4	8353428.500000	15071.250000	0.001804199	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	144	2304	80	80	l1d_read_miss	4	9246467.750000	19654.750000	0.002125650	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	161	576	16	1152	l1d_read_miss	4	8198752.500000	27737.500000	0.003383137	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	201	144	16	2304	l1d_read_miss	4	3899820.750000	7062.750000	0.001811045	1	positive	event-count-per-cycle; not a miss/access ratio
384	m8n16	206	144	80	256	l1d_read_miss	4	1229381.000000	4661.500000	0.003791746	1	positive	event-count-per-cycle; not a miss/access ratio
