resolution	pipeline_kind	phase	samples	mean_us	stddev_us	cv_pct	minimum_us	median_us	p90_us	p95_us	p99_us	maximum_us	fps_from_mean	source_file
640	serial	jpeg_decode	500	23591.07786	25.9852084907	0.11014845801	23525.942	23588.486	23613.5875	23634.40635	23679.83862	23832.359	42.388906770	r640_serial.tsv
640	serial	resize_letterbox	500	1207.155672	28.1032230972	2.32805293874	1143.594	1196.7405	1251.4287	1258.6412	1271.50058	1279.679	828.393572755	r640_serial.tsv
640	serial	color_convert	500	514.602332	20.8217201088	4.04617678818	475.004	508.484	560.5265	569.63835	577.32091	599.964	1943.248092393	r640_serial.tsv
640	serial	input_quantize_layout	500	514.071188	44.3736395304	8.63180831103	440.755	508.1715	546.5259	556.11995	578.49183	1257.47	1945.255877674	r640_serial.tsv
640	serial	pure_graph	500	131146.054354	1224.47340199	0.933671552697	129960.017	130877.403	131822.4825	133481.0502	134387.10036	150092.459	7.625086435	r640_serial.tsv
640	serial	executor_total	500	131660.125542	1223.69394708	0.929433981654	130472.938	131389.6225	132357.0024	133984.14295	134878.76143	150599.506	7.595314040	r640_serial.tsv
640	serial	output_decode	500	6.208214	0.288340598608	4.64450160075	5.5	6.208	6.583	6.667	6.83441	7.25	161076.921639621	r640_serial.tsv
640	serial	preloaded_image_pipeline	500	157329.217328	1227.07820242	0.779942990412	156142.062	157051.9	158047.7988	159680.81705	160553.07847	176292.013	6.356098486	r640_serial.tsv
640	double_buffer	preprocessor	500	26182.399004	745.671730665	2.847988569		26118.1445	26199.4658	26275.7981	26492.12552	39039.126	38.193597151	r640_double_buffer.tsv
640	double_buffer	executor	500	132521.438792	1925.88360729	1.453261921		131916.063	134589.4339	137357.67815	141207.90696	144676.896	7.545948860	r640_double_buffer.tsv
640	double_buffer	pipeline_interval	500	132828.171928	1924.56266205	1.448911503		132220.7635	134889.3566	137674.1315	141531.86422	144987.149	7.528523396	r640_double_buffer.tsv
512	serial	jpeg_decode	500	23555.380422	43.7074968744	0.185552073842	23487.51	23550.782	23581.1968	23601.2733	23644.11337	24066.27	42.453145824	r512_serial.tsv
512	serial	resize_letterbox	500	3389.211692	26.3219475506	0.776639228901	3319.448	3392.281	3417.7861	3427.91295	3445.90834	3484.116	295.053862336	r512_serial.tsv
512	serial	color_convert	500	347.549192	25.3995894942	7.30819984017	319.336	340.9825	381.1126	402.0513	416.99758	545.13	2877.290533307	r512_serial.tsv
512	serial	input_quantize_layout	500	352.958546	139.829648454	39.6164507245	292.086	339.378	368.3122	381.92595	527.86042	2571.983	2833.193901473	r512_serial.tsv
512	serial	pure_graph	500	96954.451008	844.001387745	0.870513296677	96160.021	96781.784	97394.3443	98133.75695	99509.40399	108523.943	10.314121627	r512_serial.tsv
512	serial	executor_total	500	97307.409554	870.038211508	0.894113013074	96497.107	97119.3915	97741.2083	98730.58645	99867.63675	108896.53	10.276709704	r512_serial.tsv
512	serial	output_decode	500	6.156198	1.60657739204	26.0969090345	5.458	6.0625	6.458	6.583	6.83383	41.458	162437.920287814	r512_serial.tsv
512	serial	preloaded_image_pipeline	500	124941.587472	896.371002997	0.717432058559	124099.823	124753.6145	125373.9458	126582.7953	127523.88811	137047.506	8.003740150	r512_serial.tsv
512	double_buffer	preprocessor	500	27137.04291	1803.21851063	6.644860004		26903.4335	27188.4163	27250.4791	35203.43116	59626.384	36.849998849	r512_double_buffer.tsv
512	double_buffer	executor	500	102903.039792	1595.93557019	1.550911978		102784.779	104354.1107	106236.2776	108142.57851	112159.915	9.717885905	r512_double_buffer.tsv
512	double_buffer	pipeline_interval	500	103211.628086	1595.69811625	1.546044904		103089.95	104625.722	106516.2689	108412.79325	112454.251	9.688830789	r512_double_buffer.tsv
448	serial	jpeg_decode	500	23561.48547	32.2040968747	0.136681097275	23498.212	23557.6295	23588.0986	23606.47575	23646.74228	23885.759	42.442145733	r448_serial.tsv
448	serial	resize_letterbox	500	2787.165804	27.7779083569	0.996636379403	2729.274	2788.338	2822.7461	2831.53435	2840.66557	2851.776	358.787409979	r448_serial.tsv
448	serial	color_convert	500	270.102608	18.0490282312	6.68228580421	243.794	266.1485	271.4601	326.90295	336.24658	400.629	3702.296721252	r448_serial.tsv
448	serial	input_quantize_layout	500	258.370306	24.2413521861	9.38240642333	223.085	254.169	268.5354	289.60235	310.04901	599.672	3870.413808311	r448_serial.tsv
448	serial	pure_graph	500	173457.119644	1898.92491964	1.09475178853	172510.765	172890.6675	175136.6744	175899.88715	182852.0076	188245.106	5.765113603	r448_serial.tsv
448	serial	executor_total	500	173715.48995	1899.77003788	1.09361003928	172757.85	173145.985	175429.958	176152.9805	183110.95418	188502.358	5.756539041	r448_serial.tsv
448	serial	output_decode	500	6.034168	0.269422383289	4.46494667184	5.459	6	6.3751	6.5	6.75125	7.251	165722.929822305	r448_serial.tsv
448	serial	preloaded_image_pipeline	500	200678.950372	1900.57129841	0.947070579591	199708.217	200104.596	202376.4267	203109.3545	210096.64975	215458.225	4.983083667	r448_serial.tsv
448	double_buffer	preprocessor	500	26396.45174	305.051719584	1.155654262		26370.445	26487.4247	26526.5552	26767.03554	31630.948	37.883879616	r448_double_buffer.tsv
448	double_buffer	executor	500	171390.51391	1306.42646046	0.762251323		171611.6445	172388.2018	173632.3385	174560.34901	174940.593	5.834628634	r448_double_buffer.tsv
448	double_buffer	pipeline_interval	500	171698.917548	1308.77362685	0.762249201		171914.1495	172727.0958	173992.39835	174882.54593	175249.138	5.824148540	r448_double_buffer.tsv
416	serial	jpeg_decode	500	23564.207642	43.3495969901	0.183963737074	23486.601	23558.8805	23591.9945	23616.0971	23669.9578	24040.588	42.437242754	r416_serial.tsv
416	serial	resize_letterbox	500	2559.576338	31.5660110652	1.23325140167	2471.411	2562.8615	2595.2735	2607.243	2645.65785	2682.084	390.689656391	r416_serial.tsv
416	serial	color_convert	500	245.27555	16.2587831092	6.62878265249	222.352	241.54	246.6867	294.0141	306.75361	319.484	4077.047223011	r416_serial.tsv
416	serial	input_quantize_layout	500	230.860344	22.6284873134	9.80180784684	189.974	225.767	250.966	262.19495	295.45677	529.417	4331.623104573	r416_serial.tsv
416	serial	pure_graph	500	135177.674146	1535.89872809	1.13620739356	134346.626	134658.2835	137037.7528	138763.6786	141781.6419	145586.229	7.397671297	r416_serial.tsv
416	serial	executor_total	500	135408.53449	1538.98095398	1.13654649596	134569.352	134885.2525	137262.2417	139064.69535	142021.25754	145823.166	7.385058880	r416_serial.tsv
416	serial	output_decode	500	6.014304	0.254768612029	4.23604480301	5.459	6	6.375	6.459	6.66742	6.793	166270.278323144	r416_serial.tsv
416	serial	preloaded_image_pipeline	500	162119.560624	1550.21923734	0.95621973769	161265.719	161598.47	163949.2684	165804.0406	168696.3889	172603.293	6.168287134	r416_serial.tsv
416	double_buffer	preprocessor	500	25986.61192	525.081323196	2.020584002		25915.1065	26059.1724	26161.3599	26957.28461	34321.086	38.481353517	r416_double_buffer.tsv
416	double_buffer	executor	500	134028.502074	2509.35667001	1.872255999		134149.8805	135882.8822	138260.87675	142779.37568	151191.01	7.461099576	r416_double_buffer.tsv
416	double_buffer	pipeline_interval	500	134351.222958	2509.58238128	1.867926712		134477.2705	136257.5059	138559.46655	143096.80555	151476.614	7.443177501	r416_double_buffer.tsv
384	serial	jpeg_decode	500	23509.399802	30.1442025265	0.128221914555	23438.549	23505.76	23537.3437	23558.5526	23605.6305	23744.129	42.536177377	r384_serial.tsv
384	serial	resize_letterbox	500	2198.961826	30.699381287	1.39608523095	2137.72	2201.661	2238.1908	2245.79155	2259.36005	2287.773	454.760054575	r384_serial.tsv
384	serial	color_convert	500	200.519608	14.7906715076	7.37617216347	181.053	197.847	201.2252	238.96355	261.10417	330.188	4987.043461605	r384_serial.tsv
384	serial	input_quantize_layout	500	180.853796	14.6840126402	8.11927256433	154.26	178.928	184.6905	200.65255	219.58184	376.649	5529.328231518	r384_serial.tsv
384	serial	pure_graph	500	46771.586292	413.421904897	0.883916791523	46455.566	46702.4395	46853.8597	46953.04185	49549.81206	50278.116	21.380502123	r384_serial.tsv
384	serial	executor_total	500	46952.440088	413.61753363	0.880928728847	46635.203	46884.155	47037.1685	47124.3691	49730.13414	50460.628	21.298147618	r384_serial.tsv
384	serial	output_decode	500	6.0935	2.25420485339	36.9935973314	5.458	5.958	6.292	6.376	6.75141	45.336	164109.296791663	r384_serial.tsv
384	serial	preloaded_image_pipeline	500	73204.401638	420.396742476	0.57427795743	72880.663	73140.674	73300.5026	73420.52705	76033.69109	76786.825	13.660380764	r384_serial.tsv
384	double_buffer	preprocessor	500	25804.580998	179.891905362	0.697131666		25790.78	25878.5422	25920.85995	26108.03466	29261.346	38.752809049	r384_double_buffer.tsv
384	double_buffer	executor	500	51745.403108	684.096779102	1.322043579		51767.045	52285.7412	52405.212	54605.12817	55426.163	19.325388149	r384_double_buffer.tsv
384	double_buffer	pipeline_interval	500	52048.759994	685.082132219	1.316231419		52064.6975	52608.6276	52691.5527	54900.77148	55755.642	19.212753582	r384_double_buffer.tsv
352	serial	jpeg_decode	500	23477.802644	32.7002406715	0.13928152122	23410.629	23470.959	23519.4792	23549.79375	23577.69609	23734.427	42.593423889	r352_serial.tsv
352	serial	resize_letterbox	500	2039.06107	31.6851094756	1.55390684182	1965.99	2038.516	2075.5288	2084.7251	2100.78033	2252.549	490.421799873	r352_serial.tsv
352	serial	color_convert	500	177.475862	11.6046625611	6.53872725583	163.302	175.385	178.6392	184.0158	233.56209	254.682	5634.569054805	r352_serial.tsv
352	serial	input_quantize_layout	500	162.16889	10.5861163264	6.52783423897	140.841	160.0095	166.6424	181.96755	205.27793	253.681	6166.410832559	r352_serial.tsv
352	serial	pure_graph	500	81249.53809	1282.70194066	1.5787190559	80584.377	80848.714	82051.6632	85076.14355	85998.31249	90415.046	12.307762278	r352_serial.tsv
352	serial	executor_total	500	81411.70698	1283.32041713	1.57633400003	80748.804	81011.1745	82249.6585	85238.89715	86163.9859	90573.889	12.283245704	r352_serial.tsv
352	serial	output_decode	500	6.141348	0.29400710749	4.78733834151	5.459	6.126	6.501	6.62505	6.87641	7.334	162830.701012221	r352_serial.tsv
352	serial	preloaded_image_pipeline	500	107437.815686	1287.82458424	1.19866973842	106720.84	107036.407	108247.1219	111288.2508	112225.88952	116599.415	9.307709707	r352_serial.tsv
352	double_buffer	preprocessor	500	25687.2352	629.537456509	2.450779352		25621.002	25752.5219	25817.60275	26473.16666	35328.317	38.929841698	r352_double_buffer.tsv
352	double_buffer	executor	500	81464.10154	1467.70891568	1.801663417		81872.518	83031.332	83162.3825	84806.46077	85542.38	12.275345595	r352_double_buffer.tsv
352	double_buffer	pipeline_interval	500	81767.158032	1467.74414835	1.795028938		82204.874	83335.0803	83457.352	85077.53262	85851.146	12.229849050	r352_double_buffer.tsv
320	serial	jpeg_decode	500	23522.27326	33.1319312527	0.140853440849	23428.3	23514.7675	23577.1606	23598.21465	23616.50882	23659.395	42.512897837	r320_serial.tsv
320	serial	resize_letterbox	500	1608.773164	29.261260442	1.8188555787	1556.832	1596.6025	1647.3793	1653.6661	1670.88861	1722.675	621.591671453	r320_serial.tsv
320	serial	color_convert	500	145.403042	9.68420872666	6.66025180317	132.757	144.1945	146.5952	147.88715	197.55742	229.471	6877.435205241	r320_serial.tsv
320	serial	input_quantize_layout	500	137.050606	16.0679445831	11.724095976	116.839	135.2775	141.4439	147.62645	173.56918	448.148	7296.574814124	r320_serial.tsv
