resolution	operation_index	live_tensor_count	concurrently_live_bytes	live_tensor_ids
640	0	1	3276800	0
640	1	2	4915200	0,1
640	2	2	3276800	1,2
640	3	2	2457600	2,3
640	4	2	1638400	3,4
640	5	2	1638400	4,5
640	6	2	1228800	5,6
640	7	3	1433600	5,6,7
640	8	4	1638400	5,6,7,8
640	9	4	1843200	5,6,8,9
640	10	4	2048000	5,6,9,206
640	11	4	2867200	5,6,10,206
640	12	2	2867200	10,11
640	13	2	3276800	11,12
640	14	2	2048000	12,13
640	15	2	819200	13,14
640	16	2	819200	14,15
640	17	2	614400	15,16
640	18	3	716800	15,16,17
640	19	4	819200	15,16,17,18
640	20	4	921600	15,16,18,19
640	21	4	1024000	15,16,19,207
640	22	4	1433600	15,16,20,207
640	23	2	1433600	20,21
640	24	2	1638400	21,22
640	25	2	1024000	22,23
640	26	3	1228800	22,23,24
640	27	3	1228800	22,24,25
640	28	3	1126400	22,25,26
640	29	4	1177600	22,25,26,27
640	30	5	1228800	22,25,26,27,28
640	31	6	1280000	22,25,26,27,28,29
640	32	6	1280000	22,25,26,28,29,30
640	33	7	1331200	22,25,26,28,29,30,31
640	34	7	1331200	22,25,26,28,29,31,32
640	35	7	1331200	22,25,26,28,29,32,33
640	36	6	1280000	22,25,26,28,33,34
640	37	7	1331200	22,25,26,28,33,34,35
640	38	7	1331200	22,25,26,28,33,35,36
640	39	7	1331200	22,25,26,28,33,36,208
640	40	6	1331200	22,25,26,28,37,208
640	41	5	1331200	22,25,26,37,38
640	42	5	1536000	22,25,26,38,39
640	43	3	1331200	22,39,40
640	44	3	1228800	22,40,41
640	45	3	1126400	22,41,42
640	46	4	1228800	22,41,42,43
640	47	4	1228800	22,41,43,44
640	48	4	1177600	22,41,44,45
640	49	5	1203200	22,41,44,45,46
640	50	6	1228800	22,41,44,45,46,47
640	51	7	1254400	22,41,44,45,46,47,48
640	52	7	1254400	22,41,44,45,47,48,49
640	53	8	1280000	22,41,44,45,47,48,49,50
640	54	8	1280000	22,41,44,45,47,48,50,51
640	55	8	1280000	22,41,44,45,47,48,51,52
640	56	7	1254400	22,41,44,45,47,52,53
640	57	8	1280000	22,41,44,45,47,52,53,54
640	58	8	1280000	22,41,44,45,47,52,54,55
640	59	8	1280000	22,41,44,45,47,52,55,209
640	60	7	1280000	22,41,44,45,47,56,209
640	61	6	1280000	22,41,44,45,56,57
640	62	6	1382400	22,41,44,45,57,58
640	63	4	1280000	22,41,58,59
640	64	4	1228800	22,41,59,60
640	65	4	1177600	22,41,60,61
640	66	5	1382400	22,41,60,61,62
640	67	5	1433600	22,41,60,62,63
640	68	5	1331200	22,41,60,63,64
640	69	4	1228800	22,41,64,65
640	70	4	1177600	22,41,65,66
640	71	5	1280000	22,41,65,66,67
640	72	6	1305600	22,41,65,66,67,68
640	73	7	1356800	22,41,65,66,67,68,69
640	74	8	1382400	22,41,65,66,67,68,69,70
640	75	8	1331200	22,41,65,66,68,69,70,71
640	76	9	1651200	22,41,65,66,68,69,70,71,72
640	77	8	1651200	22,41,65,66,69,71,72,73
640	78	8	1920000	22,41,65,66,69,72,73,74
640	79	8	1651200	22,41,65,66,69,73,74,75
640	80	7	1331200	22,41,65,66,73,75,76
640	81	6	1280000	22,41,65,66,76,77
640	82	6	1280000	22,41,65,66,77,78
640	83	5	1280000	22,41,65,78,79
640	84	6	1382400	22,41,65,78,79,80
640	85	6	1331200	22,41,65,78,80,81
640	86	6	1280000	22,41,65,78,81,210
640	87	5	1280000	22,41,65,82,210
640	88	4	1228800	22,41,82,83
640	89	4	1740800	22,41,83,84
640	90	4	1740800	22,83,84,85
640	91	4	1228800	22,83,85,86
640	92	5	1280000	22,83,85,86,87
640	93	6	1331200	22,83,85,86,87,88
640	94	7	1382400	22,83,85,86,87,88,89
640	95	7	1382400	22,83,85,86,88,89,90
640	96	8	1433600	22,83,85,86,88,89,90,91
640	97	8	1433600	22,83,85,86,88,89,91,92
640	98	8	1433600	22,83,85,86,88,89,92,93
640	99	7	1382400	22,83,85,86,88,93,94
640	100	8	1433600	22,83,85,86,88,93,94,95
640	101	8	1433600	22,83,85,86,88,93,95,96
640	102	8	1433600	22,83,85,86,88,93,96,211
640	103	7	1433600	22,83,85,86,88,97,211
640	104	6	1433600	22,83,85,86,97,98
640	105	6	1638400	22,83,85,86,98,99
640	106	4	1433600	22,83,99,100
640	107	4	2764800	22,83,100,101
640	108	4	2355200	83,100,101,102
640	109	4	921600	83,100,102,103
640	110	5	1024000	83,100,102,103,104
640	111	6	1126400	83,100,102,103,104,105
640	112	7	1228800	83,100,102,103,104,105,106
640	113	7	1228800	83,100,102,103,105,106,107
640	114	8	1331200	83,100,102,103,105,106,107,108
640	115	8	1331200	83,100,102,103,105,106,108,109
640	116	8	1331200	83,100,102,103,105,106,109,110
640	117	7	1228800	83,100,102,103,105,110,111
640	118	8	1331200	83,100,102,103,105,110,111,112
640	119	8	1331200	83,100,102,103,105,110,112,113
640	120	8	1331200	83,100,102,103,105,110,113,212
640	121	7	1331200	83,100,102,103,105,114,212
640	122	6	1331200	83,100,102,103,114,115
640	123	6	1740800	83,100,102,103,115,116
640	124	4	1331200	83,100,116,117
640	125	4	1126400	83,100,117,118
640	126	4	819200	83,100,118,119
640	127	5	921600	83,100,118,119,120
640	128	6	1331200	83,100,118,119,120,121
640	129	6	1024000	83,100,119,120,121,122
640	130	6	1331200	83,100,119,121,122,123
640	131	6	1228800	83,100,119,122,123,124
640	132	5	1024000	83,122,123,124,125
640	133	5	1433600	83,123,124,125,126
640	134	5	1228800	83,124,125,126,127
640	135	5	1024000	83,125,126,127,128
640	136	5	1433600	83,126,127,128,129
640	137	5	1024000	83,127,128,129,130
640	138	6	1075200	83,127,128,129,130,131
640	139	6	1484800	83,127,129,130,131,132
640	140	6	1024000	83,127,130,131,132,133
640	141	7	1075200	83,127,130,131,132,133,134
640	142	8	1587200	83,127,130,131,132,133,134,135
640	143	8	1126400	83,127,130,131,133,134,135,136
640	144	8	1587200	83,127,130,131,134,135,136,137
640	145	8	1126400	83,127,130,131,134,136,137,138
640	146	9	1638400	83,127,130,131,134,136,137,138,139
640	147	9	1177600	83,127,130,131,134,136,138,139,140
640	148	9	1638400	83,127,130,131,134,136,139,140,141
640	149	9	1177600	83,127,130,131,134,136,140,141,142
640	150	9	1177600	83,127,130,131,134,136,141,142,143
640	151	8	1126400	83,127,130,131,134,141,143,144
640	152	9	1177600	83,127,130,131,134,141,143,144,145
640	153	9	1177600	83,127,130,131,134,141,143,145,146
640	154	9	1177600	83,127,130,131,134,141,143,146,213
640	155	8	1177600	83,127,130,131,134,141,147,213
640	156	7	1177600	83,127,130,131,141,147,148
640	157	7	1382400	83,127,130,131,141,148,149
640	158	5	1177600	83,131,141,149,150
640	159	5	1075200	83,131,141,150,151
640	160	5	921600	83,131,141,151,152
640	161	6	947200	83,131,141,151,152,153
640	162	7	1152000	83,131,141,151,152,153,154
640	163	7	972800	83,131,141,152,153,154,155
640	164	7	1152000	83,131,141,152,154,155,156
640	165	7	1100800	83,131,141,152,155,156,157
640	166	6	972800	131,141,155,156,157,158
640	167	6	1075200	131,141,156,157,158,159
640	168	6	972800	131,141,157,158,159,160
640	169	6	844800	131,141,158,159,160,161
640	170	6	947200	131,141,159,160,161,162
640	171	6	870400	131,141,160,161,162,163
640	172	7	883200	131,141,160,161,162,163,164
640	173	7	985600	131,141,160,162,163,164,165
640	174	7	883200	131,141,160,163,164,165,166
640	175	8	1011200	131,141,160,163,164,165,166,167
640	176	8	908800	131,141,160,163,164,166,167,168
640	177	8	1011200	131,141,160,163,164,167,168,169
640	178	8	934400	131,141,160,163,164,168,169,170
640	179	8	1036800	131,141,160,163,164,169,170,171
640	180	8	960000	131,141,160,163,164,170,171,172
640	181	8	1036800	131,141,160,163,164,171,172,173
640	182	8	1011200	131,141,160,163,164,172,173,174
640	183	9	1036800	131,141,160,163,164,172,173,174,175
640	184	10	1088000	131,141,160,163,164,172,173,174,175,176
640	185	11	1113600	131,141,160,163,164,172,173,174,175,176,177
640	186	11	1062400	131,141,160,163,164,172,173,175,176,177,178
640	187	12	1382400	131,141,160,163,164,172,173,175,176,177,178,179
640	188	11	1382400	131,141,160,163,164,172,173,176,178,179,180
640	189	11	1651200	131,141,160,163,164,172,173,176,179,180,181
640	190	11	1382400	131,141,160,163,164,172,173,176,180,181,182
640	191	10	1062400	131,141,160,163,164,172,173,180,182,183
640	192	9	1011200	131,141,160,163,164,172,173,183,184
640	193	9	1011200	131,141,160,163,164,172,173,184,185
640	194	8	1011200	131,141,160,163,164,173,185,186
640	195	9	1113600	131,141,160,163,164,173,185,186,187
640	196	9	1062400	131,141,160,163,164,173,185,187,188
640	197	9	1011200	131,141,160,163,164,173,185,188,214
640	198	8	1062400	131,141,160,163,164,173,189,214
640	199	6	960000	131,141,164,173,189,190
640	200	6	908800	131,141,164,173,190,191
640	201	6	812800	131,141,164,173,191,192
640	202	7	915200	131,141,164,173,191,192,193
640	203	7	819200	131,141,164,173,192,193,194
640	204	7	915200	131,141,164,173,193,194,195
640	205	7	819200	131,141,164,173,194,195,196
640	206	7	844800	131,141,164,173,195,196,197
640	207	7	748800	131,141,164,173,196,197,198
640	208	7	774400	131,141,164,173,197,198,199
640	209	7	745600	131,141,164,173,198,199,200
640	210	7	771200	131,141,164,173,199,200,201
640	211	7	771200	131,141,164,173,200,201,202
640	212	7	771200	131,141,164,173,200,202,203
640	213	7	771200	131,141,164,173,200,203,204
640	214	7	771200	131,141,164,173,200,204,205
512	0	1	2097152	0
512	1	2	3145728	0,1
512	2	2	2097152	1,2
512	3	2	1572864	2,3
512	4	2	1048576	3,4
512	5	2	1048576	4,5
512	6	2	786432	5,6
512	7	3	917504	5,6,7
512	8	4	1048576	5,6,7,8
512	9	4	1179648	5,6,8,9
512	10	4	1310720	5,6,9,206
512	11	4	1835008	5,6,10,206
512	12	2	1835008	10,11
512	13	2	2097152	11,12
512	14	2	1310720	12,13
512	15	2	524288	13,14
512	16	2	524288	14,15
512	17	2	393216	15,16
512	18	3	458752	15,16,17
512	19	4	524288	15,16,17,18
512	20	4	589824	15,16,18,19
512	21	4	655360	15,16,19,207
512	22	4	917504	15,16,20,207
512	23	2	917504	20,21
512	24	2	1048576	21,22
512	25	2	655360	22,23
512	26	3	786432	22,23,24
512	27	3	786432	22,24,25
512	28	3	720896	22,25,26
512	29	4	753664	22,25,26,27
