resolution	pipeline_kind	output_hash	package_manifest_sha256	detections	cpu4_7_ime_count	preprocessor_cpus	executor_cpus	steady_state_fps
640	serial	0x9902d7343496026	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	300	0	controller-thread	0-4	not_applicable
640	double_buffer	0x9902d7343496026	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	300	0	5-7	0-4	7.52458224593
512	serial	0xf4458aa60c3e3b33	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	300	0	controller-thread	0-4	not_applicable
512	double_buffer	0xf4458aa60c3e3b33	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	300	0	5-7	0-4	9.68217931083
448	serial	0x14f4113ac89504bf	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	300	0	controller-thread	0-4	not_applicable
448	double_buffer	0x14f4113ac89504bf	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	300	0	5-7	0-4	5.82177793449
416	serial	0xd809646c8065373a	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	300	0	controller-thread	0-4	not_applicable
416	double_buffer	0xd809646c8065373a	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	300	0	5-7	0-4	7.43928353041
384	serial	0x563d68c8cb3831bc	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	300	0	controller-thread	0-4	not_applicable
384	double_buffer	0x563d68c8cb3831bc	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	300	0	5-7	0-4	19.1876792543
352	serial	0xa8dc95c30af889cd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	300	0	controller-thread	0-4	not_applicable
352	double_buffer	0xa8dc95c30af889cd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	300	0	5-7	0-4	12.2194763753
320	serial	0x81ae8f531ad3a344	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	300	0	controller-thread	0-4	not_applicable
320	double_buffer	0x81ae8f531ad3a344	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	300	0	5-7	0-4	16.1532937842
256	serial	0xe10f12954e4e9c65	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	300	0	controller-thread	0-4	not_applicable
256	double_buffer	0xe10f12954e4e9c65	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	300	0	5-7	0-4	34.5483815249
