resolution	mac_count	flop_count_2_per_mac	arena_bytes	peak_live_bytes	peak_live_operation	max_tensor_id	max_tensor_name	max_tensor_bytes	physical_input_bytes	first_output_bytes	input_plus_first_output_bytes	diagnostic_4r2_bytes	diagnostic_8r2_bytes	diagnostic_12r2_bytes	single_4r2_fits_512k	physical_input_8r2_fits_512k	input_plus_output_12r2_fits_512k	conv_operations_with_M12_tail	unique_mnk_classes	feature_map_lattice
640	2740153600	5480307200	8192000	4915200	1	0	images_QuantizeLinear_Output	3276800	3276800	1638400	4915200	1638400	3276800	4915200	0	0	0	102	59	640x640,320x320,160x160,80x80,40x40,20x20
512	1739542528	3479085056	5242880	3145728	1	0	images_QuantizeLinear_Output	2097152	2097152	1048576	3145728	1048576	2097152	3145728	0	0	0	102	59	512x512,256x256,128x128,64x64,32x32,16x16
448	1327321408	2654642816	4014080	2408448	1	0	images_QuantizeLinear_Output	1605632	1605632	802816	2408448	802816	1605632	2408448	0	0	0	102	59	448x448,224x224,112x112,56x56,28x28,14x14
416	1142723920	2285447840	3461120	2076672	1	0	images_QuantizeLinear_Output	1384448	1384448	692224	2076672	692224	1384448	2076672	0	0	0	102	59	416x416,208x208,104x104,52x52,26x26,13x13
384	972299520	1944599040	2949120	1769472	1	0	images_QuantizeLinear_Output	1179648	1179648	589824	1769472	589824	1179648	1769472	0	0	0	0	59	384x384,192x192,96x96,48x48,24x24,12x12
352	815933008	1631866016	2478080	1486848	1	0	images_QuantizeLinear_Output	991232	991232	495616	1486848	495616	991232	1486848	1	0	0	102	59	352x352,176x176,88x88,44x44,22x22,11x11
320	673518400	1347036800	2048000	1228800	1	0	images_QuantizeLinear_Output	819200	819200	409600	1228800	409600	819200	1228800	1	0	0	102	59	320x320,160x160,80x80,40x40,20x20,10x10
256	430167040	860334080	1310720	786432	1	0	images_QuantizeLinear_Output	524288	524288	262144	786432	262144	524288	786432	1	1	0	102	59	256x256,128x128,64x64,32x32,16x16,8x8
