resolution	operation_index	shape_class	M	N	K	m12_mean_us	m12_p95_us	m12_p99_us	m12_gmac_per_s	m12_register_safe_status	m12_epilogue_status	m8_mean_us	m8_p95_us	m8_p99_us	m8_gmac_per_s	m8_register_safe_status	m8_epilogue_status	m8_delta_pct	m4_tail_M	m4_tail_mean_us	m4_tail_p95_us	m4_tail_p99_us	m4_tail_gmac_per_s	m4_tail_register_safe_status	m4_tail_epilogue_status	m4_tail_output_hash	m4_tail_deterministic	output_hash_m12	output_hash_m8	exact_hash_match	selected_route	selection_reason
352	144	dense_1x1_n80_k80	1936	80	80	378.37072	390.9595	396.93034	32.7467199365	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	444.55175	454.46025	469.54853	27.8716707335	exact-existing-m8n16-route	full-conv-selected-e2c5	17.491054805	4	6.53295	6.585	6.58624	3.91859726464	exact-current-m4-tail-route	full-conv-selected-e2c5	0x3960a15efc4cb65e	1	0x20c041489ad8e912	0x20c041489ad8e912	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
352	133	dense_1x1_n80_k64	1936	80	64	351.45293	355.00725	360.28469	28.2038337253	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	407.10563	417.4205	419.31333	24.3482754095	exact-existing-m8n16-route	full-conv-selected-e2c5	15.835036572	4	6.2195	6.2531	6.29841	3.2928692017	exact-current-m4-tail-route	full-conv-selected-e2c5	0x35a11b4b0bbb6d35	1	0x3c189d8790ec9e4d	0x3c189d8790ec9e4d	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
352	124	dense_1x1_k96	1936	64	96	318.65645	342.8372	367.10835	37.3279247917	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	419.25552	429.68645	431.1835	28.3712042718	exact-existing-m8n16-route	full-conv-selected-e2c5	31.569757963	4	6.11282	6.168	6.16883	4.02040302185	exact-current-m4-tail-route	full-conv-selected-e2c5	0x204190c9eb4d0f37	1	0xcc8fd71a4b2714a7	0xcc8fd71a4b2714a7	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
352	12	dense_1x1_k48	7744	64	48	1100.37338	1125.5204	1130.63849	21.6195415414	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	1321.72037	1350.86655	1376.25167	17.9989417883	exact-existing-m8n16-route	full-conv-selected-e2c5	20.115625662	4	5.809	5.5861	6.90478	2.1153382682	exact-current-m4-tail-route	full-conv-selected-e2c5	0x4cd98c531ab3ab77	1	0x84714ddca7d0d6f3	0x84714ddca7d0d6f3	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
352	5	dense_1x1_k32	7744	32	32	452.69883	461.33065	468.82194	17.5168466859	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	582.38518	593.1644	595.80635	13.6161706587	exact-existing-m8n16-route	full-conv-selected-e2c5	28.647379097	4	3.73083	3.792	4.00792	1.09787902424	exact-current-m4-tail-route	full-conv-selected-e2c5	0xb69de2687fe1a062	1	0x225f05d5c86632f3	0x225f05d5c86632f3	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	206	dense_1x1_n80_k256	100	80	256	46.17485	47.8411	50.23892	44.3531489545	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	60.4249	62.30105	64.871	33.8933121941	exact-existing-m8n16-route	full-conv-selected-e2c5	30.861063977	4	12.06059	12.46205	12.75184	6.79237085416	exact-current-m4-tail-route	full-conv-selected-e2c5	0x4511ec34e71e93e5	1	0xbe9b5e559a8f844c	0xbe9b5e559a8f844c	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	201	dense_3x3s1_k2304	100	16	2304	203.54849	215.37295	221.61659	18.1106723022	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	198.71029	204.46175	210.59634	18.5516311209	exact-existing-m8n16-route	full-conv-selected-e2c5	-2.376927483	4	48.32841	48.58805	56.5655	3.05112458697	exact-current-m4-tail-route	full-conv-selected-e2c5	0x447b400843d45cfa	1	0x3c34ad9e83812d31	0x3c34ad9e83812d31	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	161	dense_3x3s1_k1152	400	16	1152	346.73232	354.1386	370.03896	21.2636652966	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	357.41897	369.21315	370.64058	20.6278922465	exact-existing-m8n16-route	full-conv-selected-e2c5	3.082103797	4	25.07494	25.67415	25.87883	2.94030613832	exact-current-m4-tail-route	full-conv-selected-e2c5	0x7d6c1bc81e4d7ea9	1	0x5a847801143b480	0x5a847801143b480	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	144	dense_1x1_n80_k80	1600	80	80	321.12259	330.4526	355.44944	31.8881334384	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	366.74872	377.1499	384.27451	27.9210245096	exact-existing-m8n16-route	full-conv-selected-e2c5	14.208321501	4	6.6128	6.751	6.96117	3.87127994193	exact-current-m4-tail-route	full-conv-selected-e2c5	0x3960a15efc4cb65e	1	0x7e5d9be0afdca6d7	0x7e5d9be0afdca6d7	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	133	dense_1x1_n80_k64	1600	80	64	293.96419	304.0767	306.48591	27.8673398961	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	338.95724	348.8549	351.38759	24.1682402181	exact-existing-m8n16-route	full-conv-selected-e2c5	15.305622770	4	6.28073	6.376	6.3785	3.26076745856	exact-current-m4-tail-route	full-conv-selected-e2c5	0x35a11b4b0bbb6d35	1	0x6e81db9812993e8f	0x6e81db9812993e8f	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	124	dense_1x1_k96	1600	64	96	278.93486	289.50035	291.95876	35.2426369368	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	321.06311	343.62335	371.38148	30.6182793782	exact-existing-m8n16-route	full-conv-selected-e2c5	15.103257442	4	6.17661	6.251	6.376	3.97888161953	exact-current-m4-tail-route	full-conv-selected-e2c5	0x204190c9eb4d0f37	1	0x94718b6a6490920b	0x94718b6a6490920b	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	12	dense_1x1_k48	6400	64	48	902.22732	918.015	921.77884	21.7914039668	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	1174.1772	1199.8112	1213.31901	16.7443210446	exact-existing-m8n16-route	full-conv-selected-e2c5	30.142057769	4	5.57558	5.62805	6.00142	2.20389627626	exact-current-m4-tail-route	full-conv-selected-e2c5	0x4cd98c531ab3ab77	1	0x7188cd7b1b104943	0x7188cd7b1b104943	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
320	5	dense_1x1_k32	6400	32	32	377.44301	386.85575	404.1175	17.3631510622	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	485.17541	495.9466	505.14728	13.5076919912	exact-existing-m8n16-route	full-conv-selected-e2c5	28.542693107	4	3.73295	3.79505	3.97025	1.09725552177	exact-current-m4-tail-route	full-conv-selected-e2c5	0xb69de2687fe1a062	1	0x1b894e1bfe1ea783	0x1b894e1bfe1ea783	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
