resolution	surface	wake_policy	route	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	pure_model_fps	process_cpu_mean_us	voluntary_context_switches	involuntary_context_switches	affinity_failures	cpu4_7_ime_count	mean_thermal_c	max_thermal_c	min_cpu0_4_khz	max_cpu0_4_khz	output_hash	manifest_sha256	source_files	status
512	preprocessed	frame-gated-spin	selected-m12n16	10000	101435.318844	3919.882790	3.864416	100853.937000	101175.778600	101327.711200	130922.899730	132127.313350	132743.850000	9.858499105	498910.640100	0	5422	0	0	64.514851	66.750000	1600000	1600000	0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	r512.raw.tsv	pass
384	preprocessed	frame-gated-spin	selected-m12n16	10000	48014.866157	2468.408629	5.140926	47740.782500	47873.524300	47932.396100	59929.902790	78462.473455	78733.062000	20.826883006	232162.056000	0	2629	0	0	66.664062	67.750000	1600000	1600000	0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	r384.raw.tsv	pass
