resolution	quantization_arm	mac_count	arena_bytes	peak_live_bytes	max_activation_bytes	conv_operations_with_M12_tail	pure_model_mean_us	pure_model_p95_us	pure_model_p99_us	pure_model_fps	map50_95	map50	ap_small	ap_medium	ap_large	accuracy_loss_vs_r640_ap	strong_no_training_gate	latency_accuracy_gate	near_20fps_diagnostic_only	camera_candidate_status	pareto_nondominated
640	Q0	2740153600	8192000	4915200	3276800	102	133012.150460	133540.565550	133903.708940	7.518110162	0.3707408944391919	0.5258465300872381	0.18397294626227842	0.4142627352606523	0.5440433811804918	0.000000000	fail	fail	0	pending-finalist-selection	1
512	Q0	1739542528	5242880	3145728	2097152	102	99057.581572	99421.211700	99615.817760	10.095138445	0.3476299151441793	0.4975201369764709	0.14925894098967007	0.3829229645414579	0.5525085385793385	2.311097930	fail	fail	0	pending-finalist-selection	1
448	Q0	1327321408	4014080	2408448	1605632	102	169388.555060	169621.591600	169763.097600	5.903586577	0.3326268374284744	0.47817009659911774	0.12977815623857544	0.35561989352322554	0.5534568116922033	3.811405701	fail	fail	0	pending-finalist-selection	0
416	Q0	1142723920	3461120	2076672	1384448	102	132060.275730	132235.545000	133578.607520	7.572299804	0.3177885443218799	0.46051332906334086	0.11219408765734837	0.33865496511246534	0.542039872197991	5.295235012	fail	fail	0	pending-finalist-selection	0
384	Q0	972299520	2949120	1769472	1179648	0	47388.843746	47557.272000	48177.132100	21.102013068	0.30653706800300873	0.4451077044847759	0.10354891079337578	0.32207937822355204	0.5342923225156221	6.420382644	fail	fail	1	pending-finalist-selection	1
352	Q0	815933008	2478080	1486848	991232	102	79713.709900	79857.813100	79932.815530	12.544893485	0.2897094352155952	0.42450716941974004	0.08700004662241397	0.29932140295291215	0.5224833775820967	8.103145922	fail	fail	0	pending-finalist-selection	0
320	Q0	673518400	2048000	1228800	819200	102	60898.329450	61029.579750	61104.556720	16.420811688	0.27626866258857724	0.4060238887996005	0.07247509315467363	0.27502537118011433	0.5101562738163617	9.447223185	fail	fail	0	pending-finalist-selection	0
256	Q0	430167040	1310720	786432	524288	102	24317.202768	24402.692200	24459.394170	41.123150945	0.23126191979672112	0.34818497145034605	0.041040272230783985	0.2134863852122977	0.45922413941195445	13.947897464	fail	fail	1	pending-finalist-selection	1
