resolution	surface	wake_policy	route	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	pure_model_fps	process_cpu_mean_us	voluntary_context_switches	involuntary_context_switches	affinity_failures	cpu4_7_ime_count	mean_thermal_c	max_thermal_c	min_cpu0_4_khz	max_cpu0_4_khz	output_hash	manifest_sha256	source_files	status
640	preprocessed	frame-gated-spin	selected-m12n16	500	133587.452278	331.025920	0.247797	133585.371500	133969.014800	134098.167450	134440.645020		135841.798000	7.485733001	660532.826000	0	196	0	0					0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	r640_vs_r384.tsv	pass
384	preprocessed	frame-gated-spin	selected-m12n16	500	47729.299638	149.931924	0.314130	47699.385000	47895.926300	47978.531400	48135.431260		49431.855000	20.951491172	232344.060000	0	119	0	0					0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	r640_vs_r384.tsv	pass
