resolution	surface	wake_policy	route	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	pure_model_fps	process_cpu_mean_us	voluntary_context_switches	involuntary_context_switches	affinity_failures	cpu4_7_ime_count	mean_thermal_c	max_thermal_c	min_cpu0_4_khz	max_cpu0_4_khz	output_hash	manifest_sha256	source_files	status
640	preprocessed	frame-gated-spin	selected-m12n16	500	133523.575892	289.032037	0.216465	133511.221000	133873.372000	133966.541950	134350.084910		134936.813000	7.489314103	660381.380000	0	225	0	0					0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	r640_vs_r512.tsv	pass
512	preprocessed	frame-gated-spin	selected-m12n16	500	100445.928932	288.951358	0.287669	100429.577500	100758.305600	100883.635350	101149.293670		102635.598000	9.955605077	494643.614000	0	169	0	0					0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	r640_vs_r512.tsv	pass
