candidate	thread_branch0	thread_branch1	thread_model4_cv2	mean_total_us	stddev_total_us	cv_pct	mean_conv_us	branch0_conv_us	branch1_conv_us	model4_cv2_conv_us	activation_requant_us	merge_us	output_quantize_us	mismatches	max_abs_diff	checksum	affinity_ok	speedup_vs_stage24_replay
C0_stage24_replay	4	0	0	125176	69.4332	0.0554683	62070.3	6529.83	18189.1	37351.4	32592.5	20961.5	6945.9	0	0	106597930	1	1.0000
C1_branch1_0	4	0	0	124745	86.1097	0.0690285	61708	6279.8	17902.8	37525.4	32615.5	20992.7	6844.23	0	0	106597930	1	1.0035
C1_branch1_1	4	1	0	125092	146.869	0.117408	61983.3	6114.53	18318.1	37550.7	32677.4	21009.3	6845.27	0	0	106597930	1	1.0007
C1_branch1_2	4	2	0	116480	69.2975	0.0594928	53401.3	6154.73	9710.02	37536.5	32676.7	21000	6838.43	0	0	106597930	1	1.0747
C1_branch1_3	4	3	0	113855	321.074	0.282002	50654.2	6307.4	6727.26	37619.5	32747.4	21014.2	6849.92	0	0	106597930	1	1.0994
C1_branch1_4	4	4	0	113889	330.951	0.29059	50699.7	7096.7	6059.11	37543.9	32699.5	21018.6	6853.23	0	0	106597930	1	1.0991
C1_model4_cv2_0	4	4	0	113729	344.653	0.303047	50799.7	6948.02	6306.44	37545.2	32820.9	20986.1	6470.97	0	0	106597930	1	1.1007
C1_model4_cv2_1	4	4	1	114918	60.5363	0.0526776	51915.2	6427.24	6000.33	39487.6	32753.9	21016.3	6599.65	0	0	106597930	1	1.0893
C1_model4_cv2_2	4	4	2	96831.6	516.542	0.533444	33835.2	6377.68	6690.95	20766.6	32751.2	20971.7	6618.04	0	0	106597930	1	1.2927
C1_model4_cv2_3	4	4	3	91537.1	128.504	0.140385	28477.9	6650.12	7499.13	14328.6	32812.8	21010.5	6614.48	0	0	106597930	1	1.3675
C1_model4_cv2_4	4	4	4	89346.1	202.251	0.226368	26311.7	7824.54	6387.97	12099.2	32784.2	21005.8	6604.14	0	0	106597930	1	1.4009
C1_selected_frm_sweep	4	4	4	89178.9	268.184	0.300726	26164.1	7830.04	6296.98	12037.1	32800.7	20964.3	6579.45	0	0	106597930	1	1.4037
