resolution	surface	wake_policy	route	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	fps	process_cpu_mean_us	input_us_mean	resident_core_us_mean	dense_us_mean	attention_us_mean	depthwise_us_mean	lut_us_mean	concat_us_mean	transform_us_mean	head_us_mean	voluntary_context_switches	involuntary_context_switches	affinity_failures	cpu4_7_ime_count	mean_thermal_c	max_thermal_c	min_cpu0_4_khz	max_cpu0_4_khz	boot_id	output_hash	manifest_sha256	surface_definition	status	source_file
640	preprocessed	frame-gated-spin	exact-attention-ntail-selected	10000	131678.166447	4651.816087	3.532716	130885.247500	131272.639100	131490.285850	161464.735700	162739.455598	164047.694000	7.594273424	649940.143800	2161.991137	19529.852441	67719.433263	10436.991709	15950.947629	6977.811544	3688.415674	2537.010491	2589.944493	0	9442	0	0	63.889313	66.750000	1600000	1600000	recorded-in-system-state	0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	fixed-preprocessed-f32-pure-model	pass	r640.raw.tsv
768	preprocessed	frame-gated-spin	exact-attention-ntail-selected	10000	203329.101017	5856.510313	2.880311	202090.842500	202896.838300	205464.349000	233650.754560	235471.999351	237360.705000	4.918135156	1007706.977400	3097.446547	27786.794517	108970.636444	18788.341878	22947.969585	9798.304323	5331.697963	3610.099122	2906.179827	0	11627	0	0	66.459057	68.000000	1600000	1600000	recorded-in-system-state	0x5bf0d5aca2066844	3fd4d004e92c4238c69c2d07bc1eedcee92c1968984f17d2b796b7bf01b4e0be	fixed-preprocessed-f32-pure-model	pass	r768.raw.tsv
448	preprocessed	frame-gated-spin	exact-attention-ntail-selected	10000	64460.576978	3083.169849	4.783032	64070.476500	64228.094100	64327.551950	83395.819040	94922.228256	96491.639000	15.513357883	314260.114800	1075.414331	10320.408251	33175.466198	3408.435932	7824.586462	3392.212584	1876.875249	1265.823339	2042.898180	0	3975	0	0	66.416667	67.500000	1600000	1600000	recorded-in-system-state	0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	fixed-preprocessed-f32-pure-model	pass	r448.raw.tsv
416	preprocessed	frame-gated-spin	exact-attention-ntail-selected	10000	55873.209493	2602.665037	4.658163	55554.161500	55690.909200	55761.010500	70167.639040	86200.656123	86505.799000	17.897665251	271447.312600	927.408267	9095.966354	28626.068178	2720.293101	6748.793156	3018.331886	1632.868018	1092.132261	1941.980917	0	3115	0	0	66.209821	67.000000	1600000	1600000	recorded-in-system-state	0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	fixed-preprocessed-f32-pure-model	pass	r416.raw.tsv
352	preprocessed	frame-gated-spin	exact-attention-ntail-selected	10000	40901.516386	2212.267596	5.408767	40666.138500	40779.231200	40837.105050	49072.633060	71119.356849	71598.764000	24.448971294	196576.282100	667.374685	6880.960677	20756.827799	1659.861809	4820.476974	2225.526720	1185.741669	808.923200	1826.444696	0	2271	0	0	65.911585	67.250000	1600000	1600000	recorded-in-system-state	0x55df0621e45efffd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	fixed-preprocessed-f32-pure-model	pass	r352.raw.tsv
320	preprocessed	frame-gated-spin	exact-attention-ntail-selected	10000	34287.235396	1879.719438	5.482272	34099.557000	34192.935100	34237.403200	37908.578740	60377.105127	64312.138000	29.165372724	163596.642400	557.388925	5938.926887	17234.796890	1249.749201	3973.900056	1879.088095	952.208378	675.211053	1761.775115	0	1912	0	0	66.047101	67.250000	1600000	1600000	recorded-in-system-state	0xe4428b424e5583f9	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	fixed-preprocessed-f32-pure-model	pass	r320.raw.tsv
