artifact	generation_a_sha256	generation_b_sha256	promoted_sha256	byte_identical
static-graph	3bb1695a5506b9e0c15ce4c511c30d3006db212c7c0c4ff5fb2c289183edfc8b	3bb1695a5506b9e0c15ce4c511c30d3006db212c7c0c4ff5fb2c289183edfc8b	3bb1695a5506b9e0c15ce4c511c30d3006db212c7c0c4ff5fb2c289183edfc8b	pass
full-package-tree	570ce24717da1f013dde3a21c65ada5dd5aacf93af9ef2c0a6f338e7c5b31612	570ce24717da1f013dde3a21c65ada5dd5aacf93af9ef2c0a6f338e7c5b31612	570ce24717da1f013dde3a21c65ada5dd5aacf93af9ef2c0a6f338e7c5b31612	pass
