resolution	surface	wake_policy	route	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	fps	process_cpu_mean_us	input_us_mean	resident_core_us_mean	dense_us_mean	attention_us_mean	depthwise_us_mean	lut_us_mean	concat_us_mean	transform_us_mean	head_us_mean	voluntary_context_switches	involuntary_context_switches	affinity_failures	cpu4_7_ime_count	mean_thermal_c	max_thermal_c	min_cpu0_4_khz	max_cpu0_4_khz	boot_id	output_hash	manifest_sha256	surface_definition	status
640	preprocessed	frame-gated-spin	exact-attention-ntail-selected	500	131154.725214	289.229570	0.220525	131139.177000	131435.130800	131555.020000	132203.218480		134153.618000	7.624582327	648047.138000	2155.250562	19333.201246	67403.472052	10456.968600	15832.467470	6996.216522	3749.630072	2514.602856	2628.671730	0	408	0	0	56.500000	60.000000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	fixed-preprocessed-f32-pure-model	pass
640	rgb	frame-gated-spin	exact-attention-ntail-selected	500	129519.726004	366.280702	0.282799	129477.460500	129824.275800	129936.667600	130512.380500		133273.999000	7.720831651	639834.710000	571.566330	19341.484296	67375.694724	10356.142654	15841.718044	7083.981236	3764.749960	2514.842242	2584.641286	0	400	0	0	61.125000	62.500000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	already-letterboxed-rgb8-executor-surface	pass
512	preprocessed	frame-gated-spin	exact-attention-ntail-selected	500	94117.311854	171.652999	0.182382	94110.108500	94305.834100	94383.503000	94517.274810		95249.227000	10.625037842	463178.834000	1388.985274	13209.090592	53121.077584	5064.226410	10105.354030	4555.631746	2651.576744	1615.544848	2330.334038	0	290	0	0	62.750000	63.500000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	fixed-preprocessed-f32-pure-model	pass
512	rgb	frame-gated-spin	exact-attention-ntail-selected	500	91415.699540	469.480784	0.513567	91324.657500	91591.171600	91842.278500	93711.724340		95101.113000	10.939040067	449686.896000	349.937922	13135.033788	51500.858408	5081.529812	10122.444290	4575.731348	2644.159834	1619.173518	2306.914928	0	335	0	0	63.500000	64.500000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	already-letterboxed-rgb8-executor-surface	pass
448	preprocessed	frame-gated-spin	exact-attention-ntail-selected	500	64265.502476	136.837001	0.212925	64249.605500	64390.427900	64450.519850	64698.860780		65628.683000	15.560447853	313701.446000	1079.812208	10278.136108	32986.354150	3404.714288	7765.401114	3423.614366	1911.312150	1250.123736	2093.253338	0	172	0	0	64.125000	64.500000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	fixed-preprocessed-f32-pure-model	pass
448	rgb	frame-gated-spin	exact-attention-ntail-selected	500	63375.641250	211.733066	0.334092	63343.914000	63508.455000	63588.784400	64565.279750		65460.480000	15.778933046	309437.352000	293.012048	10263.003502	32942.376462	3379.094126	7768.549910	3419.070322	1922.859418	1257.173062	2055.042636	0	179	0	0	64.375000	64.750000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	already-letterboxed-rgb8-executor-surface	pass
416	preprocessed	frame-gated-spin	exact-attention-ntail-selected	500	55807.559404	258.450200	0.463110	55758.906500	55901.494100	56009.420850	57200.083510		57676.224000	17.918719447	271114.854000	935.780636	9107.369912	28504.787046	2713.886390	6700.571852	3009.087786	1692.130686	1083.389738	1991.220196	0	188	0	0	64.875000	65.250000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	fixed-preprocessed-f32-pure-model	pass
416	rgb	frame-gated-spin	exact-attention-ntail-selected	500	55056.157226	241.922513	0.439410	55014.546500	55188.111500	55342.559100	56270.231840		57043.844000	18.163272745	267577.770000	248.951162	9041.050690	28499.531390	2711.264388	6696.644860	3035.080312	1689.696064	1087.873016	1975.280860	0	187	0	0	65.375000	66.000000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	already-letterboxed-rgb8-executor-surface	pass
384	preprocessed	frame-gated-spin	exact-attention-ntail-selected	500	47379.986386	99.078462	0.209115	47371.541000	47475.390600	47509.009250	47809.790670		48057.444000	21.105957943	229266.056000	791.889128	7546.377860	24293.835342	2084.185528	5691.184692	2605.262344	1416.899046	934.596930	1945.800190	0	152	0	0	65.375000	65.500000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	fixed-preprocessed-f32-pure-model	pass
384	rgb	frame-gated-spin	exact-attention-ntail-selected	500	46751.668326	199.791081	0.427345	46725.368500	46854.531500	46922.885700	47747.075780		48567.994000	21.389611019	226015.830000	211.345688	7533.305830	24260.194452	2080.834430	5692.921394	2621.653146	1408.295018	935.645558	1938.036342	0	152	0	0	65.375000	65.500000	1600000	1600000	0a0691d1-7502-44c3-903b-444dba83c1d9	0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	already-letterboxed-rgb8-executor-surface	pass
