resolution	aligned_control	samples_per_arm	blocks_per_arm	control_mean_us	ntail_mean_us	delta_pct	paired_mean_difference_us	paired_95ci_low_us	paired_95ci_high_us	control_p95_us	ntail_p95_us	control_p99_us	ntail_p99_us	control_attention_mean_us	ntail_attention_mean_us	output_hash	hash_exact	selection_gate
640	1	1000	10	131410.638187	131427.777286	0.013042398421049768	17.139099000001444	-116.61685998681756	150.89505798682043	131874.2851	131930.8415	132083.37449	132170.10693	10365.87655	10369.158899	0xd43f5e018b415631	1	pass
512	1	1000	10	98972.904633	98920.99956499999	-0.0524437149667131	-51.90506800000294	-306.5399907571074	202.72985475710146	99547.9127	99450.4968	99777.7324	99687.81875999998	5074.2925319999995	5072.681860000001	0x41e92be60b116000	1	pass
384	1	1000	10	47228.310464	47252.611891	0.05145521142138334	24.30142699999851	-33.17969695981384	81.78255095981086	47404.15935	47416.080949999996	47496.03368	47602.88474000001	2080.617193	2082.365061	0x92e50a18b4333ef6	1	pass
256	1	1000	10	24228.092195999998	24230.457905000003	0.009764322262219752	2.3657090000007885	-12.73508373304114	17.466501733042715	24348.80075	24337.75825	24391.110090000002	24402.905690000003	641.978934	642.1851280000001	0x612dacf0a107e285	1	pass
