resolution	quantization_arm	mac_count	flop_count_2_per_mac	arena_bytes	peak_live_bytes	max_activation_bytes	conv_operations_with_M12_tail	pure_model_mean_us	pure_model_p95_us	pure_model_p99_us	pure_model_fps	map50_95	map50	ap_small	ap_medium	ap_large	accuracy_loss_vs_r640_ap	strong_no_training_gate	latency_accuracy_gate	near_20fps_diagnostic_only	camera_candidate_status	pareto_nondominated
640	Q0	2740153600	5480307200	8192000	4915200	3276800	102	131154.725214	131555.020000	132203.218480	7.624582327	0.3707408944391919	0.5258465300872381	0.18397294626227842	0.4142627352606523	0.5440433811804918	0.000000000	fail	fail	0	matched-r640-r768	1
512	Q0	1739542528	3479085056	5242880	3145728	2097152	102	94117.311854	94383.503000	94517.274810	10.625037842	0.3476299151441793	0.4975201369764709	0.14925894098967007	0.3829229645414579	0.5525085385793385	2.311097930	fail	fail	0	not-selected	1
448	Q0	1327321408	2654642816	4014080	2408448	1605632	102	64265.502476	64450.519850	64698.860780	15.560447853	0.3326268374284744	0.47817009659911774	0.12977815623857544	0.35561989352322554	0.5534568116922033	3.811405701	fail	fail	0	not-selected	1
416	Q0	1142723920	2285447840	3461120	2076672	1384448	102	55807.559404	56009.420850	57200.083510	17.918719447	0.3177885443218799	0.46051332906334086	0.11219408765734837	0.33865496511246534	0.542039872197991	5.295235012	fail	fail	0	not-selected	1
384	Q0	972299520	1944599040	2949120	1769472	1179648	0	47379.986386	47509.009250	47809.790670	21.105957943	0.30653706800300873	0.4451077044847759	0.10354891079337578	0.32207937822355204	0.5342923225156221	6.420382644	fail	fail	1	not-selected	1
352	Q0	815933008	1631866016	2478080	1486848	991232	102	40797.454510	40924.302400	41009.198920	24.511333170	0.2897094352155952	0.42450716941974004	0.08700004662241397	0.29932140295291215	0.5224833775820967	8.103145922	fail	fail	1	not-selected	1
320	Q0	673518400	1347036800	2048000	1228800	819200	102	34208.706940	34324.855400	34384.481260	29.232323857	0.27626866258857724	0.4060238887996005	0.07247509315467363	0.27502537118011433	0.5101562738163617	9.447223185	fail	fail	1	not-selected	1
256	Q0	430167040	860334080	1310720	786432	524288	102	24350.084592	24560.167900	25025.348780	41.067619138	0.23126191979672112	0.34818497145034605	0.041040272230783985	0.2134863852122977	0.45922413941195445	13.947897464	fail	fail	1	not-selected	1
768	Q0	3984749568	7969499136	11796480	7077888	4718592	0	197529.898732	198616.370550	199103.901370	5.062524744	0.37354959453260156	0.5336566342673928	0.20000174544619537	0.4312611919288488	0.5265916726022233	-0.280870009	fail	fail	0	matched-r640-r768	1
