branch	local_head	github_head	gitlab_head	status
yolo26-k1x-resolution-sweep	43c02b7051ddde9921a5348e4b4e8986b941212d	43c02b7051ddde9921a5348e4b4e8986b941212d	43c02b7051ddde9921a5348e4b4e8986b941212d	exact
yolo26-custom-int8-engine-maintenance-0.9.3	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	exact-read-only
yolo26-custom-int8-engine	175c1d939cc93fba0e730dba3f1281704e8f25b9	175c1d939cc93fba0e730dba3f1281704e8f25b9	175c1d939cc93fba0e730dba3f1281704e8f25b9	exact-read-only
