resolution	n4_count	n8_count	n16_count	padded_dead_columns	k_padding_lanes	scalar_fallback_count	output_hash	package_manifest_sha256	cpu4_7_ime_count
640	0	0	4000	0	0	0	0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	0
512	0	0	1792	0	0	0	0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	0
448	92	0	1104	0	96	0	0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	0
416	84	84	840	252	168	0	0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	0
384	0	0	648	0	0	0	0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	0
352	68	68	476	204	168	0	0x55df0621e45efffd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	0
320	60	0	360	0	96	0	0xe4428b424e5583f9	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	0
256	0	0	192	0	0	0	0x612dacf0a107e285	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	0
768	0	0	7776	0	0	0	0x5bf0d5aca2066844	3fd4d004e92c4238c69c2d07bc1eedcee92c1968984f17d2b796b7bf01b4e0be	0
