resolution	pipeline_kind	phase	samples	mean_us	stddev_us	cv_pct	minimum_us	median_us	p90_us	p95_us	p99_us	maximum_us	fps_from_mean	source_file
416	serial	jpeg_decode	500	23599.835938	54.6368600623	0.231513728341	23514.662	23589.9745	23643.9376	23666.4992	23916.849	24071.124	42.373175925	r416_serial.tsv
416	serial	resize_letterbox	500	2560.54092	31.9669602525	1.24844559221	2483.1	2565.3505	2598.477	2607.5114	2626.76241	2660.768	390.542479595	r416_serial.tsv
416	serial	color_convert	500	244.095172	16.5476057412	6.77916142528	224.084	240.252	245.4642	293.79815	311.49876	382.419	4096.762716798	r416_serial.tsv
416	serial	input_quantize_layout	500	227.311974	12.1281449391	5.33546241569	195.751	225.627	232.1302	258.4273	270.92858	314.294	4399.240314547	r416_serial.tsv
416	serial	pure_graph	500	55178.219348	576.405308757	1.04462470078	54789.293	55050.024	55250.7499	55836.63085	57957.09676	60142.371	18.123092985	r416_serial.tsv
416	serial	executor_total	500	55405.531322	577.787009031	1.04283271949	55016.795	55277.046	55477.1389	56073.4861	58178.83	60385.123	18.048739469	r416_serial.tsv
416	serial	output_decode	500	6.063692	0.287051385874	4.73393744066	5.5	6.041	6.458	6.54405	6.833	7.291	164916.028056834	r416_serial.tsv
416	serial	preloaded_image_pipeline	500	82291.256458	708.211883508	0.860616199085	81811.979	82143.5645	82356.4948	83045.16275	85039.3175	90014.702	12.151959309	r416_serial.tsv
416	double_buffer	preprocessor	500	26044.711196	286.997777263	1.101942637		26005.075	26141.3514	26208.40535	26628.69385	30238.708	38.395511184	r416_double_buffer.tsv
416	double_buffer	executor	500	60630.746868	1371.93712462	2.262774575		60325.915	61813.4924	63937.10245	66111.1145	66662.542	16.493281902	r416_double_buffer.tsv
416	double_buffer	pipeline_interval	500	61048.858822	1397.46900383	2.289099306		60719.9595	62303.142	64378.90975	66591.51443	67056.128	16.380322569	r416_double_buffer.tsv
384	serial	jpeg_decode	500	23595.001104	45.9885118032	0.194907860358	23513.663	23588.3085	23632.3591	23656.8265	23725.94359	24260.334	42.381858581	r384_serial.tsv
384	serial	resize_letterbox	500	2222.263284	30.5130094175	1.37306005266	2159.515	2222.911	2260.6323	2267.31715	2283.32083	2335.058	449.991685144	r384_serial.tsv
384	serial	color_convert	500	200.632802	14.5936690144	7.27382006776	182.668	197.127	201.3097	247.5871	257.84791	281.002	4984.229846922	r384_serial.tsv
384	serial	input_quantize_layout	500	182.949	10.6724055192	5.83354132531	159.668	181.043	185.2174	205.11115	228.94617	266.835	5466.004186959	r384_serial.tsv
384	serial	pure_graph	500	46881.351556	609.078851414	1.29919217599	46545.405	46760.8645	46928.2914	47251.80495	49898.80826	53244.91	21.330443061	r384_serial.tsv
384	serial	executor_total	500	47064.300556	609.801676965	1.29567776374	46727.615	46943.2625	47108.101	47431.3191	50076.91867	53441.162	21.247527068	r384_serial.tsv
384	serial	output_decode	500	5.96819	0.256327222882	4.29489045895	5.458	5.958	6.292	6.417	6.62541	6.833	167554.987357976	r384_serial.tsv
384	serial	preloaded_image_pipeline	500	73555.554858	719.276444807	0.977868287712	73158.422	73427.154	73622.1546	74031.77065	76516.80868	82061.068	13.595166292	r384_serial.tsv
384	double_buffer	preprocessor	500	25897.278304	1373.46563712	5.303513446		25720.345	25921.5765	26175.74385	31505.80571	50457.392	38.614096364	r384_double_buffer.tsv
384	double_buffer	executor	500	51830.794824	758.163388851	1.462766279		51782.443	52358.2639	52735.89935	54638.58601	57544.732	19.293549393	r384_double_buffer.tsv
384	double_buffer	pipeline_interval	500	52261.534976	844.841689783	1.616565013		52199.967	52777.6209	53312.45965	55580.59607	58615.865	19.134531744	r384_double_buffer.tsv
352	serial	jpeg_decode	500	23565.318554	36.308597449	0.154076412614	23486.955	23557.352	23612.2146	23638.0036	23677.27592	23849.333	42.435242185	r352_serial.tsv
352	serial	resize_letterbox	500	2049.684286	29.8162428622	1.4546749012	1991.348	2045.3475	2086.7269	2098.27025	2125.31109	2155.848	487.880014903	r352_serial.tsv
352	serial	color_convert	500	179.570938	10.8445648462	6.03915364423	164.543	177.3345	180.3392	186.793	236.34458	241.127	5568.829851521	r352_serial.tsv
352	serial	input_quantize_layout	500	159.43873	7.9875622616	5.00980048047	139.417	158.0015	161.7141	177.1204	197.50351	204.46	6272.001790280	r352_serial.tsv
352	serial	pure_graph	500	40572.56048	1148.79095642	2.83144801025	40050.779	40261.1125	40806.6965	43097.21285	45731.39059	49335.678	24.647199688	r352_serial.tsv
352	serial	executor_total	500	40731.99921	1149.25731177	2.82150970749	40207.655	40419.6975	40955.8856	43257.73435	45889.24634	49498.887	24.550722267	r352_serial.tsv
352	serial	output_decode	500	5.978558	0.254786858615	4.26167745825	5.458	5.9585	6.292	6.417	6.62542	7	167264.413927238	r352_serial.tsv
352	serial	preloaded_image_pipeline	500	66982.01356	1149.44539028	1.71605081601	66388.42	66670.6095	67210.9016	69469.6125	72079.89775	75793.778	14.929380991	r352_serial.tsv
352	double_buffer	preprocessor	500	25933.969208	1003.14057367	3.868056469		25782.6175	25953.1063	26062.8439	33346.84564	35028.952	38.559465849	r352_double_buffer.tsv
352	double_buffer	executor	500	45179.291058	599.440035166	1.326802659		45175.2525	45633.8222	45838.63665	47765.1352	48531.048	22.134034789	r352_double_buffer.tsv
352	double_buffer	pipeline_interval	500	45591.16411	620.231749933	1.360420954		45577.4225	46051.0044	46240.23485	48564.82358	49568.096	21.934074716	r352_double_buffer.tsv
320	serial	jpeg_decode	500	23494.097982	121.440016538	0.51689584606	23418.622	23478.602	23526.8602	23560.0914	23792.38651	25813.264	42.563881395	r320_serial.tsv
320	serial	resize_letterbox	500	1636.109874	29.4527295731	1.80016819415	1592.553	1624.9075	1674.6412	1680.68425	1697.93982	1786.845	611.205895088	r320_serial.tsv
320	serial	color_convert	500	143.657086	11.9385024599	8.31041669596	129.875	141.4385	144.5472	149.2204	199.92009	277.502	6961.021052592	r320_serial.tsv
320	serial	input_quantize_layout	500	124.459426	6.65165034417	5.34443276652	109.751	123.876	126.4632	127.60275	155.71583	209.627	8034.747002610	r320_serial.tsv
320	serial	pure_graph	500	34138.00369	2564.52261937	7.51222198774	33673.693	33861.1535	34041.509	34333.7778	38396.8519	84234.754	29.292866949	r320_serial.tsv
320	serial	executor_total	500	34262.463116	2565.9028044	7.48896188727	33799.944	33985.279	34164.0721	34458.9285	38532.99957	84358.922	29.186459730	r320_serial.tsv
320	serial	output_decode	500	6.277918	1.41593078335	22.5541458705	5.541	6.167	6.625	6.75	7.08482	37.083	159288.477485689	r320_serial.tsv
320	serial	preloaded_image_pipeline	500	60007.66113	2649.45401395	4.4151929338	59485.041	59701.6465	59875.8728	60432.20155	65211.0753	110220.395	16.664538847	r320_serial.tsv
320	double_buffer	preprocessor	500	25201.152796	169.584549104	0.672923776		25173.3225	25254.5479	25328.4464	25763.04767	28227.239	39.680724453	r320_double_buffer.tsv
320	double_buffer	executor	500	38797.455522	592.85294301	1.528071713		38864.439	39261.3542	39399.17365	40635.93417	42128.503	25.774886176	r320_double_buffer.tsv
320	double_buffer	pipeline_interval	500	39213.711464	639.196586489	1.630033380		39276.859	39673.6363	39797.51135	41050.2927	44811.23	25.501284185	r320_double_buffer.tsv
256	serial	jpeg_decode	500	23532.318202	32.7851795027	0.139319803605	23452.872	23527.498	23565.924	23591.65075	23627.64701	23839.543	42.494750896	r256_serial.tsv
256	serial	resize_letterbox	500	1338.769306	26.8836498933	2.00808681323	1285.384	1329.822	1378.5593	1386.15375	1403.94842	1461.636	746.954681078	r256_serial.tsv
256	serial	color_convert	500	95.589516	6.39695076328	6.69210498281	88.626	95.001	96.9632	97.71315	143.50767	158.917	10461.398298115	r256_serial.tsv
256	serial	input_quantize_layout	500	86.713428	6.81048670236	7.85401622268	75.834	85.876	88.1301	89.0441	118.62834	163.085	11532.239274406	r256_serial.tsv
256	serial	pure_graph	500	23901.521174	231.233216968	0.96744142469	23708.583	23869.9385	23965.0011	24002.29515	24968.61353	26450.935	41.838341280	r256_serial.tsv
256	serial	executor_total	500	23988.234602	230.91966933	0.962637197617	23820.459	23956.189	24046.9648	24088.5791	25054.47703	26537.769	41.687102723	r256_serial.tsv
256	serial	output_decode	500	5.95931	0.254587524272	4.2720973447	5.458	5.917	6.2961	6.458	6.62583	7.166	167804.661949118	r256_serial.tsv
256	serial	preloaded_image_pipeline	500	49398.997524	235.518663988	0.476768104199	49148.886	49365.492	49487.931	49541.9682	50471.76519	51885.115	20.243325778	r256_serial.tsv
256	double_buffer	preprocessor	500	25074.496402	1100.15512293	4.387546235		24913.759	25167.5609	25646.8262	27718.54084	45407.236	39.881159883	r256_double_buffer.tsv
256	double_buffer	executor	500	28379.412116	2559.13132962	9.017562870		28449.8045	31447.3839	32089.70065	35280.73655	38483.688	35.236811669	r256_double_buffer.tsv
256	double_buffer	pipeline_interval	500	29508.232034	2628.26499284	8.906887372		29177.768	32146.0721	32935.56825	36257.76162	56380.272	33.888848334	r256_double_buffer.tsv
768	serial	jpeg_decode	500	23498.56513	45.6961216512	0.194463455102	23417.98	23492.016	23526.5357	23549.93435	23595.66942	24117.744	42.555789873	r768_serial.tsv
768	serial	resize_letterbox	500	7002.426306	30.24804007	0.431965132487	6903.442	7001.834	7037.3361	7046.14125	7082.17212	7155.525	142.807643565	r768_serial.tsv
768	serial	color_convert	500	719.638406	24.6670824555	3.42770511549	674.303	710.8035	766.7868	776.564	793.06621	863.142	1389.586758659	r768_serial.tsv
768	serial	input_quantize_layout	500	719.919764	22.6303802676	3.14345867405	633.505	715.1365	756.012	766.10845	780.06047	832.515	1389.043682373	r768_serial.tsv
768	serial	pure_graph	500	195589.88591	2262.86760437	1.15694510165	193574.829	194966.771	197779.9611	199096.07	205398.19182	214251.639	5.112738807	r768_serial.tsv
768	serial	executor_total	500	196309.805674	2266.93382909	1.15477360965	194310.965	195681.8005	198497.7081	199815.05745	206230.32012	215040.359	5.093989047	r768_serial.tsv
768	serial	output_decode	500	6.597122	1.69389949232	25.6763402636	5.667	6.501	6.9631	7.08605	7.41742	43.587	151581.250126949	r768_serial.tsv
768	serial	preloaded_image_pipeline	500	228015.086746	2292.25737774	1.0053095216	226003.896	227384.029	230191.4073	231483.53985	238073.74922	246827.31	4.385674712	r768_serial.tsv
768	double_buffer	preprocessor	500	30225.972098	1458.50096658	4.825323605		29953.9965	30659.4193	30887.6477	36628.6533	54147.368	33.084130322	r768_double_buffer.tsv
768	double_buffer	executor	500	199750.529938	1811.40724078	0.906834761		199622.3325	201795.5855	202948.2545	206332.85413	210744.066	5.006244541	r768_double_buffer.tsv
768	double_buffer	pipeline_interval	500	200166.840968	1814.81976796	0.906653549		200039.0595	202226.1657	203356.81495	206772.17205	211201.76	4.995832452	r768_double_buffer.tsv
