release	branch	head	abi	soversion	stage61_mutation
0.9.3	yolo26-custom-int8-engine-maintenance-0.9.3	d0e3611c8d99dfade049bd261cb557509222a456	1	1	none
0.9.2-frozen	yolo26-custom-int8-engine	175c1d939cc93fba0e730dba3f1281704e8f25b9	1	1	none
