camera_mode	resolution	arm	metric_schema_version	camera_requested	camera_effective_format	backend_reported_fps	capture_backend	opencv_threads	profile	flow	raw_v4l2_dequeued_compressed_buffer_fps_reference	measured_seconds	processed_frames	captured_decoded_frames	opencv_decoded_frame_fps	processed_displayed_fps	application_slot_replacements	application_slot_replacement_pct	consumer_loop_mean_ms	consumer_loop_p95_ms	consumer_loop_p99_ms	read_return_to_display_call_mean_ms	read_return_to_display_call_p95_ms	inference_mean_ms	inference_p95_ms	preprocess_mean_ms	render_mean_ms	display_mean_ms	mean_thermal_c	max_thermal_c	min_cpu0_4_khz	surface_definition	source_file
640x480	640	run1	2		640x480@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001553592	180.139475	1253	2703	15.005039845	6.955721393	1450	53.644099149	143.644561	146.252498	150.379312	176.925136	207.400463	130.654962	133.312095	2.047088	2.424728	7.883728	60.881579	64.250000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r640-run1.metrics.tsv
640x480	640	run2	2		640x480@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001553592	180.057550	1254	2699	14.989651940	6.964439990	1445	53.538347536	143.463204	146.481669	151.228303	176.952640	207.107057	130.501132	133.338921	2.062572	2.452235	7.811959	66.414474	67.500000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r640-run2.metrics.tsv
640x480	640	run3	2		640x480@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001553592	180.045668	1252	2699	14.990641183	6.953791316	1447	53.612449055	143.684540	147.119627	152.237197	176.854215	207.441145	130.770601	134.035913	2.049640	2.438298	7.788140	66.848684	68.500000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r640-run3.metrics.tsv
640x480	768	run1	2		640x480@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001553592	180.200679	825	2703	14.999943513	4.578229152	1878	69.478357381	218.293441	221.906482	228.945412	251.896026	281.777770	198.353028	201.522995	9.188136	2.515290	7.668754	64.328947	66.250000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r768-run1.metrics.tsv
640x480	768	run2	2		640x480@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001553592	180.092435	827	2701	14.997853769	4.592086289	1874	69.381710478	217.633080	221.779980	228.947780	251.185820	280.999945	197.614333	201.137043	9.126329	2.531621	7.792369	65.782895	67.000000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r768-run2.metrics.tsv
640x480	768	run3	2		640x480@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001553592	180.049317	818	2700	14.995891401	4.543199691	1882	69.703703704	219.981132	223.230067	231.356604	253.401338	283.362750	199.942632	202.911994	9.132852	2.518911	7.821748	66.881579	68.250000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r768-run3.metrics.tsv
1280x720	640	run1	2		1280x720@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001549595	180.048862	1134	1800	9.997286197	6.298290304	666	37.000000000	158.652972	161.665266	164.746595	209.094468	253.752269	130.935764	133.575245	6.823305	3.553390	16.665589	66.032895	67.750000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r640-run1.metrics.tsv
1280x720	640	run2	2		1280x720@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001549595	180.083807	1132	1801	10.000899168	6.285962164	669	37.146029983	158.956406	161.855253	167.113618	209.236870	253.678571	131.025410	133.765227	6.731277	3.705996	16.794130	67.855263	69.000000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r640-run2.metrics.tsv
1280x720	640	run3	2		1280x720@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001549595	180.022056	1132	1800	9.998774810	6.288118380	668	37.111111111	158.908776	163.064496	168.373226	209.840312	254.151502	130.894521	134.352675	6.869941	3.678266	16.804444	67.776316	69.250000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r640-run3.metrics.tsv
1280x720	768	run1	2		1280x720@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001549595	180.086042	782	1801	10.000775085	4.342368749	1019	56.579677957	230.170629	235.390954	242.797093	280.392088	325.634988	200.507960	205.049763	9.245005	3.558019	16.239064	67.394737	69.000000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r768-run1.metrics.tsv
1280x720	768	run2	2		1280x720@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001549595	180.153829	790	1801	9.997012058	4.385141325	1011	56.135480289	227.925158	231.150732	240.069036	277.675066	323.547010	198.060282	200.788242	9.385090	3.609844	16.243437	67.855263	68.750000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r768-run2.metrics.tsv
1280x720	768	run3	2		1280x720@60.000 MJPG	60.000000	V4L2	1	low-latency	latest-frame	30.001549595	180.108882	785	1800	9.993954653	4.358474668	1015	56.388888889	229.319409	232.603515	240.477743	279.418994	324.934749	199.209424	202.455357	9.264625	3.558827	16.647824	68.144737	69.500000	1600000	decoded-read-return-to-GUI-display-call; not sensor-to-screen	r768-run3.metrics.tsv
