resolution	operation_index	name	batch_heads	M	N	K	left_tensor_id	right_tensor_id	output_tensor_id	left_zero_point	right_zero_point	output_zero_point	stage60_ime_eligible	stage60_route	stage61_route	right_sum_asset	packing_route	epilogue
640	76	/model.10/m/m.0/attn/MatMul	2	400	400	32	70	68	72	128	126	122	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
640	79	/model.10/m/m.0/attn/MatMul_1	2	64	400	400	69	74	75	121	0	126	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
640	187	/model.22/m.0/m.0.1/attn/MatMul	2	400	400	32	177	175	179	130	131	109	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
640	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	400	400	176	181	182	111	0	118	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
512	76	/model.10/m/m.0/attn/MatMul	2	256	256	32	70	68	72	128	126	122	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
512	79	/model.10/m/m.0/attn/MatMul_1	2	64	256	256	69	74	75	121	0	126	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
512	187	/model.22/m.0/m.0.1/attn/MatMul	2	256	256	32	177	175	179	130	131	109	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
512	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	256	256	176	181	182	111	0	118	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
448	76	/model.10/m/m.0/attn/MatMul	2	196	196	32	70	68	72	128	126	122	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
448	79	/model.10/m/m.0/attn/MatMul_1	2	64	196	196	69	74	75	121	0	126	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
448	187	/model.22/m.0/m.0.1/attn/MatMul	2	196	196	32	177	175	179	130	131	109	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
448	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	196	196	176	181	182	111	0	118	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
416	76	/model.10/m/m.0/attn/MatMul	2	169	169	32	70	68	72	128	126	122	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
416	79	/model.10/m/m.0/attn/MatMul_1	2	64	169	169	69	74	75	121	0	126	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
