n	k	m	mode	strategy	output_hash	kernel_calls	padded_k_lanes	padded_n_columns	status
14	1	2	0	n8n8	0xcc98cbd4069aa61a	2	7	2	pass
14	1	2	0	n16	0xcc98cbd4069aa61a	1	7	2	pass
14	1	2	1	n8n8	0x736b6d9c041e1367	2	7	2	pass
14	1	2	1	n16	0x736b6d9c041e1367	1	7	2	pass
14	1	2	2	n8n8	0x7a127d51055a95f9	2	7	2	pass
14	1	2	2	n16	0x7a127d51055a95f9	1	7	2	pass
15	7	3	0	n8n8	0x975560f730ccc618	2	1	1	pass
15	7	3	0	n16	0x975560f730ccc618	1	1	1	pass
15	7	3	1	n8n8	0x8fd14296ceb40a9c	2	1	1	pass
15	7	3	1	n16	0x8fd14296ceb40a9c	1	1	1	pass
15	7	3	2	n8n8	0x0d7a3c863ddff5a3	2	1	1	pass
15	7	3	2	n16	0x0d7a3c863ddff5a3	1	1	1	pass
16	8	4	0	n8n8	0x2a267e7a66596976	1	0	0	pass
16	8	4	0	n16	0x2a267e7a66596976	1	0	0	pass
16	8	4	1	n8n8	0xaf409b4e5f87dd83	1	0	0	pass
16	8	4	1	n16	0xaf409b4e5f87dd83	1	0	0	pass
16	8	4	2	n8n8	0x8fc254a229301ae7	1	0	0	pass
16	8	4	2	n16	0x8fc254a229301ae7	1	0	0	pass
17	9	5	0	n8n8	0x040f238a73ce16cb	2	7	3	pass
17	9	5	0	n16	0x040f238a73ce16cb	2	7	3	pass
17	9	5	1	n8n8	0x113992b1e07be34c	2	7	3	pass
17	9	5	1	n16	0x113992b1e07be34c	2	7	3	pass
17	9	5	2	n8n8	0x3888c6f7567e515c	2	7	3	pass
17	9	5	2	n16	0x3888c6f7567e515c	2	7	3	pass
18	15	6	0	n8n8	0x053844f87f0c8474	2	1	2	pass
18	15	6	0	n16	0x053844f87f0c8474	2	1	2	pass
18	15	6	1	n8n8	0x0d681bc48b28354d	2	1	2	pass
18	15	6	1	n16	0x0d681bc48b28354d	2	1	2	pass
18	15	6	2	n8n8	0xd23980875632d45f	2	1	2	pass
18	15	6	2	n16	0xd23980875632d45f	2	1	2	pass
19	16	7	0	n8n8	0x7155e89babfda01d	2	0	1	pass
19	16	7	0	n16	0x7155e89babfda01d	2	0	1	pass
19	16	7	1	n8n8	0x2713af63d45acaec	2	0	1	pass
19	16	7	1	n16	0x2713af63d45acaec	2	0	1	pass
19	16	7	2	n8n8	0x1ca90c2cd34282e4	2	0	1	pass
19	16	7	2	n16	0x1ca90c2cd34282e4	2	0	1	pass
20	17	8	0	n8n8	0xafa920ca2c961291	2	7	0	pass
20	17	8	0	n16	0xafa920ca2c961291	2	7	0	pass
20	17	8	1	n8n8	0xc2f7c84366c56a83	2	7	0	pass
20	17	8	1	n16	0xc2f7c84366c56a83	2	7	0	pass
20	17	8	2	n8n8	0x737a5e19d6f8f8ae	2	7	0	pass
20	17	8	2	n16	0x737a5e19d6f8f8ae	2	7	0	pass
21	31	9	0	n8n8	0xcb83b0d727ee1e9f	2	1	3	pass
21	31	9	0	n16	0xcb83b0d727ee1e9f	2	1	3	pass
21	31	9	1	n8n8	0x9a7bde2451c7c17c	2	1	3	pass
21	31	9	1	n16	0x9a7bde2451c7c17c	2	1	3	pass
21	31	9	2	n8n8	0xbe23bcc34feace6d	2	1	3	pass
21	31	9	2	n16	0xbe23bcc34feace6d	2	1	3	pass
22	32	10	0	n8n8	0xb58c80cda99b0058	2	0	2	pass
22	32	10	0	n16	0xb58c80cda99b0058	2	0	2	pass
22	32	10	1	n8n8	0x840441ff66d01629	2	0	2	pass
22	32	10	1	n16	0x840441ff66d01629	2	0	2	pass
22	32	10	2	n8n8	0xbb46861c379ecdbb	2	0	2	pass
22	32	10	2	n16	0xbb46861c379ecdbb	2	0	2	pass
23	33	11	0	n8n8	0x6c9bbcb6085bdbd8	2	7	1	pass
23	33	11	0	n16	0x6c9bbcb6085bdbd8	2	7	1	pass
23	33	11	1	n8n8	0xed47ea66fd65c4fc	2	7	1	pass
23	33	11	1	n16	0xed47ea66fd65c4fc	2	7	1	pass
23	33	11	2	n8n8	0xfd123b69ad5ea160	2	7	1	pass
23	33	11	2	n16	0xfd123b69ad5ea160	2	7	1	pass
24	63	12	0	n8n8	0xa6cc8a0149dec5e3	2	1	0	pass
24	63	12	0	n16	0xa6cc8a0149dec5e3	2	1	0	pass
24	63	12	1	n8n8	0x1205cc8e1f69c483	2	1	0	pass
24	63	12	1	n16	0x1205cc8e1f69c483	2	1	0	pass
24	63	12	2	n8n8	0xba64dc6cdb266f83	2	1	0	pass
24	63	12	2	n16	0xba64dc6cdb266f83	2	1	0	pass
25	64	1	0	n8n8	0xd2eb63c86c21ae30	3	0	3	pass
