candidate	image_index	image	fp32_split_vs_unsplit_mae	fp32_split_vs_unsplit_max_abs	fp32_split_vs_unsplit_cosine	s8_vs_fp32_mae	s8_vs_fp32_max_abs	s8_vs_fp32_cosine	candidate_tail_vs_source_mae	candidate_tail_vs_source_max_abs	candidate_tail_vs_source_cosine	confidence_branch_collapsed	status
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	0.0	0.0	1.0	59.73757696991166	454.88246154785156	0.9505281415398064	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	0.0	0.0	1.0000000000000002	49.94032159295347	364.7924041748047	0.9655883265157518	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	2	000000000724.jpg	0.0	0.0	1.0	68.50259129113621	467.8392639160156	0.9127656109207837	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	3	000000000802.jpg	0.0	0.0	1.0000000000000002	90.44990989935067	627.6213493347168	0.8556445366644896	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	4	000000000885.jpg	0.0	0.0	1.0	92.82970786462228	630.8226203918457	0.7891418625279484	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	5	000000001268.jpg	0.0	0.0	1.0	105.0455133952366	603.6514358520508	0.7862413051352295	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	6	000000001353.jpg	0.0	0.0	0.9999999999999998	83.82581497962276	582.723388671875	0.8994317814762017	0.0	0.0	0.9999999999999998	0	pass
R211_PROJECT_EXACT_SPLIT_run1	7	000000001425.jpg	0.0	0.0	1.0000000000000002	116.55805624211828	624.3076934814453	0.8032266665680562	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	8	000000001503.jpg	0.0	0.0	1.0000000000000002	101.05593972244196	631.7544097900391	0.8820167203616787	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	9	000000001532.jpg	0.0	0.0	1.0	83.74918876315157	619.2073974609375	0.9069457677201722	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	10	000000001584.jpg	0.0	0.0	1.0	102.92797859218385	605.7624244689941	0.8199813609482054	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	11	000000001675.jpg	0.0	0.0	0.9999999999999999	115.90979347263773	635.0189552307129	0.8208000638571659	0.0	0.0	0.9999999999999999	0	pass
R211_PROJECT_EXACT_SPLIT_run1	12	000000001761.jpg	0.0	0.0	1.0000000000000002	99.30596972174115	620.8178634643555	0.902493353897997	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	13	000000001818.jpg	0.0	0.0	1.0000000000000002	104.85023759017388	602.7044830322266	0.8571093439201791	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	14	000000001993.jpg	0.0	0.0	1.0000000000000002	112.27309473928479	584.5528755187988	0.8429046193643881	0.0	0.0	1.0000000000000002	0	pass
