configuration	run_count	completed_count	unique_model_sha256_count	unique_output_tree_sha256_count	model_sha256	status
R211_PROJECT_EXACT_SPLIT	1	1	1	1	29e08be834afb8925ca02af69d9a25df05449e9367ef3d8dd8ca4d57cf59a4fb	single-run
R211_VENDOR_LITERAL_SPLIT	1	1	1	0	6b92359a307544ed2cd7b557ec9991a446f03523cf44387d1530ffd926d05c40	single-run
V9A33_PROJECT_EXACT_SPLIT	1	1	1	1	29e08be834afb8925ca02af69d9a25df05449e9367ef3d8dd8ca4d57cf59a4fb	single-run
V9A33_VENDOR_LITERAL_SPLIT	1	1	1	1	6b92359a307544ed2cd7b557ec9991a446f03523cf44387d1530ffd926d05c40	single-run
