case_id	test_id	provider	cpus	output_sha256	oracle_sha256	exact	classification
c1_s8_conv_pc_explicit__cpu__primary	c1_s8_conv_pc_explicit	cpu	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-cpu
c2_s8_conv_pc_nonzero_zp__cpu__primary	c2_s8_conv_pc_nonzero_zp	cpu	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-cpu
c3_s8_conv_pc_no_kernel__cpu__primary	c3_s8_conv_pc_no_kernel	cpu	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-cpu
c5_s8_conv_pt_explicit__cpu__primary	c5_s8_conv_pt_explicit	cpu	0-3	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	1	exact-cpu
m1_s8_matmul__cpu__primary	m1_s8_matmul	cpu	0-3	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-cpu
m2_s8_matmul_nonzero_zp__cpu__primary	m2_s8_matmul_nonzero_zp	cpu	0-3	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-cpu
c4_u8_conv_pc_explicit__cpu__primary	c4_u8_conv_pc_explicit	cpu	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-cpu
m3_u8_matmul__cpu__primary	m3_u8_matmul	cpu	0-3	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-cpu
c1_s8_conv_pc_explicit__spacemit__primary	c1_s8_conv_pc_explicit	spacemit	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-spacemit-assigned
c2_s8_conv_pc_nonzero_zp__spacemit__primary	c2_s8_conv_pc_nonzero_zp	spacemit	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-spacemit-assigned
c3_s8_conv_pc_no_kernel__spacemit__primary	c3_s8_conv_pc_no_kernel	spacemit	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	placement-not-proven
