ref	expected	local_preflight	github_preflight	gitlab_preflight	status
refs/heads/yolo26-custom-int8-engine	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
refs/tags/v0.9.3-r640^{}	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	pass
refs/tags/v0.10.0-internal-rd.1^{}	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
refs/heads/yolo26-vendor-ort-rt206-validation	94b86a6bf011cc83fefaf2a960191e97a8daf728	94b86a6bf011cc83fefaf2a960191e97a8daf728	94b86a6bf011cc83fefaf2a960191e97a8daf728	94b86a6bf011cc83fefaf2a960191e97a8daf728	pass
