surface	scope	annotations_sha256	predictions_sha256	timing_sha256	image_count	prediction_count	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_maxdet1	ar_maxdet10	ar_maxdet100	map50_95_delta_vs_same_source_fp32	map50_95_delta_vs_s8_cpu
IMPORTED_CANONICAL_FP32/cpu-full5000	full-val2017	e8c7f7908f1d7278341fae127d0da654f102f11bd7b21d8aeefa635b8c810b6f	e8c97ebf44727670cdc44c3fa5ce50df6748e849dd4211b9367db92b5da96c1a	fdbfdbe85c78ff474223e990d4829ee248393ee7b6b146eec6a3917b2b24f025	5000	548128	0.40473065112282053	0.5712619071892974	0.43463577176335666	0.19778857258539873	0.4414523593136039	0.586958794539891	0.3294452013730641	0.5427769653531678	0.5898703789064664	0.000000000000	0.045962142330
R211_PROJECT_EXACT_SPLIT_run1/cpu-full5000	full-val2017	e8c7f7908f1d7278341fae127d0da654f102f11bd7b21d8aeefa635b8c810b6f	6162fc26a654f19e21a7ba65f064ab1c3f651a318453944e25026f2e75ae3a00	96179eb232bdc9b48d718aad2b46a043bfef8473c54fa2107f3c5c6a0b7a261c	5000	782544	0.35876850879267863	0.5141763070517243	0.3888792314680792	0.179113696685979	0.4176396163742976	0.5165509362490022	0.3163094526658381	0.5356407594171744	0.6024801627718729	-0.045962142330	0.000000000000
R211_PROJECT_EXACT_SPLIT_run1/cpu-subset100	subset-100	e8c7f7908f1d7278341fae127d0da654f102f11bd7b21d8aeefa635b8c810b6f	a04b0795302475efb65187fde47a09ec3339c3beeec70561f7462a9e872ef520	23f16c107cb6a3288de5347d8005a7feb0714095394012f9aa5e24edaea272c4	100	16584	0.45948798118012113	0.6224996102670767	0.48610005803558964	0.26391321267840673	0.5073753711547072	0.7273474089460986	0.39198093988092897	0.6281636076206358	0.6623240291534339	NA	NA
R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	full-val2017	e8c7f7908f1d7278341fae127d0da654f102f11bd7b21d8aeefa635b8c810b6f	8d16e1cdc0436c0ff8f5dae0d411778bca70c870206db55b6ef25d4c7af494a8	63022c37fd3551df3d81d3eb01ecd7ae6691ce9407036a02719891142bfc5f69	5000	791650	0.35907268372810625	0.5141737274079383	0.3911472447373031	0.1791667886676482	0.4204163722363516	0.5165914199780841	0.31505857711097435	0.5363574670209349	0.6032733643459881	-0.045657967395	0.000304174935
R211_PROJECT_EXACT_SPLIT_run1/spacemit-subset100	subset-100	e8c7f7908f1d7278341fae127d0da654f102f11bd7b21d8aeefa635b8c810b6f	aec35d4f2173fd9d6faeb2dbe5f1c80805bdf0eedbd3ff8b46a2ba2356ad4ad1	c6afc3b14bde2df3f4767b7e7d9916829ced4aa789b9932c31c2533f562a04ec	100	16795	0.4603694932917359	0.6232887838513195	0.4920968766870644	0.25434352908033114	0.5164330656816591	0.7297378521719111	0.39172527119544664	0.6181949275846143	0.6549463383454691	NA	NA
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-subset100	subset-100	e8c7f7908f1d7278341fae127d0da654f102f11bd7b21d8aeefa635b8c810b6f	9260ea2cb157969c9f0417a722baaef63aa2f3beb0683f9f74f02c4cdb70d5ec	dcd3e011d855dfbb1ff6ea4afbf94c047c45e0a367d6a320a3db7a357c0bc14a	100	16524	0.4439854051512614	0.6117621369011803	0.4716920631850835	0.25790084765376275	0.5121607525326871	0.7053758825052211	0.39069720594052515	0.6236319487844456	0.6581242699536781	NA	NA
R211_VENDOR_LITERAL_SPLIT_run1b/ep-subset100-run2	subset-100	e8c7f7908f1d7278341fae127d0da654f102f11bd7b21d8aeefa635b8c810b6f	7e20713e22d5e06776950017f7dad9b2ec79c25c79927cd7ea2bbba4fef15df3	fc0329d68b9bd0c5605bc7c18922537abccd43ade4a58fa985ab460109549606	100	16494	0.4316981526345941	0.5986633833342879	0.45378804474733003	0.24333517471135507	0.49670020009380933	0.7056415046388952	0.3733483236841324	0.6204649711510872	0.6552579768871918	NA	NA
