candidate	node_name	op_type	source_weight	quantized_weight	source_shape	quantized_shape	source_dtype	quantized_dtype	zero_point_dtype	zero_point_min	zero_point_max	scale_shape	axis	shape_match	mae_after_dequantize	max_abs_after_dequantize	cosine_after_dequantize	source_sha256	quantized_sha256
V9A33_PROJECT_EXACT_SPLIT_run1	/model.19/m.0/cv2/conv/Conv	Conv	model.19.m.0.cv2.conv.weight	model.19.m.0.cv2.conv.weight	32x64x1x1	32x64x1x1	float32	int8	int8	0	0	32	0	1	0.0016575997124164132	0.005542278289794922	0.999968657433368	6b50a2bdb1eca7e77b8122eef6568cf15e285cf7b2290c2b2535c7a145b55b10	32e1365579cc77a70b87251ec9e546a95a39eb4d6fbeb8efe68a2389e2f9f7cc
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	Conv	model.23.one2one_cv3.0.1.1.conv.weight	model.23.one2one_cv3.0.1.1.conv.weight	80x80x1x1	80x80x1x1	float32	int8	int8	0	0	80	0	1	0.001952158057274289	0.03802299499511719	0.9999633033814912	53d250b5f57533ddf80f5991a2ab156faf2cde885ba8e35644534b162722310a	0119805b1b99dcd58eb00cfc61dbe3599793a7f27006fe90538ff409b36f450d
V9A33_PROJECT_EXACT_SPLIT_run1	/model.19/m.0/m/m.0/cv1/conv/Conv	Conv	model.19.m.0.m.0.cv1.conv.weight	model.19.m.0.m.0.cv1.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0031253317658569363	0.011811615899205208	0.9999269314792629	6eb965aca7718c8c4bec16d51efd7e77926a07c2f3ae304000a8dccee64574a5	891c33797862348324c12bef324ee296d64670b68cb1d111982d1fa717bc61af
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	Conv	model.23.one2one_cv3.0.2.weight	model.23.one2one_cv3.0.2.weight	80x80x1x1	80x80x1x1	float32	int8	int8	0	0	80	0	1	0.0006599724375701044	0.0018468541093170643	0.9999829567824797	d907ba90f232b1fb7e6381f3ee3a9dd65c241dc768b7b7e707c51382c5e0f62d	f418853dd2b054f2757cc86a1d97e387d92028d67bad9f7b6739c75210784320
V9A33_PROJECT_EXACT_SPLIT_run1	/model.19/m.0/m/m.0/cv2/conv/Conv	Conv	model.19.m.0.m.0.cv2.conv.weight	model.19.m.0.m.0.cv2.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0013798114170915613	0.0044325729832053185	0.999908628871077	53107d74115b3eca6d03f79488dec1dbbd332dbae01e67dab86e69ff4b1a7126	fe1168e089451639c8d8eb7bff03719d632b964c14ab0b7bc64f7f65130f7864
V9A33_PROJECT_EXACT_SPLIT_run1	/model.19/m.0/m/m.1/cv1/conv/Conv	Conv	model.19.m.0.m.1.cv1.conv.weight	model.19.m.0.m.1.cv1.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0011369854558934812	0.003673489671200514	0.9999156906795493	4538ad238a53664ed34e78e74f12f76b36ad7dcaed97c5c819c841b130ad6210	a888b2a1329ff79283d2791692ce122853bafae669ef6ebbd4b9d586eef6a3bb
V9A33_PROJECT_EXACT_SPLIT_run1	/model.19/m.0/m/m.1/cv2/conv/Conv	Conv	model.19.m.0.m.1.cv2.conv.weight	model.19.m.0.m.1.cv2.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0027649255557717664	0.01382136344909668	0.9998938828285411	79420109c63780c62b0a0d92f357ae2a594cc076ed4fe036d2b1375f7209a9b6	6ef80139c4a7031d687b696ce8459f318d2a05e91ebdb518993dc2bdf044c61f
V9A33_PROJECT_EXACT_SPLIT_run1	/model.19/m.0/cv3/conv/Conv	Conv	model.19.m.0.cv3.conv.weight	model.19.m.0.cv3.conv.weight	64x64x1x1	64x64x1x1	float32	int8	int8	0	0	64	0	1	0.0010954431320069902	0.007328391075134277	0.9999529756789991	18000326530cf90d7c2dd2b5543fc3a047e6828f1d10b023f6da64cd4695ecec	e59e73f9f17f2d4ff52e270dec090b4aa860425b8d714c41ac9352dc3d7289c5
V9A33_PROJECT_EXACT_SPLIT_run1	/model.19/cv2/conv/Conv	Conv	model.19.cv2.conv.weight	model.19.cv2.conv.weight	128x192x1x1	128x192x1x1	float32	int8	int8	0	0	128	0	1	0.0008949892530796116	0.010485703125596046	0.9998710211334578	c60f0460363d8db99fe9d51018f1affeb4be0540ab82d7e65e27db1286611bab	f02d665f2a695b98184f975bf56300022d7c671f9f63ea56b68d0c1d7d2be47f
V9A33_PROJECT_EXACT_SPLIT_run1	/model.20/conv/Conv	Conv	model.20.conv.weight	model.20.conv.weight	128x128x3x3	128x128x3x3	float32	int8	int8	0	0	128	0	1	0.0005847393924132587	0.0026394184678792953	0.9998951049555634	31c1155782ae5b215b1f6de15a03402c2d19d2bf664cb72e030405866f48b40e	67ab49fcf8d6fdb02b6e35d084687b7cf78457fe3c4757719f3cd893edc543a2
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	Conv	model.23.one2one_cv2.1.0.conv.weight	model.23.one2one_cv2.1.0.conv.weight	16x128x3x3	16x128x3x3	float32	int8	int8	0	0	16	0	1	0.0013988249334193625	0.005168437957763672	0.9995743580523144	d12f73aedd2af75d665fe36a2c565b94118088072f82a4da526f8d0a1d50947c	82312d77faef6d2dbb2c6e2f05b7363be1c2a3a28c170ed61a7478877748de70
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	Conv	model.23.one2one_cv3.1.0.0.conv.weight	model.23.one2one_cv3.1.0.0.conv.weight	128x1x3x3	128x1x3x3	float32	int8	int8	0	0	128	0	1	0.0028053022214559555	0.01662970334291458	0.9999849452682966	863379ed00aaaac27fd60fd51f85d6497d578b380db81b29a6424dff4bb5b8e2	b0e9fd3619fe3fe2b570ad4acc15e78537238149d06c828f57303c0c7c25d5b8
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	Conv	model.23.one2one_cv2.1.1.conv.weight	model.23.one2one_cv2.1.1.conv.weight	16x16x3x3	16x16x3x3	float32	int8	int8	0	0	16	0	1	0.0008368186395251041	0.00402631051838398	0.9998268030936048	652d2f79edc378e99ca35af5ba43c52a0d66733029d1d1a0e0fecd78c888fffd	21af1908f52219095bc6e65c71ef2a006cc395c4b4b19fb1c18d8bc935876ddf
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	Conv	model.23.one2one_cv3.1.0.1.conv.weight	model.23.one2one_cv3.1.0.1.conv.weight	80x128x1x1	80x128x1x1	float32	int8	int8	0	0	80	0	1	0.0009087489969235918	0.004337571561336517	0.9999478643459792	32c1c0fb88abe93a74e89801ac308edd0837298c005a94b52c0fc5361e93ef5b	5372e1c68652462249dab0da38104daf9fbb546fee5236b834778b6686e85b9f
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/cv1/conv/Conv	Conv	model.22.cv1.conv.weight	model.22.cv1.conv.weight	256x384x1x1	256x384x1x1	float32	int8	int8	0	0	256	0	1	0.0011835750406698504	0.005546547472476959	0.9999590214989597	e4c8d0d31462fd5fee847ef1c5e7622dba8e266ed9d2f666ebb147f1aa96fb40	5fbd7ee90ea4b55f448581ed4f73dec73a7e671a235882d867744a66d7c5497b
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	Conv	model.23.one2one_cv2.1.2.weight	model.23.one2one_cv2.1.2.weight	4x16x1x1	4x16x1x1	float32	int8	int8	0	0	4	0	1	0.0016215654177358374	0.0034371321089565754	0.9999848585150326	8c7c2c35da42589edf8c29416cf5af08687862d9acb7e0210ad5de5e0e1763a3	d896782e8c41bd112b7153c092e5ea3a0d34d5a3a1f0a721e214e98027c043e6
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	Conv	model.23.one2one_cv3.1.1.0.conv.weight	model.23.one2one_cv3.1.1.0.conv.weight	80x1x3x3	80x1x3x3	float32	int8	int8	0	0	80	0	1	0.0030201611967944093	0.055061958730220795	0.9999782335390557	63ddd889670d0d7e17c8b3891ca407886d3e5321b40aa3947476a86e3dd73808	efd52965ad4015b49d3710cf937cda4dd90201944475d1075e34ffa7d9fedce1
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/m.0/m.0.0/cv1/conv/Conv	Conv	model.22.m.0.0.cv1.conv.weight	model.22.m.0.0.cv1.conv.weight	64x128x3x3	64x128x3x3	float32	int8	int8	0	0	64	0	1	0.001280704516802232	0.0053517818450927734	0.9998758688920124	1774e33bddb5b5268f7eb590e4b4d3fe0f3322ab82a694f668d596ecc87dd80e	840060421c7fa9c0d3cbe5464baa1f5c8b363eb84ff6f11dbaa0701fb8741432
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	Conv	model.23.one2one_cv3.1.1.1.conv.weight	model.23.one2one_cv3.1.1.1.conv.weight	80x80x1x1	80x80x1x1	float32	int8	int8	0	0	80	0	1	0.002347194699660804	0.038105010986328125	0.9999575488985837	2d724251be5a0be09e00e55aab0a0bd6fb30c5c0b676c03a82b5fffef585331e	afaaf47ec2d389241c7837d9ce662395496f0b8c7b1473c97a23dab90f998e07
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/m.0/m.0.0/cv2/conv/Conv	Conv	model.22.m.0.0.cv2.conv.weight	model.22.m.0.0.cv2.conv.weight	128x64x3x3	128x64x3x3	float32	int8	int8	0	0	128	0	1	0.0009519485590599792	0.004379165358841419	0.9998845879301793	900403312b529c29a5c3834d1155424c80dbe169bedf4f6602abb7b03b82912e	2c12f0438b96d12d3047a7e0bb7cb59e729905251246a6bbce4001050c3ce805
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	Conv	model.23.one2one_cv3.1.2.weight	model.23.one2one_cv3.1.2.weight	80x80x1x1	80x80x1x1	float32	int8	int8	0	0	80	0	1	0.0008376729048177367	0.0023207664489746094	0.9999719786814771	fe218bedcdc405fe23434040163558db0ff952a4467ed2f5b8744ed4f2a4bed8	fecf4c82277cc03d219ff0f09b717ae2a0fa4d644cb15af1d2e90274974f5e13
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	Conv	model.22.m.0.1.attn.qkv.conv.weight	model.22.m.0.1.attn.qkv.conv.weight	256x128x1x1	256x128x1x1	float32	int8	int8	0	0	256	0	1	0.0008295068060558061	0.00559882540255785	0.9999603500104141	11bfe3cda657813e74abc18e2888733b1ac3fec5c749142b85fa3bfef8e2c87c	c596a60ded0c91c4638bd48a19e3a7da1ac5feb184377b23f22dc316a2030c71
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/m.0/m.0.1/attn/pe/conv/Conv	Conv	model.22.m.0.1.attn.pe.conv.weight	model.22.m.0.1.attn.pe.conv.weight	128x1x3x3	128x1x3x3	float32	int8	int8	0	0	128	0	1	0.00487565426917374	0.03950691223144531	0.9999856146231492	9aa3fd5738f4955ef31b4bf82fce6c7bbe36dce07f77cac927b34fd54178caf1	3d52e580cf26e038d91ae14180c65151e5e4beb1069195e7dfa742b9c0dfc00e
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/m.0/m.0.1/attn/proj/conv/Conv	Conv	model.22.m.0.1.attn.proj.conv.weight	model.22.m.0.1.attn.proj.conv.weight	128x128x1x1	128x128x1x1	float32	int8	int8	0	0	128	0	1	0.00046920576473961483	0.0017597675323486328	0.9999604306300655	644cdd9be1f3399cac745f8a89f655430d7449e34ff47f559d785427b73958cb	101a89565a58bd2d3899181db42fec3920a1c3f95d33ac784265634eae6a395b
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	Conv	model.22.m.0.1.ffn.0.conv.weight	model.22.m.0.1.ffn.0.conv.weight	256x128x1x1	256x128x1x1	float32	int8	int8	0	0	256	0	1	0.0008986134759110097	0.004571235738694668	0.9999471425697357	239645e81b2ad646719622f2a8dddab03070a614d6bfa94e791dc81c50418a0a	3f00ddbdeb73034a6b27f776d2508b23600d79d50592dfc3dde6c976ae7fb9e5
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	Conv	model.22.m.0.1.ffn.1.conv.weight	model.22.m.0.1.ffn.1.conv.weight	128x256x1x1	128x256x1x1	float32	int8	int8	0	0	128	0	1	0.0008795684631657495	0.003930339589715004	0.9999547856729056	32d4d0da9dd3529866e1ad028b0105971e0a84bd6488c993beea320c8f157311	cbefcba4b245fa6ee63c28f3922fa28d0aa72a4637ced9eeb14b5f4670814e54
V9A33_PROJECT_EXACT_SPLIT_run1	/model.22/cv2/conv/Conv	Conv	model.22.cv2.conv.weight	model.22.cv2.conv.weight	256x384x1x1	256x384x1x1	float32	int8	int8	0	0	256	0	1	0.000598877572665945	0.006128442473709583	0.9998751775624408	1f94cac08ca49dec072153a52ce246928903f9e69c65645ea1ac375db616e75b	44b097f1806c9ce28280ae886ae6e95557465d61ab2903adb3ce675a0aefb7de
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	Conv	model.23.one2one_cv2.2.0.conv.weight	model.23.one2one_cv2.2.0.conv.weight	16x256x3x3	16x256x3x3	float32	int8	int8	0	0	16	0	1	0.0005593275695367001	0.002488199155777693	0.9986686536875713	429ea44ad7768d957691d036c3ec4d4f7a89a529961c45a854bd3d07269154c4	1525cbe82ab4483cd4feb3d7d295779ec305153724a69ffa1540d904b231ad0b
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	Conv	model.23.one2one_cv3.2.0.0.conv.weight	model.23.one2one_cv3.2.0.0.conv.weight	256x1x3x3	256x1x3x3	float32	int8	int8	0	0	256	0	1	0.0030071179052002764	0.032733917236328125	0.9999868977928693	72bbd1868f8104aa884100f26963dd5b97b408ece59ae5fcca1c01fb7de1598d	3b980098110a25097ecf0ae3bab156a73abc71053a6cfebab754110b9dd9cb01
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	Conv	model.23.one2one_cv2.2.1.conv.weight	model.23.one2one_cv2.2.1.conv.weight	16x16x3x3	16x16x3x3	float32	int8	int8	0	0	16	0	1	0.001171086049299085	0.005659055896103382	0.999852282040797	a960e91c178ddbee4bfb2af5f695e2c42a220fd4acc85c744c8b17068bc3b9e7	46fe90d875dcdc9cb759b650482053af1a8c4dd449e2e5a13f1134fda0d50442
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	Conv	model.23.one2one_cv3.2.0.1.conv.weight	model.23.one2one_cv3.2.0.1.conv.weight	80x256x1x1	80x256x1x1	float32	int8	int8	0	0	80	0	1	0.0006747551711459743	0.002604067325592041	0.9999532943397966	4fa5192a1b8b1e1b3de366aa1101ea7a33917cfe5c453a25b5b45b78c289c4af	083d796da7d1b964f09a3f2155536fab1e5bcfef964dc6f34663cddcc9f1a860
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	Conv	model.23.one2one_cv2.2.2.weight	model.23.one2one_cv2.2.2.weight	4x16x1x1	4x16x1x1	float32	int8	int8	0	0	4	0	1	0.0016016836671042256	0.0034313653595745564	0.9999846896713268	a7f78ed2a5d747a534cf669992ca1770531db78ba1ed5f0de137b2f43d19f4e1	b522d67d99bd6d9c78a4a12b39051cfa3faa0c239e754fef7e1b4771d25705e6
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	Conv	model.23.one2one_cv3.2.1.0.conv.weight	model.23.one2one_cv3.2.1.0.conv.weight	80x1x3x3	80x1x3x3	float32	int8	int8	0	0	80	0	1	0.0024508001436818936	0.0488128662109375	0.99998517606792	e6e32449fcc2e71feb6f16f19cf1b8ad5125c7af47699536e8ed7a40d157502b	9e4c7f93b3117ac507c9ca8a96b74eaff3086f1e601bd5fb43b68e482346388c
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	Conv	model.23.one2one_cv3.2.1.1.conv.weight	model.23.one2one_cv3.2.1.1.conv.weight	80x80x1x1	80x80x1x1	float32	int8	int8	0	0	80	0	1	0.002310862430470113	0.031823158264160156	0.9999657395443484	c397d595ce48f6d48dd536087507c3674ce7724c1aa0076750bdcddd53e94f4f	96abf0a958550f436a1947d97ac09ee150b9ea1ef707cf0c9a252f6d362745b4
V9A33_PROJECT_EXACT_SPLIT_run1	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	Conv	model.23.one2one_cv3.2.2.weight	model.23.one2one_cv3.2.2.weight	80x80x1x1	80x80x1x1	float32	int8	int8	0	0	80	0	1	0.001067323512979783	0.0030637383460998535	0.9999553594811335	acd86d86a3a976e2955302b40424523bd2640a174395c1f39a4e9e38a54f03fa	8d188d5bc87f4854a1d852d627e3ed6ed990dfd37bb7016a58ba8170d1f036b9
V9A33_VENDOR_LITERAL_SPLIT_run1	/model.0/conv/Conv	Conv	model.0.conv.weight	model.0.conv.weight	16x3x3x3	16x3x3x3	float32	int8	int8	0	0	16	0	1	0.022556142118345533	0.09255662560462952	0.9999816241869873	e22500dcb8dca0f23875b66c55a3003b18d3d10928cc838ee5bef98dc98b11b2	f7ca1e1bef78aa45707a27241833457d9e6ac75a6dbcb617a1bf580413eec6bc
