source	reference	candidate	tensor	element_count	exact_element_count	mae	max_abs_difference	cosine_similarity
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_comparison	cpu	spacemit	output0	1800	312	74.8573172	636.231232	0.885817660195
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_comparison	cpu	spacemit	boundary-0	25600	2087	0.206840882	2.03942907	0.996601090255
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_comparison	cpu	spacemit	boundary-1	512000	59636	0.340885261	2.20863342	0.999738154708
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_comparison	cpu	spacemit	boundary-2	6400	1044	0.187950386	1.8720727	0.998465043136
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_comparison	cpu	spacemit	boundary-3	128000	25055	1.03178321	10.1966133	0.997315056216
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_comparison	cpu	spacemit	boundary-4	1600	527	0.156221807	2.3785243	0.999111818895
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_comparison	cpu	spacemit	boundary-5	32000	4356	1.25771807	18.4429932	0.994974890579
R211_VENDOR_LITERAL_SPLIT_run1b_bus_comparison	cpu	spacemit	output0	1800	148	90.4511727	511.279205	0.843425673314
R211_VENDOR_LITERAL_SPLIT_run1b_bus_comparison	cpu	spacemit	boundary-0	25600	3682	0.149570751	1.90569592	0.99492895621
R211_VENDOR_LITERAL_SPLIT_run1b_bus_comparison	cpu	spacemit	boundary-1	512000	56195	0.382874441	5.15347576	0.999642076365
R211_VENDOR_LITERAL_SPLIT_run1b_bus_comparison	cpu	spacemit	boundary-2	6400	1709	0.128697078	3.64295197	0.997533447171
R211_VENDOR_LITERAL_SPLIT_run1b_bus_comparison	cpu	spacemit	boundary-3	128000	31399	1.06232876	22.0926628	0.99605203943
R211_VENDOR_LITERAL_SPLIT_run1b_bus_comparison	cpu	spacemit	boundary-4	1600	606	0.12408549	5.03687382	0.998327916826
R211_VENDOR_LITERAL_SPLIT_run1b_bus_comparison	cpu	spacemit	boundary-5	32000	5833	1.2814543	36.8859882	0.99360897771
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_comparison	cpu	spacemit	output0	1800	272	68.2714539	543.513311	0.931760642696
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_comparison	cpu	spacemit	boundary-0	25600	2890	0.216587464	2.97556055	0.991496137465
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_comparison	cpu	spacemit	boundary-1	512000	50207	0.438900514	4.41726494	0.9995632822
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_comparison	cpu	spacemit	boundary-2	6400	1527	0.195405471	3.38996911	0.995386595378
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_comparison	cpu	spacemit	boundary-3	128000	27614	1.22820958	30.5898418	0.995055416428
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_comparison	cpu	spacemit	boundary-4	1600	523	0.154997565	2.09869754	0.998357898598
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_comparison	cpu	spacemit	boundary-5	32000	5289	1.22074106	10.6775217	0.995655180507
bus_r640_nchw_f32_comparisons	cpu	spacemit	output0	1800	311	88.0260435	470.152328	0.844827731284
bus_r640_nchw_f32_comparisons	cpu	spacemit	boundary-0	25600	3808	0.135510098	2.40856433	0.995624130012
bus_r640_nchw_f32_comparisons	cpu	spacemit	boundary-1	512000	55532	0.367472798	3.74924278	0.999670474053
bus_r640_nchw_f32_comparisons	cpu	spacemit	boundary-2	6400	1883	0.123273085	3.06253195	0.997761779855
bus_r640_nchw_f32_comparisons	cpu	spacemit	boundary-3	128000	33705	0.944347354	20.0026245	0.997291920466
bus_r640_nchw_f32_comparisons	cpu	spacemit	boundary-4	1600	611	0.121451376	3.74339318	0.998324232014
bus_r640_nchw_f32_comparisons	cpu	spacemit	boundary-5	32000	5889	1.03608614	10.7065487	0.996708200965
images_F0_f32_comparisons	cpu	spacemit	output0	1800	58	148.692983	636.035736	0.730724980145
images_F0_f32_comparisons	cpu	spacemit	boundary-0	25600	2015	0.20679525	1.97964191	0.996256564178
images_F0_f32_comparisons	cpu	spacemit	boundary-1	512000	51510	0.379419848	2.46044159	0.999700212173
images_F0_f32_comparisons	cpu	spacemit	boundary-2	6400	1071	0.182949239	1.92643166	0.998382511851
images_F0_f32_comparisons	cpu	spacemit	boundary-3	128000	28000	0.981544497	10.3043814	0.997539868171
images_F0_f32_comparisons	cpu	spacemit	boundary-4	1600	529	0.143343543	2.47331333	0.999089349148
images_F0_f32_comparisons	cpu	spacemit	boundary-5	32000	4159	1.23700792	14.5609093	0.995429623148
zidane_r640_nchw_f32_comparisons	cpu	spacemit	output0	1800	259	77.9268806	622.419338	0.915126273767
zidane_r640_nchw_f32_comparisons	cpu	spacemit	boundary-0	25600	3096	0.158587877	1.81467152	0.996550189234
zidane_r640_nchw_f32_comparisons	cpu	spacemit	boundary-1	512000	50855	0.408374425	4.21789932	0.999634744733
zidane_r640_nchw_f32_comparisons	cpu	spacemit	boundary-2	6400	1629	0.147091063	3.55648875	0.997790358365
zidane_r640_nchw_f32_comparisons	cpu	spacemit	boundary-3	128000	33020	0.918808968	10.9105215	0.997752995451
zidane_r640_nchw_f32_comparisons	cpu	spacemit	boundary-4	1600	619	0.131979669	2.40646672	0.998742344708
zidane_r640_nchw_f32_comparisons	cpu	spacemit	boundary-5	32000	4911	1.10646831	8.99350166	0.996543010017
