surface	component	first_run_us
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	inference	3245312.796000
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	tail	19775.337000
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	total	3265088.133000
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	inference	260612.490000
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	tail	19349.246000
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	total	279961.736000
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	inference	3246433.028000
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	tail	19319.832000
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	total	3265752.860000
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	inference	253289.232000
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	tail	19257.704000
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	total	272546.936000
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	inference	3250884.150000
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	tail	19390.581000
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	total	3270274.731000
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	inference	246953.022000
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	tail	19384.331000
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	total	266337.353000
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	inference	248282.502000
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	tail	19293.176000
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	total	267575.678000
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	inference	246270.955000
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	tail	19065.963000
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	total	265336.918000
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	inference	3255451.229000
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	tail	19421.443000
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	total	3274872.672000
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	inference	247797.525000
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	tail	19582.840000
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	total	267380.365000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	inference	3254769.564000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	tail	19248.425000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	total	3274017.989000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	inference	247014.027000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	tail	19211.819000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	total	266225.846000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	inference	250534.653000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	tail	19465.818000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	total	270000.471000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	inference	262329.747000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	tail	19599.813000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	total	281929.560000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	inference	247057.885000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	tail	19624.561000
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	total	266682.446000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	inference	8604550.455000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	tail	39883.192000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	total	8644433.647000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	inference	5063651.210000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	tail	26085.105000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	total	5089736.315000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	inference	3273764.892000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	tail	19548.509000
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	total	3293313.401000
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	inference	3256613.367000
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	tail	19522.651000
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	total	3276136.018000
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	inference	247971.865000
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	tail	19498.526000
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	total	267470.391000
